Index P1 P2
ACW25622 FBo_WP3_374 FBo_WP3_373
ACW25628 FBo_WP3_374 FBo_WP3_373
B3F-12-196 668 B3F12-040
B3F-12-197 668 B3F12-040
B3F-12-204 668 B3F12-040
B3F-12-205 668 B3F12-040
B3F-13-10 668 B3F12-040
B3F-13-109 668 B3F12-040
B3F-13-139 668 B3F12-040
B3F-13-32 668 B3F12-040
B3F-13-35 668 B3F12-040
B3F-13-38 668 B3F12-040
NOVADI-0010 4843 2419
NOVADI-0023 4843 2419
NOVADI-0042 4843 2419
NOVADI-0114 4843 2419
NOVADI-0256 2422 651
NOVADI-0268 2422 651
NOVADI-0286 2422 651
NOVADI-0296 2422 651
NOVADI-0329 2422 651
NOVADI-0330 2422 651
NOVADI-0347 2422 651
NOVADI-0356 2422 651
NOVADI-0371 2422 651
NOVADI-0382 2422 651
NOVADI-0622 4843 2419
NOVADI-0731 4843 2419
NOVADI-0766 4843 2419
NOVADI-0980 4843 2419
NOVADI-1015 4843 2419
TeBr-012 668 946
TeBr-021 668 946
TeBr-022 668 946
TeBr-027 668 946
TeBr-043 668 946
TeBr-071 668 946
TeBr-084 668 946
TeBr-180 668 946
TeBr-248 668 946
TeBr-263 668 946
12_L01 2421 2407
12_L05 2421 2407
12_L12 2421 2407
12_L13 2421 2407
12_L18 2421 2407
12_L21 2421 2407
12_O10 2418 1472
12_O11 2418 1472
12_O14 2418 1472
12_O17 2418 1472
12_O26 2418 1472
12_O56 2418 1472
12_O61 2418 1472
12_O63 2418 1472
12_O72 2418 1472
12_O74 2418 1472
DLO_12_066 NA NA
DLO_12_084 NA NA
DLO_12_120 NA NA
DLO_12_140 NA NA
DLO_12_141 NA NA
DLO_12_162 NA NA
DLO_12_221 NA NA
DLO_12_233 NA NA
DLO_12_259 NA NA
DLO_12_289 NA NA
12_F02 1205 2403
12_F07 1205 2403
12_F14 1205 2403
12_F19 1205 2403
12_F23 1205 2403
12_F40 1205 2403
12_F45 1205 2403
12_F46 1205 2403
12_F52 1205 2403
12_F54 1205 2403
12_I02 2418 2412
12_I03 2418 2412
12_I05 2418 2412
12_I10 2418 2412
12_I37 2418 2412
12_I49 2418 2412
12_I56 2418 2412
12_I59 2418 2412
12_I62 2418 2412
12_I64 2418 2412
12_J01 1205 1472
12_J11 1205 1472
12_J13 1205 1472
12_J15 1205 1472
12_J19 1205 1472
12_J27 1205 1472
12_J28 1205 1472
12_J29 1205 1472
12_J31 1205 1472
GaCr_02 739 1209.3
GaCr_10 739 1209.3
GaCr_17 739 1209.3
GaCr_41 739 1209.3
GaCr_43 739 1209.3
GaCr_52 739 1209.3
GaCr_55 739 1209.3
GaCr_56 739 1209.3
GaCr_57 739 1209.3
GaCr_61 739 1209.3
GaPi_07 739 651
GaPi_14 739 651
GaPi_17 739 651
GaPi_23 739 651
GaPi_28 739 651
GaPi_33 739 651
GaPi_35 739 651
GaPi_38 739 651
GaPi_51 739 651
GaPi_56 739 651
JoPr_001 57 267
JoPr_054 57 267
JoPr_097 57 267
JoPr_108 57 267
JoPr_169 57 267
JoPr_179 57 267
JoPr_202 57 267
JoPr_232 57 267
JoPr_242 57 267
JoPr_246 57 267
JoPr_257 57 267
29 - -
37 42 -
75 550 11
81 - -
629 - -
787 - -
1478 788 -
2410 2398 -
2422 - -
NA 65 32
NA 137 FBo_WP3_363
NA NA 137
NA NA 1478
593 1114 -
962 - -
987 - -
435 - -
231 108 629
2914 - -
308 1806 31
271 10 -
80 94 32
2732 57 78
273 - -
1027 629 -
1 - -
2932 - -
281 357 -
1024 - -
58 - -
84 - -
361 1114 278
245 51 163
2004 - -
799 42 2841
2033 30 -
1923 278 -
2722 - 6
232 629 24
340 2818 -
1918 732 -
6489 278 -
7 - -
94 81 -
602 - -
3062 672 -
700 - -
644 1438 291
2483 761 1974
130 42 -
2958 - -
452 1114 234
1952 278 -
1298 1438 -
1228 167 78
2856 - -
345 - -
64 - -
629 - -
1689 - -
544 303 -
1958 - -
1943 42 -
2470 1438 291
2469 1438 291
732 - -
70 344 2958
561 24 -
682 - -
264 2284 278
141 2033 -
2917 - -
357 278 -
2818 - -
1251 42 1132
277 732 -
6520 - -
2171 130 3
778 42 5997
570 - -
14 291 -
2830 57 163
81 - -
38 - -
425 7881 -
46 - -
461 - -
537 1114 -
82 6520 31
1529 - -
47 FEM_2_19 -
2909 357 42
2190 46 132
779 1248 -
99 - -
1103 - -
2102 732 -
2395 PI_589101 -
2992 602 629
449 30 -
56 69 -
333 - -
3160 2258 1509
582 278 -
2459 2841 -
6031 - -
2936 PI_589101 -
795 344 278
2813 - -
1430 - -
15 PI_437063 2818
575 USA_TOC_1003311 -
734 341 971
3148 87 2917
Beliy_Naliv - -
40 - -
730 - -
PI_590180 - -
PI_588946 - -
4089 - -
210 PI_589101 -
2089 2934 -
2173 USA_SSE0106 -
1428 - -
105 1 -
1921 37 340
USA_TOC_3702714 334 730
397 7881 -
112 30 2909
622 - -
92 3050 -
PI_589910 29 -
173 304 -
2720 508 -
74 2818 -
8 - -
66 722 -
53 163 110
303 - -
2902 6 PI_589896
1560 508 448
378 - -
USA_UMN0007 - -
87 - -
2841 278 -
1950 2841 -
90 42 -
2862 - -
592 23 591
1879 - -
1489 2655 -
1343 2284 -
1237 15 51
941 - -
2865 - -
3050 - -
3172 508 29
2655 USA_UMN0007 23
341 344 -
1722 448 65
PI_383513 - -
PI_259450 77 52
61 30 6489
667 110 163
9 - -
1041 1248 2258
2029 116 -
239 6393 -
PI_437063 - -
2665 - -
603 USA_TOC_1003311 -
761 - -
USA_SSE0032 30 -
PI_589216 29 -
327 USA_SSE0111 -
203 - -
PI_589857 - -
598 - -
560 941 -
2112 1132 -
727 - -
3021 - -
118 278 -
278 - -
2114 105 -
2100 - -
2292 29 -
41 149 37
USA_SSE0106 - -
USA_SSE0111 - -
PI_307518 - -
2065 - -
5249 357 -
960 - -
PI_589101 - -
USA_TOC_1003311 PI_307518 -
PI_134673 761 -
USA_SSE0108 - -
6 57 29
27 30 3021
2057 57 106
1045 344 -
587 787 -
FBo_WP3_372 FBo_WP3_376 1049
FBo_WP3_373 1412.2 1119
FBo_WP3_374 1029.3 FBo_WP3_377
FBo_WP3_375 1213.3 FBo_WP3_373
FBo_WP3_376 703 625
FBo_WP3_377 - -
B3F12-040 193.3 1119
4675 65 57
4325 - -
2415 447 267
6721 7881 -
1205 318 2417
2424 65 193.3
2417 447 2414
X03174 267 447
X3191 717 267
2402 65 50
2423 2424 267
2410 2398 -
X04596 65 -
2406 118 4649
2420 - -
2422 - -
2403 566 739
2421 2409 2386
2419 2425 -
2401 2410 -
4808 548 2406
2408 65 2406
2409 65 65
1613 - -
1021 - -
11 761 -
67 202 -
793 - -
652 60 -
1573 987 -
1564 37 -
43 - -
1592 - -
416 278 7881
659 - -
26 25 47
29 - -
637 - -
1611 - -
627 4325 -
1565 780 -
125 - -
93 1438 291
39 - -
326 - -
404 7881 -
626 - -
812 - -
1554 593 -
63 6520 1248
179 - -
1572 - -
699 - -
491 - -
733 - -
458 - -
621 - -
401 - -
25 1855 31
1927 - -
638 954 -
16 23 5867
1867 - -
256 - -
953 278 -
2030 - -
759 - -
1606 - -
1991 - 2001
1948 - -
1999 2033 163
928 1045 945
2287 25 1430
679 51 2469
2037 278 -
1844 24 -
1766 1222.3 -
2060 51 -
2058 11 550
520 704 -
1796 51 83
2107 163 -
2081 65 78
1624 - -
4792 - -
177 - -
3013 37 -
328 962 -
1830 48 25
2117 4 29
1767 512 25
76 - -
343 - -
1752 - -
1870 - -
1819 1822 788
2063 2030 -
3173 23 6
654 34 82
1826 78 -
1880 - -
1751 - -
415 - -
1577 - -
914 488 78
1989 - -
3010 - -
1587 278 -
1768 1041 1430
1985 - -
424 192 -
929 508 163
20 - -
1912 278 -
1017 4325 -
1518 - -
2216 - -
1575 - -
1925 1438 2103
306 321 10
323 1114 -
2012 278 -
2039 - -
1872 2862 82
165 334 -
1750 - -
2327 - -
933 - -
36 627 -
1563 508 37
388 361 4325
2202 21 -
534 42 -
606 - -
270 - -
352 - -
2170 2169 -
2023 2065 PI_134673
2035 2025 622
2021 71 939
1567 278 6721
2082 163 50
1821 4 -
1566 - -
2036 - -
459 - -
2286 954 -
1749 263 -
1748 - -
1747 - -
4959 24 -
2084 - -
2311 3 50
2312 - -
694 2311 47
2139 - -
1590 - -
2209 - -
1605 91 -
2249 315 1027
2203 - -
1831 - -
2304 31 -
1745 - -
2134 58 132
1583 780 -
124 278 -
166 7881 -
216 - -
2169 2224 -
2025 - -
2291 761 37
490 129 245
2042 - -
1835 - -
1976 - -
2007 - -
1928 4438 -
2011 23 939
473 PI_437063 -
1967 - -
1951 - -
1016 425 -
925 - -
1941 - -
827 278 -
1893 30 340
1743 - -
1576 278 -
103 - -
338 278 -
258 278 -
2 7881 -
1742 - -
1741 - -
636 2469 -
312 - -
590 6379 -
762 278 -
211 - -
1114 - -
1616 - -
963 30 361
109 95 -
1740 - -
1883 - -
1555 780 -
1520 1521 -
1622 7881 -
241 2928 2093
789 - -
1738 - -
1737 - -
1736 114 1648
1735 114 -
1886 2469 622
102 - -
2006 USA_SSE0032 508
564 - -
2817 - -
760 1114 -
1801 167 -
689 - -
1961 - -
2017 943 -
1732 361 562
499 461 21
2118 57 163
1483 57 163
2277 62 652
2313 997 1529
2340 2292 3
505 - -
918 950 245
342 361 -
205 202 -
635 278 -
290 340 -
2068 20 163
2316 357 -
1911 110 -
951 278 -
2374 - -
1020 91 670
1731 - -
363 42 -
2040 - -
2294 - -
1916 163 29
852 278 -
1882 23 24
1904 - -
1730 7881 -
288 278 -
1836 508 6
1908 943 2452
1729 7881 -
624 110 2469
2224 - -
116 - 4438
2026 - -
1938 943 340
1890 2036 340
1614 - -
2151 2224 -
2156 1 -
2121 - -
148 357 -
2077 - -
641 278 -
2779 - -
1978 1114 -
1919 - -
1891 2469 550
1569 - -
4864 318 X03174
198 - -
740 - -
1582 - -
704 278 -
826 278 -
300 - -
2015 54 163
2198 - -
1728 55 334
2163 105 42
786 - -
1953 42 -
1727 1636 -
2193 629 -
2018 - -
1983 - -
1726 - -
1725 - -
2090 1438 1045
2979 - -
1856 31 -
362 2841 95
2208 461 -
2382 - -
1966 2841 -
1869 6393 -
1724 562 -
1843 5997 -
1769 81 732
1915 - -
1723 264 -
1993 - -
1885 - -
1954 11 644
950 1045 -
2003 - -
1770 286 -
474 745 527
1755 65 -
1979 - -
365 15 129
1721 - -
170 - -
709 - -
2045 943 90
1931 163 78
1556 57 106
1944 42 -
1881 163 2483
255 321 -
1617 - -
1593 7881 -
1720 7881 -
174 - -
2305 81 1509
639 1438 3
139 - -
1887 1438 37
171 7881 -
2059 2091 78
140 - -
1719 7881 -
1920 - -
1874 - -
1932 - -
2038 110 37
645 4325 -
408 - -
2054 324 45
1772 80 -
1765 80 -
2031 291 -
2022 - -
2785 278 -
1717 361 -
567 361 -
940 361 -
45 1428 30
457 - -
810 780 -
330 780 708
4704 - -
523 51 37
1892 1944 30
1715 - -
2784 - -
673 361 -
691 546 -
1871 - -
2013 - -
132 - -
2116 82 62
2855 4089 -
5245 2348 -
2135 57 587
2847 1481 65
1441 2459 -
2001 - -
2091 1438 7
1552 - -
1972 - -
2092 PI_437063 -
669 - -
1903 - -
19 - -
697 361 -
521 - -
2140 - -
1714 278 -
33 7881 -
599 - -
653 - -
498 321 -
2146 3 90
59 - -
2229 1509 -
2205 2224 -
714 21 732
1845 51 1863
1126 - -
1974 - -
1108 997 1529
2080 598 -
1875 4438 -
5246 - -
2175 129 291
1773 24 -
2257 - -
291 - -
2908 29 -
4782 - -
2079 163 65
819 110 163
1774 788 4922
2295 - -
1837 - -
152 291 799
2314 488 61
98 - -
549 - -
1959 7 5249
2108 - -
1917 78 245
2279 30 -
2330 - -
86 42 -
2315 488 72
1809 31 -
1971 128 -
2085 761 42
1846 254 308
2069 129 943
2235 3 29
1775 286 -
1822 51 -
2288 - -
1797 2292 448
5248 234 -
1902 45 -
702 780 -
2297 - -
2278 - -
2296 21 3
931 488 163
2306 1248 -
2191 - -
1776 788 4922
2223 1 -
628 - -
2142 42 -
2141 - -
35 1438 3
1933 761 -
1939 550 -
517 - -
2062 - -
1909 3 -
18 46 -
2034 51 -
2318 278 -
2210 2169 -
3042 - -
2032 54 163
1930 622 167
2317 533 784
1777 4 788
2319 784 -
2299 95 -
2194 - -
512 - -
2975 2284 304
1756 286 -
1798 1806 -
2119 - -
133 - -
1986 - -
2094 622 1132
2997 - -
1810 304 -
1832 1055.3 23
1438 - -
1945 344 -
2095 943 PI_134673
1462 1806 1114
2810 - -
2280 31 -
1946 - -
2307 - -
2187 - -
1778 4 788
2298 304 -
2326 65 254
2270 - -
1811 573 308
597 42 PI_437063
1759 - -
2850 546 508
182 - -
1585 7881 -
757 361 186
2055 - -
1977 30 5249
2211 132 -
1860 - -
2126 3 90
2127 3 90
1780 - -
1513 - -
228 - -
1994 105 163
1995 - -
350 278 -
2125 21 -
2129 95 -
2289 - -
794 291 -
2008 - -
743 488 54
2293 488 25
2300 278 -
2275 462 25
1713 263 114
1712 90 101
2050 357 2932
1980 - -
2010 - -
1990 - -
1873 84 -
1711 278 -
1710 263 521
480 - -
2333 - -
1965 - -
1781 PI_644176 29
168 373 30
279 278 -
355 344 278
2120 - -
2005 2452 -
347 - -
1897 - -
1707 - -
1708 278 -
481 - -
655 11 30
1782 167 4922
1706 954 -
1458 575 -
268 452 1248
2177 - -
2178 - -
2290 - -
1558 - -
79 2108 -
721 - -
1937 57 23
1934 943 -
317 461 -
2301 722 69
1960 2841 42
2014 - -
1514 4325 -
1949 163 340
2096 6 -
2443 550 163
2261 - -
1703 361 -
2204 - -
1936 - -
1694 - -
1701 - -
1699 361 -
1693 361 -
1700 7881 -
161 954 -
1692 101 77
396 7881 -
1698 6492 -
1697 327 -
1696 - -
1695 402 1709
386 - -
422 - -
1690 278 -
643 - -
1969 2909 -
2320 6 PI_589216
729 - -
1515 - -
2974 51 732
2980 - -
1599 - -
1101 163 65
1588 7881 -
1589 7881 -
1688 - -
640 - -
2136 25 163
184 7881 -
2796 PI_589216 -
1878 - -
1594 - -
1019 - -
1970 - -
1962 57 334
1963 2755.2 522
2283 1377 1529
410 7881 -
1899 129 -
1956 - -
1687 - -
2052 57 2928
2074 - -
1446 - -
2138 - -
2002 - -
2213 - -
1686 - -
2051 - -
1783 286 -
2268 62 2311
331 - -
2043 - -
1685 7881 -
1900 799 -
1615 - -
4713 - -
1877 357 -
2053 278 -
2653 6 503
1838 167 -
577 357 -
1905 163 2452
1884 - -
1784 236 468
2273 1248 -
2071 - -
1987 - -
2331 37 -
1820 448 -
745 - -
1618 780 278
1448 1806 1248
2266 61 47
2243 317 46
248 - -
2343 - -
780 - -
1603 745 7881
2265 61 1529
398 7881 -
4958 - -
128 278 -
1839 167 -
1982 - -
1684 - -
589 278 -
1840 167 -
51 30 90
1906 - -
571 - -
579 2841 -
2113 2469 -
554 278 -
674 - -
2872 - -
1571 37 -
2195 1027 -
2971 42 357
2321 15 51
2217 21 -
1924 - -
1604 - -
190 394 -
2652 1806 -
444 167 4922
2024 2841 -
2098 42 -
251 10 -
2328 - -
1619 - -
143 - -
1674 7881 -
1683 7881 -
1680 7881 -
104 2053 -
1557 278 -
2153 - -
433 1114 7881
266 10 -
1597 - -
1595 - -
2154 58 2224
1600 1644 -
2147 - -
207 - -
2221 46 -
2155 - -
2206 25 37
1598 - -
1596 - -
2197 - -
1570 745 -
664 59 30
181 1 2225
2162 - -
2214 - -
2225 - -
2161 - -
1559 278 -
2159 - -
2176 1 46
2255 59 46
464 - -
2133 - -
2167 - -
2149 39 -
2196 58 -
2186 1 -
2160 1529 -
2236 - -
2164 - -
1679 - -
2044 - -
752 278 -
2264 1298 25
2823 57 163
111 3 90
2827 46 163
2831 57 163
2308 61 13
2073 - -
1677 1708 -
2263 - -
1670 - -
1676 7881 -
1675 10 -
1673 7881 -
1672 7881 -
227 7881 -
1671 435 1708
455 - -
1669 - -
1668 780 -
1667 - -
175 - -
1682 7881 -
1665 7881 -
54 30 291
1947 1045 2030
374 - -
22 - -
1823 51 -
1620 3050 -
1561 2285 4438
73 - -
493 - -
2158 2224 -
2341 722 -
1957 - -
1581 - -
748 278 -
1105 42 1248
2064 11 163
28 - -
2220 234 -
1578 - -
2240 163 65
513 278 -
405 7881 -
135 278 -
1562 278 -
2174 - -
89 42 -
2111 20 3
100 105 -
1512 278 -
332 278 -
1623 278 -
218 - -
1601 278 -
553 278 -
283 3050 -
530 - -
1580 - -
122 278 -
2199 42 -
706 - -
4859 - -
2165 - -
2130 57 65
1111 57 65
2245 327 334
2172 - -
2137 42 -
134 - -
316 321 -
2150 - -
2179 - -
784 - -
263 278 -
1661 - -
1785 - -
1574 - -
1091 - -
1824 48 68
412 7881 -
660 51 163
2099 2093 1855
2047 291 90
2048 11 550
1955 - -
107 1768 788
2188 31 -
1621 131 -
186 - -
1658 334 321
1657 521 -
1656 114 -
2200 - -
2670 PI_590180 622
2185 1 -
1568 65 2688.3
1044 361 670
930 7881 -
192 7881 -
420 780 7881
428 7881 -
1862 24 -
55 - -
1653 7881 -
1652 361 1684
1788 1509 -
307 - -
1553 - -
472 - -
353 1114 -
2075 - -
406 - -
441 - -
1914 3 6
1649 1637 -
662 - -
321 - -
1646 327 493
1895 51 2470
1998 - -
2110 - -
1607 - -
2101 2036 163
2181 - -
2218 59 25
767 1946 163
1910 - -
1335 167 4922
1644 1114 278
1789 788 4922
1643 278 -
1459 - -
2269 452 24
1015 - -
1876 90 340
1889 - -
1642 327 397
1992 1438 2103
2309 - -
1638 - -
1639 361 -
1640 493 562
2148 46 25
2128 61 29
2143 - -
2046 943 -
1637 - -
2355 65 -
2849 1481 65
2848 546 57
2041 943 51
1054 67 -
1964 - -
2027 3190 587
2651 1448 6
1790 286 -
1791 29 -
1460 - -
935 278 -
1636 780 -
1635 - -
2272 - -
601 1114 -
2115 2108 -
2271 - -
1896 93 3
1816 24 6393
2132 - -
2166 - -
2109 105 -
1634 - -
1929 - -
1104 - -
1800 448 -
2324 629 1024
2276 452 1251
1827 1806 37
2103 1045 291
1888 2033 950
1997 - -
1942 - -
2794 PI_589910 -
1935 787 PI_588946
2671 112 163
97 629 37
2072 - -
1984 761 -
2285 - -
387 4325 278
2322 30 69
1848 1509 -
1761 2855 30
1901 2841 -
1988 - -
2086 943 550
2104 2469 -
1996 - -
229 7881 -
2020 USA_SSE0111 -
2990 - -
2310 2266 -
1584 7881 -
822 110 163
2157 1438 629
2256 461 -
1602 - -
262 622 -
2049 622 -
735 488 340
2000 - -
2105 - -
1898 943 550
3170 23 6
1633 10 -
1922 - -
2325 2311 -
2809 - -
2087 - -
750 1103 42
1632 7881 -
1973 550 163
2820 106 448
1841 - -
1825 3158 -
932 31 62
2284 - -
927 3050 -
2762 2755.2 PI_437063
1579 - -
115 - -
2182 - -
2083 - -
2242 105 -
3026 37 -
206 10 -
2836 950 245
2061 508 448
2066 1438 597
2070 51 163
2076 11 3
1833 - -
466 - -
489 - -
681 - -
2274 61 -
936 548 566
2028 943 51
1591 65 565
185 - -
391 394 -
1631 - -
769 - -
1457 - -
2258 - -
445 - -
1630 - -
1461 508 -
1792 1806 31
2344 - -
2260 - -
2056 334 -
1975 550 163
2019 2914 PI_383513
1926 106 587
1793 - -
2067 - -
2016 700 -
1907 2033 163
324 - -
2106 84 622
2145 57 1
149 - -
2078 - -
1913 2862 303
2267 61 6
2342 6031 -
1764 2855 42
670 - -
160 745 95
2303 1248 997
737 462 29
1828 4 448
2281 57 1529
2189 6031 -
809 6341 -
2183 - -
1481 2755.2 787
545 254 503
1829 - -
1803 82 234
1864 1448 37
1804 31 1248
1857 2329 -
1863 31 -
1806 - -
921 24 -
1868 - -
1807 48 31
1808 24 -
1865 42 -
1858 6393 -
1799 304 -
1813 31 -
1812 81 -
1814 - -
1861 2033 788
1794 - -
48 24 -
1787 68 573
487 1806 6520
1463 - -
1815 1806 31
574 167 -
1795 1806 -
483 63 -
1852 1806 -
1847 31 -
1851 1806 24
238 921 550
1849 24 -
1853 1863 1248
1854 - -
1850 24 -
52 - -
2009 546 57
129 1920 149
71 57 447
3158 24 31
1248 - -
1521 278 1114
394 - -
527 - -
2934 PI_437063 -
178 1 -
642 - -
4966 - -
785 57 550
69 2841 -
5 4 -
FBo_WP3_0308 4 24
FBo_WP3_0247 4 29
4 - -
1855 - -
515 - 508
1059 6541 548
60 933 -
676 30 29
605 1232 -
146 65 118
2386 - -
FBo_WP3_363 - -
4860 137 X3191
820 683 785
1115 2409 2406
678 658 163
1031 25 508
522 278 -
1479 - -
1480 508 2391
202 - -
1472 566 739
5233 4675 -
85 81 108
559 68 -
765 57 17
1123 546 65
246 163 65
4798.3 309 -
242 - -
1061 29 3190
4837 - -
1033.3 - -
286 550 78
943 291 -
2391 - 6
788 508 USA_SSE0032
254 78 550
68 - -
687.3 202 65
PI_644176 - -
261 550 163
672 95 61
543 48 550
PI_589896 - -
252 65 32
368 677 1431
651 677 65
FBo_WP3_0097 57 1479
2392 65 1479
FBo_WP3_0217 65 1479
FBo_WP3_0098 65 1479
FBo_WP3_0103 508 -
FBo_WP3_0109 6 1479
FBo_WP3_0110 6 1479
4648 448 2392
1236 2388 -
4649 65 FBo_WP3_0217
267 FBo_WP3_0098 -
2393 193.3 167
1478 788 -
1222.3 236 167
1113 587 -
42 344 278
131 278 -
1119 78 FBo_WP3_0103
1049 - FBo_WP3_0110
738.2 65 163
31 - -
573 24 -
1762 1480 2393
1842 4 -
1218 65 1031
533 2037 1041
463 1857 722
946 508 65
2396 1236 118
1213.3 690.3 1238.3
204 508 550
1431 57 943
1238.3 4798.3 254
1758 FBo_WP3_0247 503
462 USA_SSE0107 -
234 - -
591 - -
6539 448 2392
6540 448 -
2414 2388 -
2425 717 267
2412 693 2386
2418 1113 2425
2413 693 1059
2416 566 146
2407 65 2396
6541 4649 131
2400 65 1447
2398 65 FBo_WP3_0308
939 - -
113 95 30
233 921 32
1753 2393 -
96 163 658
440 - -
2348 249 -
197 - -
2345 - -
703 65 717
21 - -
12 - -
693 65 118
106 - -
83 670 361
3 30 1132
108 - -
668 448 5249
95 1114 278
110 30 1045
91 278 -
677 658 163
562 106 -
503 106 508
163 732 2692
2388 57 334
236 29 -
1648 361 -
1209.3 65 1125
62 95 29
4843 - X03174
722 - -
683 65 1061
409 7881 -
448 447 2755.2
75 550 11
1412.2 - 137
411 - -
6492 10 -
304 - -
137 65 32
2802 6 23
5240 FEM_2_19 1377
763 163 717
566 4648 57
49 69 722
318 546 448
739 584 65
658 30 69
176 1509 -
315 - -
625 85 448
65 3190 -
37 42 -
1110 65 2386
72 7 -
548 2928 1132
3190 - -
717 462 57
373 1509 5993
32 163 2033
2093 - -
78 14 163
57 522 -
30 - -
101 10 -
565 106 -
344 - -
584 163 448
114 - -
2329 - -
10 - -
1125 548 USA_SSE0090
488 - -
585 1055.3 FBo_WP3_0109
708 - -
5239 - -
998 - -
1055.3 508 2856
1029.3 739 687.3
508 - -
1709 - -
402 - -
167 508 USA_TOC_1003311
526 57 448
685 57 65
1232 57 334
200 202 -
787 - -
23 - -
1447 309 FBo_WP3_0097
17 462 23
2625 1481 65
249 448 USA_TOC_3702714
FEM_1_83 USA_TOC_1003311 -
5242 - -
193.3 2392 57
235.3 65 1061
657 30 -
446.2 448 -
546 - -
1124 677 FBo_WP3_0110
2302 29 65
334 - -
FEM_2_19 - -
13 - -
997 - -
1377 - -
690.3 65 254
5241 327 334
1378 - -
3842 - -
764 17 163
34 84 30
945 - -
309 508 448
301 - -
468 2865 82
5237 42 234
5238 57 448
465 - -
366 1033.3 -
24 - -
5244 - -
447 - -
360 163 2818
50 2665 -
550 - -
77 - -
5867 - -
954 - -
67.47 163 658
Antonovka_34.5 1041 4
Buckley_Giant - -
F_McMahan - -
F_X4355 65 118
F_X4596 - -
Forest_Winter 77 -
M_Diwa 717 687.3
MN1627 29 65
NJ110037 167 -
NJ123249 - -
NJ77349 - -
NJ8 FEM_1_83 1031
NY18491 1055.3 4
PRI_14_226 65 1479
PRI_1668_100 - -
PRI_370_15 57 2392
PRI_45_48 448 1378
PRI_610_2 508 -
