MUNQ	Index	P1	P2
87	Gloria_Mundi	-	-
89	Reinette_de_Geer	Reinette_de_Hollande	Genotype_11
90	Golden_Noble	Reinette_de_Hollande	Genotype_11
91	Champagner_Renette	Reinette_Franche	UP_Champagner_Renette
92	Drap_dOr_Guemene	-	-
93	Grenadier	Keswick_Codlin	Hawthordenske
94	Filippa	Prinzen_Apfel	UP_Filippa
95	Calville_Blanc	Calville_Rouge	Reinette_Franche
97	Strauwaldova_parmena	Kasseler_Renette	Golden_Parmaene
98	Hoary_Morning	-	-
99	Schoner_von_Nordhausen	-	-
100	Reinette_de_Lucas	Court_Pendu	UP_Reinette_de_Lucas
101	Kalterer_Bohmer	Lady	UP_Kalterer_Bohmer
102	Carmignole_Musquee	-	-
103	Cabarette	Genotype_11	UP_Cabarette
104	Pomme_Banane	Nonsuch_Park	Genotype_16
105	Court_Pendu	Brabant_Bellefleur	UP_Court_Pendu
106	Ben_Davis	-	-
107	Rodluvan	Barchatnoje	Lobo_SGGW
109	Calville_St_Sauveur	Calville_Blanc	UP_Calville_St_Sauveur
110	Cellini	Kaiser_Alexander	Ye_Old_Peasgood
111	President_Roulin	Bismarkapfel	Golden_Noble
112	Democrat	Kaiser_Alexander	Scarlet_Nonpareil
113	Adersleber_Kalvill	Calville_Blanc	Kaiser_Alexander
114	Kostlicher	-	-
115	Trticke_bezejmenne	-	-
116	Cornish_Gilliflower	Genotype_14	UP_Cornish_Gilliflower
122	Reinette_Doree	Reinette_Franche	UP_Reinette_Doree
124	Bonne_Hotture	Reinette_Franche	UP_Bonne_Hotture
125	Grain_dOr_des_Charentes	-	-
128	Parkerovo	Reinette_Franche	Genotype_17
129	Lord_Derby	Forester	Woodford
130	Groninger_Krone	Reinette_de_Hollande	UP_Groninger_Krone
132	Gloire_de_Fauquemont	-	-
133	Keiing-Spaanse	-	-
134	Reinette_Thouin	-	-
135	Reinette_de_Bordeaux	Reinette_Franche	UP_Reinette_de_Bordeaux
139	Fil_Jaune	-	-
140	Flower_of_the_Town	-	-
141	Mrs._Phillimore	Coxs_Pomona	UP_Mrs._Phillimore
143	Polly	-	-
146	Cloden	Golden_Delicious	Reinette_Clochard
148	Court-Pendu_Sugny	Nonpareil	UP_Court-Pendu_Sugny
149	Woodford	-	-
152	Histon_Favourite	Hawthordenske	Court_of_Wick
160	Zazzari	Opetian	Calville_Blanc
161	Mela_Gialla_I	M_8	UP_Mela_Gialla_I
165	Bela_d_Barge	Rome_Beauty	UP_Bela_d_Barge
166	Bonnet_de_Comte	Genotype_7	UP_Bonnet_de_Comte
167	Melba	McIntosh	Tetofsky
168	Lundbytorp	Ilrod_Pigeon	Kaiser_Alexander
170	Eri_Sagarra	-	-
171	Fior_dAcacia_PC	Genotype_7	UP_Fior_dAcacia_PC
173	Edelroter	Calamano	UP_Edelroter
174	Feuillemorte	-	-
175	Puma_Tenerella	-	-
176	Gelber_Richard	Pigeon_Hvid_Vinter	Genotype_11
177	Andre_Briollay	-	-
178	Pomme_de_Sucre	Brabant_Bellefleur	UP_Pomme_de_Sucre
179	Pomme_Orange	-	-
181	Pomme_des_Ruelles	Brabant_Bellefleur	Pomme_Douce_Dubois
182	La_Limbourgeoise	Genotype_11	UP_La_Limbourgeoise
184	Mignonnette	Genotype_7	UP_Mignonnette
185	Vigne_Royale	-	-
186	Romarin	-	-
190	Pilette	-	-
192	Rose_Double	Genotype_7	UP_Rose_Double
193	Priam	PRI_14-126	Jonathan
197	Annurca	-	-
198	Dama	-	-
200	Nathusius_Taubenapfel_FEM	Fraurotacher	UP_Nathusius_Taubenapfel_FEM
203	Nanny	-	-
204	Tydemans_Early_Worcester	McIntosh	Worcester_Pearmain
205	Chataignier	Fraurotacher	UP_Chataignier
206	unknown_1948-209	Lady	UP_unknown_1948-209
207	Pomme_de_Glace	-	-
210	Chenango_Strawberry	Sweet_Bough	UP_Chenango_Strawberry
211	Calville_Rayee_de_Remperheim	-	-
216	Bordes	-	-
218	Reinette_de_Plouerc	-	-
227	Pum_Rosa	Genotype_7	UP_Pum_Rosa
228	Lavina	-	-
229	Suzette	Genotype_7	UP_Suzette
231	Altlander_Pfannkuchen	Boikenapfel	Kasseler_Renette
233	Alice	Gyllenkroks_Astrakan	Ingrid_Marie
234	Weisser_Wintertaffetapfel	-	-
235,2	Primold_Deljeni	Golden_Delicious	Jon_Grimes
236	Crimson_Beauty	Duchess_of_Oldenburg	UP_Crimson_Beauty
238	Sylvia	Gyllenkroks_Astrakan	Worcester_Pearmain
239	Lowland_Raspberry	-	-
241	Canvada	Genotype_1	Irish_Peach
242	Jolyne	-	-
245	Charles_Ross	Peasgoods_Nonsuch	Coxs_Orange_Pippin
246	Ivette	Coxs_Orange_Pippin	Golden_Delicious
248	Oury	-	-
249	Orleans	Delicious	Deacon_Jones
251	Platet	Lady	UP_Platet
252	Odin	Golden_Delicious	Ingrid_Marie
255	Fenouillet_de_Ribours	Rus_d_Muslot	UP_Fenouillet_de_Ribours
256	Medaille_DOr	-	-
258	Cagarlaou	Reinette_Franche	UP_Cagarlaou
261	Merton_Worcester	Worcester_Pearmain	Coxs_Orange_Pippin
262	Tewkesbury_Baron	Devonshire	UP_Tewkesbury_Baron
263	Renetta_di_Grenoble	Reinette_Franche	UP_Renetta_di_Grenoble
264	Mosancelj	Trat._Laze	Reinette_Franche
266	Pomme_dAdam	Lady	UP_Pomme_dAdam
268	Malinove_sloupenske	Himbeerapfel_aus_Holowaus	Heuapfel
270	Belle_Flavoise	-	-
271	Api_Noir	Lady	UP_Api_Noir
273	Batullenapfel	-	-
277	Oberlausitzer_Muskatrenette	Margil	UP_O_Muskatrenette
279	Lusin	Reinette_Franche	UP_Lusin
281	Brownlees_Russet	Nonpareil	UP_Brownlees_Russet
283	Reinette_de_Seguin	-	-
286	Katja	Worcester_Pearmain	James_Grieve
288	Coing_du_Cantal	Reinette_Franche	UP_Coing_du_Cantal
290	Chelmsfordske	Dumelows_Seedling	UP_Chelmsfordske
300	De_Vendu_Leveque	-	-
301	Spatbluhender_Taffe	-	-
303	Fameuse	-	-
304	Calamano	-	-
306	Bebe_Rose	Rus_d_Muslot	Lady
307	Rouge_de_Claron	-	-
308	Apfel_von_Akero	Gragylling	Saint_Germain
312	Calville_de_Doue	-	-
315	Gewurzluiken	-	-
316	Reinette_van_Berks	Rus_d_Muslot	UP_Reinette_van_Berks
317	Marie-Joseph_dOthee	Rheinischer_Krummstiel	UP_Marie-Joseph_dOthee
321	Rus_d_Muslot	-	-
323	Bec_dOie	Calville_Rouge	UP_Bec_dOie
324	Winter_Marigold	-	-
326	Merveille_de_Vitry	-	-
327	Missouri_Pippin	Smiths_Cider	UP_Missouri_Pippin
328	Anisha_Hosta	-	-
330	Gelato_Cola	Oxiu	Limoncella
331	Negu_Sagarra	-	-
332	Reinette_de_Maurs	Reinette_Franche	UP_Reinette_de_Maurs
333	William_Crump	-	-
338	Cabusse	Reinette_Franche	UP_Cabusse
340	Dumelows_Seedling	Northern_Greening	UP_Dumelows_Seedling
341	Kerry_Pippin	Karmelitter_Renette	UP_Kerry_Pippin
342	Charlot	Calville_Rouge_dHiver	UP_Charlot
343	Appia_RT	-	-
345	Jopke	-	-
347	Madama	-	-
350	Lazzeruola	Reinette_Franche	UP_Lazzeruola
352	Belle-Fleur_de_Saint-Benoit	-	-
353	Rouget_de_Born	Calville_Rouge	UP_Rouget_de_Born
355	Mabbotts_Pearmain	Karmelitter_Renette	Reinette_Franche
360	Winston	Coxs_Orange_Pippin	Northern_Greening
361	Calville_Rouge_dHiver	Calville_Rouge	Reinette_Franche
362	Doree_de_Tournai	Golden_Harvey	Calville_Blanc
363	Clarinette	Reinette_de_Hollande	UP_Clarinette
365	Eneerd	Annie_Elizabeth	Lord_Derby
366	Vista_Bella	Julyred	NJ77349
368	Pilot	Clivia	Undine
373	Ilrod_Pigeon	Pigeon_Hvid_Vinter	Dansk_Rosenhager
374	Racine	-	-
378	Friandise	-	-
386	Mela_Tellina	-	-
387	Sucre_Vert	Glane	Reinette_Franche
388	Belle_de_Tours	Calville_Rouge_dHiver	Glane
391	Vigneronne	-	-
396	Mela_Mezza_Rosa	Genotype_7	UP_Mela_Mezza_Rosa
397	Decio	Genotype_7	UP_Decio
398	Paoluccia_LT	Genotype_7	UP_Paoluccia_LT
401	Trelage	-	-
402	Mela_Maggiaiola	-	-
404	Petit_Api	Genotype_7	UP_Petit_Api
405	Reinette_dAnthezieux	Genotype_7	UP_Reinette_dAnthezieux
406	Rous_dBorsetta	-	-
408	Francesca_MI	-	-
409	Delia_73	Genotype_7	UP_Delia_73
410	Morello	Genotype_7	UP_Morello
411	Durello_di_Forli	-	-
412	Riot	Genotype_7	UP_Riot
415	Baccalarisca	-	-
416	De_Bonde	Reinette_Franche	Genotype_7
420	Rose_Douce	Oxiu	Genotype_7
422	Mela_Tosta	-	-
424	Barraude	Rose_Double	UP_Barraude
425	Reinette_Grise_de_Saintonge	Genotype_7	UP_Reinette_G_d_S
428	Rose_Rouge	Genotype_7	UP_Rose_Rouge
433	Pomme_Crotte	Calville_Rouge	Genotype_7
435	Renetta_Grigia_di_Torriana	-	-
440	Amassia	-	-
441	Rous_Giaiet	-	-
444	Pirja	Melba	Huvitus
445	Violetta	-	-
446	Priscilla	Delicious	PRI_610-2
449	Ulmer_Reinette	Kaiser_Alexander	UP_Ulmer_Reinette
452	Himbeerapfel_aus_Holowaus	Calville_Rouge	Weisser_Wintertaffetapfel
455	Pum_Salam	-	-
457	Gazerau	-	-
458	Saint_Michel	-	-
459	Beurriere	-	-
461	Rheinischer_Krummstiel	-	-
463	Stenkyrke	Fullero	Danziger_Kantapfel
464	Pomme_Noire	-	-
465	Tiroler_Spitzlederer	-	-
466	Vedette_du_Bearn	-	-
468	Stark_Earliest	Jefferis	Roter_Astrachan
472	Rouget	-	-
473	Broad-Eyed_Pippin_of_B	Maharaji	UP_Broad-Eyed_Pippin_of_B
474	Elizon	Opetian	Fenouillet_Gris_2
480	Louquotte	-	-
481	Maiapfel	-	-
483	Snovit	Pomme_D_ete_Rougeur_de_Peche	UP_Snovit
487	Ringstad	Gragylling	Passe_Pomme_Rouge
488	Lavanttaler_Bananenapfel	-	-
489	Venus_Pippin	-	-
490	Bramleyovo_cervene	Lord_Derby	Charles_Ross
491	Reinette_Sanguine_du_Rhin	-	-
493	Rambour_Frank_MI	-	-
498	Grosse_Pomme_du_Marche	Rus_d_Muslot	UP_Grosse_Pomme_du_Marche
499	Cellini_Falso	Rheinischer_Krummstiel	Baumanns_Renette
503	Cortland	Ben_Davis	McIntosh
505	Champ_Gaillard	-	-
512	Kanelapple	-	-
513	Reinette_Daniel	Reinette_Franche	UP_Reinette_Daniel
515	Bancroft	UP_Bancroft	McIntosh
517	Jerusalem	Genotype_11	UP_Jerusalem
520	Alfred_Jolibois	De_LEstre	UP_Alfred_Jolibois
521	Gris_Canaviot	-	-
523	George_Carpenter	Peasgoods_Nonsuch	Golden_Parmaene
526	Melrose	Jonathan	Delicious
527	Fenouillet_Gris_2	-	-
530	Reinette_de_Wattripont	-	-
533	Slonenok	Scarlet_Pearmain	Longfield
534	Belle_et_Bonne_de_Huy	Reinette_de_Hollande	Genotype_11
537	Roter_Ananas	Calville_Rouge	UP_Roter_Ananas
543	Mio	Oranie	Worcester_Pearmain
544	Konigin_Luisenapfel	Fameuse	UP_Konigin_Luisenapfel
545	Birgit_Bonnier	Lord_Lambourne	Cortland
549	Hockings_Green	-	-
553	Reinette_de_Raffray	Reinette_Franche	UP_Reinette_de_Raffray
554	Pepin_Meunier	Reinette_Franche	UP_Pepin_Meunier
559	Guldborg	Maglemer	UP_Guldborg
560	Opalescent	Hubbardston_Nonsuch	UP_Opalescent
561	Mohringer_Rosenapfel	Weisser_Astrachan	UP_Mohringer_Rosenapfel
562	Commercio	Ben_Davis	UP_Commercio
564	Caroline	-	-
565	Kansas_Queen	Ben_Davis	Genotype_8
567	Gambefine_Fine_Lunghe	Calville_Rouge_dHiver	UP_Gambefine_Fine_Lunghe
570	Pomme_Fer	-	-
571	Pepin_de_Bourgueil	-	-
573	Savstaholm	Weisser_Astrachan	UP_Savstaholm
574	Silva	Melba	UP_Silva
575	Atlas	Tetofsky	UP_Atlas
577	Normans_Pippin	Nonpareil	UP_Normans_Pippin
579	Pepin_dOr	Golden_Harvey	Genotype_11
582	Wyken_Pippin	Reinette_Franche	UP_Wyken_Pippin
585	Liberty	Macoun	PRI_54-12
589	Patte_de_Loup	Reinette_Franche	UP_Patte_de_Loup
590	Calville_dUlzen	Pommerscher_Krummstiel	UP_Calville_dUlzen
591	Williams_Favourite	-	-
592	Graham	Northern_Spy	Williams_Favourite
593	Ama_Birgen_Sagarra	Calville_Rouge	UP_Ama_Birgen_Sagarra
597	Krasne_z_Hans	Reinette_de_Hollande	Maharaji
598	Old_Pearmain	-	-
599	Groseille	-	-
601	Sops-in-Wine	Calville_Rouge	UP_Sops-in-Wine
602	Florianer_Rosenapfel	-	-
603	Mantet	Tetofsky	UP_Mantet
605	Burgundy	Monroe	NY18491
606	Belle-Fille_Normande	-	-
621	Teton_de_Demoiselle	-	-
622	Devonshire	-	-
624	Coopers_Seedling	Cellini	Lord_Suffield
626	Petit_Museau_de_Lievre	-	-
627	Fleuritard_Rouge	Glane	UP_Fleuritard_Rouge
628	Jaunette_dAllondans	-	-
635	Chaux	Reinette_Franche	UP_Chaux
636	Calville_dAout	Lord_Suffield	UP_Calville_dAout
637	Entzea_Sagarra	-	-
638	M_9	M_8	UP_M_9
639	Fiessers_Erstling	Keswick_Codlin	Bismarkapfel
640	Michotte	-	-
641	Cravert_Rouge	Reinette_Franche	UP_Cravert_Rouge
643	Melkappel	-	-
644	Fruher_Viktoria_Apfel	Keswick_Codlin	Hawthordenske
645	France_Deliquet	Glane	UP_France_Deliquet
652	Belle_Fleur_Krasnyi	Bellefleur_Kitaika	UP_Belle_Fleur_Krasnyi
653	Grosse_de_Saint-Clement	-	-
654	Astillisch	Signe_Tillisch	Roter_Astrachan
655	Maidstone_Favourite	Beauty_of_Bath	Kaiser_Alexander
657	Prinz_Albert	Kaiser_Alexander	UP_Prinz_Albert
659	De_Noel	-	-
660	Rival	Peasgoods_Nonsuch	Coxs_Orange_Pippin
662	Rus_Cavallotta	-	-
664	Pomme_de_Waleffe	Gueule_de_Mouton	Kaiser_Alexander
667	Laxtons_Superb	Cellini	Coxs_Orange_Pippin
669	Grassi_Vino_Cotto	-	-
670	Zavergravelu_Rouge	-	-
672	Minister_von_Hammerstein	Calville_Blanc	Landsberger_Reinette
673	Gian_dAndre	Calville_Rouge_dHiver	UP_Gian_dAndre
674	Pepino_Jaune	-	-
676	Bessemyanka_Mitshurinskaya	Kaiser_Alexander	Duchess_of_Oldenburg
678	Dukat	Geheimrat_Dr_Oldenburg	Coxs_Orange_Pippin
679	Reverend_W._Wilks	Peasgoods_Nonsuch	Lord_Suffield
681	Vernade	-	-
682	Molleskov	Genotype_11	UP_Molleskov
683	Delcorf	Golden_Delicious	Jon_Grimes
685	Meran	Jonathan	Golden_Delicious
689	Cassou	-	-
691	Giant_Geniton	Ralls_Janet	UP_Giant_Geniton
694	Blahuv_poklad	Blahovo_Libovicke	Roter_Winterhimbeerapfel
697	Grenoble_PC	Calville_Rouge_dHiver	UP_Grenoble_PC
699	Reinette_de_Pluvigne	-	-
700	French_Crab	-	-
702	Jacquin	Oxiu	UP_Jacquin
704	De_LEstre	Reinette_Franche	UP_De_LEstre
706	Reinette_Evagil	-	-
708	Limoncella	-	-
709	Estirochia_Sagarra	-	-
714	Hajkova_muskatova_reneta	Baumanns_Renette	Margil
721	Marechal	-	-
722	Danziger_Kantapfel	-	-
727	Pomme_Royale	-	-
729	Merchant_Apple	-	-
730	Black_Gilliflower	Genotype_14	UP_Black_Gilliflower
733	Roumentine	-	-
734	Barchards_Seedling	Kerry_Pippin	Tyra_Mathiesen
735	Thomas_Rivers	Lavanttaler_Bananenapfel	Dumelows_Seedling
737	Zhigulevskoe	Wagener	Duchess_of_Oldenburg
740	Daru_Sovari	-	-
743	Libovicka_oranzova_reneta	Lavanttaler_Bananenapfel	Queen
745	Opetian	-	-
748	Reale_dEntraygues	Reinette_Franche	UP_Reale_dEntraygues
750	Tonnes	Schwarzwaldenske	Reinette_de_Hollande
752	Pouzac	Reinette_Franche	UP_Pouzac
757	La_Nationale	Calville_Rouge_dHiver	Romarin
759	Bella_del_Giardino	-	-
760	Carrey	Calville_Rouge	UP_Carrey
762	Calville_Malingre	Reinette_Franche	UP_Calville_Malingre
764	Schweizer_Orangenapfel	Ontario	Coxs_Orange_Pippin
765	Herma	Jonathan	Ontario
767	Rubens	Knobby_Russet	Coxs_Orange_Pippin
769	Viktorie_cervena	-	-
778	Pederstrup	Reinette_de_Hollande	Elmelund
779	Schoner_aus_Herrnhut	Heuapfel	UP_Schoner_aus_Hh
780	Oxiu	-	-
784	Renet_Simirenka	-	-
785	Akane	Jonathan	Worcester_Pearmain
786	Devonshire_Buckland	-	-
789	Capo_dAsino_1	-	-
793	Belle_Fille_de_St_Feyre	-	-
794	Lemon_Queen	Hawthordenske	UP_Lemon_Queen
795	Adamss_Pearmain	Karmelitter_Renette	Reinette_Franche
799	Court_of_Wick	Reinette_de_Hollande	Golden_Harvey
809	Zoete_Ermgaard	Champagne_Zoete	UP_Zoete_Ermgaard
810	Gelata	Oxiu	UP_Gelata
812	Pigeon_de_Jerusalem	-	-
819	Herrings_Pippin	Cellini	Coxs_Orange_Pippin
820	Delrouval	Delcorf	Akane
822	Taunton_Cross	Cellini	Coxs_Orange_Pippin
826	De_Quint	Reinette_Franche	UP_De_Quint
827	Burr_Knot_2	Reinette_Franche	Genotype_15
852	Clemens	Reinette_Franche	UP_Clemens
914	Bakers_Delicious	Lavanttaler_Bananenapfel	James_Grieve
918	Charles_Eyre	Ecklinville	Charles_Ross
921	Gyllenkroks_Astrakan	Weisser_Astrachan	UP_Gyllenkroks_Astrakan
925	Buckingham	Genotype_9	UP_Buckingham
927	Trompe_Gelee	-	-
928	Sugar_Loaf_Pippin	Ye_Old_Peasgood	Sommergewurzapfel
929	Barry	McIntosh	Coxs_Orange_Pippin
930	Rose_de_Benauge	Genotype_7	UP_Rose_de_Benauge
931	Janousek	Lavanttaler_Bananenapfel	Coxs_Orange_Pippin
932	Transparente_de_Bois_G	Saint_Germain	Croncels
933	Bella_Scarlatta	Bellefleur_Kitaika	UP_Bela_Scarlatta
935	Solie	Reinette_Franche	UP_Solie
936	Viande	Granny_Smith	Florina
939	Red_Dougherty	-	-
940	Garola	Calville_Rouge_dHiver	UP_Garola
941	Hubbardston_Nonsuch	-	-
943	Lanes_Prince_Albert	Hawthordenske	UP_Lanes_P_A
945	Sommergewurzapfel	-	-
950	Ecklinville	Ye_Old_Peasgood	UP_Ecklinville
951	Choureau	Reinette_Franche	UP_Choureau
953	Repinaldo	Reinette_Franche	UP_Repinaldo
954	M_8	-	-
960	Sugar_Loaf	-	-
963	Calville_Rouge_du_Mont_Dore	Kaiser_Alexander	Calville_Rouge_dHiver
971	Tyra_Mathiesen	-	-
997	Roter_Palmapfel	-	-
1015	Schmidtbergers_Rote_Reinette	-	-
1016	Brusatte	Reinette_Grise_de_Saintonge	UP_Brusatte
1017	Bassard	Glane	UP_Bassard
1019	Monique_Dubourg	-	-
1020	Chusenrainer	Champagner_Renette	Zavergravelu_Rouge
1021	Barbe	-	-
1024	Buzaval_Ero_Alma	-	-
1031	Early_McIntosh	Yellow_Transparent	McIntosh
1033	Julyred	NJ8	NJ110037
1036	Bovarde	-	-
1044	Rose_dAjoie_Blaser	Calville_Rouge_dHiver	Zavergravelu_Rouge
1054	Shone_von_Fontenay	Belle_Fille_de_Lindre	UP_Shone_von_Fontenay
1055	Macoun	McIntosh	Jersey_Black
1061	Jon_Grimes	Duchess_of_Oldenburg	Grimes_Golden
1091	Ribonde	-	-
1101	Merveille_du_Parc	Coxs_Orange_Pippin	Golden_Delicious
1103	Schwarzwaldenske	-	-
1104	Staroceske_medove	-	-
1105	Rederova_reneta	Reinette_de_Hollande	Heuapfel
1108	Harisovo_ruzove	Roter_Palmapfel	Roter_Jungfernapfel
1110	Goldrush	Golden_Delicious	Co-op_17
1111	Reinette_Parmentier_INRA	Jonathan	Golden_Delicious
1123	Horei	Ralls_Janet	Golden_Delicious
1124	Reanda	Clivia	PRI_54-22
1126	Hans_Ueli	-	-
1218	Shinsei	Golden_Delicious	Early_McIntosh
1222,2	Quinte	Crimson_Beauty	Melba
1228	Jamba	Melba	James_Grieve
1232	Monroe	Jonathan	Rome_Beauty
1237	Howgate_Wonder	Annie_Elizabeth	Peasgoods_Nonsuch
1251	Oberdiecks_Renette	Reinette_de_Hollande	Genotype_3
1298	Holsteiner_Zitronenapfel	Keswick_Codlin	UP_Holsteiner_Zitronenapfel
1335	Samo	Melba	Huvitus
1343	Hordapfel	Trat._Laze	UP_Hardapfel
1377	Roter_von_Simonfi	-	-
1428	Cornish_Aromatic	Genotype_14	UP_Cornish_Aromatic
1430	Anis_Aliy_K-32	-	-
1431	Undine	Jonathan	Lanes_Prince_Albert
1438	Keswick_Codlin	-	-
1441	Golden_Pippin	Yellow_Ingestrie	UP_Golden_Pippin
1446	Moti	-	-
1447	Nova_Easygro	Spartan	PRI_10-147
1448	Osenee_Polosatoe	Gragylling	Heuapfel
1457	Villnas_Ananas	-	-
1458	Make	Atlas	UP_Make
1459	Sariola_SLU	-	-
1460	Socker-Miron	-	-
1461	Vishnevoe	McIntosh	UP_Vishnevoe
1462	Kirkniemi	Gragylling	Calville_Rouge
1463	Risater	-	-
1480	Fantazja	McIntosh	Linda
1481	Indo	Genotype_4	Newtown_Pippin
1483	Ceres_UNIBO	Jonathan	Coxs_Orange_Pippin
1489	Honeycrisp	Keepsake	MN1627
1509	Pigeon_Hvid_Vinter	-	-
1512	Reinette_de_Luneville	Reinette_Franche	UP_Reinette_de_Luneville
1513	Lavigne	-	-
1514	Martrange	Glane	UP_Martrange
1515	Mercier	-	-
1518	Bastien	-	-
1520	Canada_Rouge	Reinette_de_Cuzy_2	UP_Canada_Rouge
1521	Reinette_de_Cuzy_2	Reinette_Franche	Calville_Rouge
1529	Roter_Jungfernapfel	-	-
1552	Gordain_Churria	-	-
1553	Rouge_dOriule	-	-
1554	Pomme_Blanche_dete	Ama_Birgen_Sagarra	UP_Pomme_Blanche_dete
1555	Camuesa_Verde	Oxiu	UP_Camuesa_Verde
1556	Faurot	Jonathan	Ben_Davis
1557	Pomme_Citron	Reinette_Franche	UP_Pomme_Citron
1558	Marand_Rouge	-	-
1559	Pomme_Fougere	Reinette_Franche	UP_Pomme_Fougere
1560	Franklin	McIntosh	Delicious
1561	Rambour	Struznicke	UP_Rambour
1562	Reinette_de_Breda_Grise	Reinette_Franche	UP_Reinette_de_Breda_Grise
1563	Belle_de_Mleiev	McIntosh	Golden_Parmaene
1564	Calville_de_Mleiev	Golden_Parmaene	UP_Calville_De_Mleiev
1565	Gelade	Oxiu	UP_Gelade
1566	Berthier	-	-
1567	Beraud	Reinette_Franche	UP_Beraud
1568	Rosavril	Golden_Delicious	Jonalicious
1569	Cuyonette	-	-
1570	Pomme_de_Sore	Opetian	UP_Pomme_de_Sore
1571	Perregue	Golden_Parmaene	UP_Perregue
1572	Pomme_St_Jacques	-	-
1573	Cachao_Sagarra	-	-
1574	Ribante	-	-
1575	Beausoleil	UP1_Beausoleil	UP2_Beausoleil
1576	Cabana_Sagarra	Reinette_Franche	UP_Cabana_Sagarra
1577	Baguette_Violette	-	-
1578	Reinette_Blanche_de_Beussent	-	-
1579	Trouvee_de_Desandon	-	-
1580	Reinette_dHiver	-	-
1581	Rayotte	-	-
1582	Datte_Violette	-	-
1583	Bondy_de_Vilbert	Oxiu	UP_Bondy_de_Vilbert
1584	Tarella	Genotype_7	UP_Tarella
1585	La_Longue	Genotype_7	UP_La_Longue
1587	Barbanche	Reinette_Franche	UP_Barbanche
1588	Meunier	Genotype_7	UP_Meunier
1589	Mi-Aout_de_Chaussan	Genotype_7	UP_Mi-Aout_de_Chaussan
1590	Blanche_a_Cuire	-	-
