Genotype,Envir,Management,Row,Position,Color_over,R,P,Color_over_spats_residuals,Color_over_spats_geno_pred_values,Color_over_spats_adj_pheno
12_B023,BEL_2018_1,1,18,116,1,18,116,-0.378107708001335,1.27581154470547,0.897703836704131
12_B023,BEL_2018_1,1,17,54,1,17,54,0.0286578814039726,1.27581154470547,1.30446942610944
12_B057,BEL_2018_1,1,21,66,5,21,66,0.628158889844682,4.36688473364495,4.99504362348963
12_B057,BEL_2018_1,1,20,56,4,20,56,-0.304904820358972,4.36688473364495,4.06197991328597
12_B061,BEL_2018_1,1,21,79,0,21,79,-0.456700898342711,0.404423940634393,-0.0522769577083172
12_B061,BEL_2018_1,1,17,45,0,17,45,-0.082387219044595,0.404423940634393,0.322036721589798
12_B064,BEL_2018_1,1,24,33,1,24,33,-0.181001983289627,1.16071937132401,0.979717388034382
12_B064,BEL_2018_1,1,25,88,1,25,88,-0.193495116118813,1.16071937132401,0.967224255205195
12_B074,BEL_2018_1,1,24,92,0,24,92,-0.530303171815896,0.444790749686918,-0.0855124221289786
12_B081,BEL_2018_1,1,22,34,0,22,34,-0.514730876710352,0.516345417604367,0.00161454089401591
12_B093,BEL_2018_1,1,23,11,0,23,11,-0.287116679486999,0.20628016072088,-0.0808365187661191
12_B093,BEL_2018_1,1,20,93,0,20,93,-0.295093060904707,0.20628016072088,-0.0888129001838273
12_B095,BEL_2018_1,1,19,99,4,19,99,0.541802331151647,3.38996162844635,3.93176395959799
12_B095,BEL_2018_1,1,23,23,3,23,23,-0.431154026353811,3.38996162844635,2.95880760209254
12_E003,BEL_2018_1,1,19,19,0,19,19,-0.664780019895948,0.793534728744509,0.12875470884856
12_E003,BEL_2018_1,1,21,63,1,21,63,0.210373282459864,0.793534728744509,1.00390801120437
12_E014,BEL_2018_1,1,19,78,3,19,78,0.0592388796917631,2.98771006634682,3.04694894603858
12_E014,BEL_2018_1,1,22,13,3,22,13,-0.0361317544422177,2.98771006634682,2.9515783119046
12_E015,BEL_2018_1,1,22,36,4,22,36,0.0630295272697126,3.94065049996414,4.00368002723385
12_E015,BEL_2018_1,1,17,96,4,17,96,0.167464063212446,3.94065049996414,4.10811456317659
12_E017,BEL_2018_1,1,24,45,0,24,45,-0.515086585800805,0.514710934975465,-0.000375650825339857
12_E024,BEL_2018_1,1,18,93,0,18,93,-0.507468861379178,0.549714364950397,0.0422455035712189
12_E025,BEL_2018_1,1,21,11,0,21,11,-0.311441852285459,0.295140687209095,-0.0163011650763636
12_E025,BEL_2018_1,1,26,67,0,26,67,-0.251429354618742,0.295140687209095,0.043711332590353
12_E034,BEL_2018_1,1,23,16,0,23,16,-0.308244803703503,0.245009117817193,-0.0632356858863101
12_E034,BEL_2018_1,1,25,84,0,25,84,-0.265536433467009,0.245009117817193,-0.0205273156498157
12_E035,BEL_2018_1,1,25,43,0,25,43,-0.513386192168126,0.522524240650092,0.00913804848196642
12_E039,BEL_2018_1,1,20,25,0,20,25,-0.285605188595466,0.354169436435251,0.0685642478397849
12_E039,BEL_2018_1,1,19,68,0,19,68,-0.264419713107222,0.354169436435251,0.0897497233280295
12_E043,BEL_2018_1,1,19,88,3,19,88,-0.00518271570646522,3.00108871296273,2.99590599725627
12_E043,BEL_2018_1,1,21,48,3,21,48,0.0312014082831946,3.00108871296273,3.03229012124593
12_F002,BEL_2018_1,1,24,109,5,24,109,1.05486068382049,3.78733248612692,4.84219316994742
12_F002,BEL_2018_1,1,22,6,3,22,6,-0.857733377131636,3.78733248612692,2.92959910899529
12_F007,BEL_2018_1,1,20,51,3,20,51,-0.349382312071205,3.42145492922828,3.07207261715707
12_F007,BEL_2018_1,1,20,97,4,20,97,0.466884439098919,3.42145492922828,3.8883393683272
12_F019,BEL_2018_1,1,26,90,4,26,90,-0.381129513324686,4.38656836014395,4.00543884681927
12_F019,BEL_2018_1,1,19,4,5,19,4,0.708667289932672,4.38656836014395,5.09523565007663
12_F023,BEL_2018_1,1,19,31,5,19,31,0.770461870762345,4.37522929225904,5.14569116302139
12_F023,BEL_2018_1,1,25,99,4,25,99,-0.445391792160158,4.37522929225904,3.92983750009888
12_F040,BEL_2018_1,1,18,109,4,18,109,0.18952323966553,3.75239181187248,3.94191505153801
12_F045,BEL_2018_1,1,23,110,3,23,110,-0.0141804118148543,2.81637390080285,2.80219348898799
12_F046,BEL_2018_1,1,24,6,4,24,6,0.42509175942608,3.45682709066729,3.88191885009337
12_F046,BEL_2018_1,1,17,88,3,17,88,-0.299891661707142,3.45682709066729,3.15693542896015
12_F052,BEL_2018_1,1,25,74,4,25,74,0.470516406183705,3.53214901867836,4.00266542486206
12_F052,BEL_2018_1,1,18,12,3,18,12,-0.328924152298788,3.53214901867836,3.20322486637957
12_F054,BEL_2018_1,1,22,58,5,22,58,0.645288441883392,4.3498300869848,4.99511852886819
12_F054,BEL_2018_1,1,18,96,4,18,96,-0.325745940048565,4.3498300869848,4.02408414693623
12_I002,BEL_2018_1,1,25,53,5,25,53,0.251922409790907,4.76743783087671,5.01936024066762
12_I002,BEL_2018_1,1,22,81,5,22,81,0.158503205829695,4.76743783087671,4.9259410367064
12_I003,BEL_2018_1,1,17,111,4,17,111,-0.286164799677027,4.29688331097873,4.0107185113017
12_I003,BEL_2018_1,1,25,10,5,25,10,0.594184603624345,4.29688331097873,4.89106791460308
12_I005,BEL_2018_1,1,19,111,3,19,111,-0.0746192871544467,2.9324939145475,2.85787462739305
12_I005,BEL_2018_1,1,25,50,3,25,50,0.0857098349334149,2.9324939145475,3.01820374948092
12_I037,BEL_2018_1,1,21,7,4,21,7,0.15582656642319,3.81635900766373,3.97218557408692
12_I037,BEL_2018_1,1,24,104,4,24,104,0.0476177224055316,3.81635900766373,3.86397673006926
12_I049,BEL_2018_1,1,20,29,5,20,29,0.268886391471081,4.805082108219,5.07396849969008
12_I049,BEL_2018_1,1,25,92,5,25,92,0.149731670748322,4.805082108219,4.95481377896732
12_I056,BEL_2018_1,1,22,114,4,22,114,0.423933168709852,3.33634029700149,3.76027346571134
12_I056,BEL_2018_1,1,21,22,3,21,22,-0.324954363911299,3.33634029700149,3.01138593309019
12_I059,BEL_2018_1,1,21,2,4,21,2,0.192339712667176,3.76533350023412,3.95767321290129
12_I062,BEL_2018_1,1,24,13,5,24,13,0.64569479299844,4.26519413659761,4.91088892959605
12_I062,BEL_2018_1,1,23,84,4,23,84,-0.344571438849238,4.26519413659761,3.92062269774837
12_I064,BEL_2018_1,1,19,38,2,19,38,-0.130934574925317,2.27988873193556,2.14895415701024
12_J001,BEL_2018_1,1,19,50,3,19,50,-0.770425567212522,3.90973839846954,3.13931283125702
12_J001,BEL_2018_1,1,18,115,5,18,115,0.994191820669492,3.90973839846954,4.90393021913903
12_J004,BEL_2018_1,1,26,85,3,26,85,-0.421469681074682,3.43876052342207,3.01729084234739
12_J004,BEL_2018_1,1,23,32,4,23,32,0.54273798894854,3.43876052342207,3.98149851237061
12_J011,BEL_2018_1,1,25,9,5,25,9,0.358365510459726,4.52822174157924,4.88658725203897
12_J013,BEL_2018_1,1,26,23,5,26,23,0.218377073823042,4.7348637244199,4.95324079824295
12_J013,BEL_2018_1,1,21,85,5,21,85,0.184959506053166,4.7348637244199,4.91982323047307
12_J015,BEL_2018_1,1,17,28,5,17,28,0.436804969083689,4.88865091245103,5.32545588153472
12_J019,BEL_2018_1,1,22,25,4,22,25,0.632033331378498,3.35290603426733,3.98493936564583
12_J019,BEL_2018_1,1,20,108,3,20,108,-0.529449359274267,3.35290603426733,2.82345667499306
12_J028,BEL_2018_1,1,26,77,5,26,77,0.665729529005249,4.36689360168799,5.03262313069324
12_J028,BEL_2018_1,1,21,29,4,21,29,-0.342473529585581,4.36689360168799,4.02442007210241
12_J029,BEL_2018_1,1,22,31,4,22,31,0.199273712600128,3.79719521741705,3.99646893001718
12_J031,BEL_2018_1,1,25,106,1,25,106,-0.353497923854602,1.25721054511124,0.903712621256637
12_K010,BEL_2018_1,1,17,2,1,17,2,0.0567291283354704,1.22509241366448,1.28182154199995
12_K010,BEL_2018_1,1,24,117,1,24,117,-0.417216855031516,1.22509241366448,0.807875558632968
12_K016,BEL_2018_1,1,18,66,1,18,66,-0.171801166063086,1.34774773253784,1.17594656647476
12_K016,BEL_2018_1,1,18,4,1,18,4,-0.161993336034888,1.34774773253784,1.18575439650296
12_K018,BEL_2018_1,1,19,109,0,19,109,-0.40142277624961,0.271498670408273,-0.129924105841337
12_K018,BEL_2018_1,1,19,8,0,19,8,-0.16659359411112,0.271498670408273,0.104905076297153
12_K023,BEL_2018_1,1,25,35,0,25,35,-0.516619246958902,0.507668359718927,-0.00895088723997439
12_K024,BEL_2018_1,1,26,69,0,26,69,-0.257832141615909,0.300354140332685,0.0425219987167755
12_K024,BEL_2018_1,1,24,42,0,24,42,-0.3039044722153,0.300354140332685,-0.00355033188261539
12_K044,BEL_2018_1,1,19,71,0,19,71,-0.501074629536773,0.579095848731015,0.0780212191942412
12_K045,BEL_2018_1,1,20,26,0,20,26,-0.502512014422049,0.572491067776226,0.0699790533541774
12_K049,BEL_2018_1,1,17,66,0,17,66,-0.467599097822705,0.732915856567086,0.265316758744381
12_L001,BEL_2018_1,1,19,70,1,19,70,-0.321675349144394,1.40343521849651,1.08175986935211
12_L005,BEL_2018_1,1,23,95,0,23,95,-0.484853145214625,0.357577578797973,-0.127275566416652
12_L005,BEL_2018_1,1,17,58,0,17,58,-0.0644300494802782,0.357577578797973,0.293147529317695
12_L012,BEL_2018_1,1,26,80,1,26,80,-0.316686173356803,1.34476415590382,1.02807798254702
12_L012,BEL_2018_1,1,17,31,1,17,31,-0.0177576383832514,1.34476415590382,1.32700651752057
12_L013,BEL_2018_1,1,26,24,0,26,24,-0.224735406531321,0.182710520636211,-0.0420248858951101
12_L013,BEL_2018_1,1,23,106,0,23,106,-0.362603746121137,0.182710520636211,-0.179893225484926
12_N021,BEL_2018_1,1,24,64,0,24,64,-0.757480120750363,0.749971942342621,-0.00750817840774198
12_N021,BEL_2018_1,1,26,56,1,26,56,0.293592903770273,0.749971942342621,1.04356484611289
12_N034,BEL_2018_1,1,23,57,1,23,57,-0.183010535690702,1.17408948882338,0.991078953132676
12_N034,BEL_2018_1,1,26,97,1,26,97,-0.188576852564635,1.17408948882338,0.985512636258743
12_N039,BEL_2018_1,1,21,111,0,21,111,-0.545486821319011,0.323813193040611,-0.221673628278401
12_N039,BEL_2018_1,1,17,18,0,17,18,-0.0111444471546323,0.323813193040611,0.312668745885978
12_N041,BEL_2018_1,1,18,1,1,18,1,-0.0352702339646878,1.21448715479666,1.17921692083198
12_N041,BEL_2018_1,1,23,92,1,23,92,-0.327525493391084,1.21448715479666,0.88696166140558
12_N046,BEL_2018_1,1,23,88,3,23,88,0.000191811131944331,2.90368139199147,2.90387320312341
12_N046,BEL_2018_1,1,23,8,3,23,8,0.00462832666489543,2.90368139199147,2.90830971865636
12_N052,BEL_2018_1,1,21,72,4,21,72,-0.350598721097288,4.32650477696535,3.97590605586806
12_N052,BEL_2018_1,1,23,38,5,23,38,0.665064983720575,4.32650477696535,4.99156976068592
12_N057,BEL_2018_1,1,26,4,3,26,4,-0.00472181124481974,2.85983615335879,2.85511434211397
12_N062,BEL_2018_1,1,19,7,4,19,7,0.18905109144617,3.91321701654606,4.10226810799223
12_N062,BEL_2018_1,1,18,108,4,18,108,0.0354722065031234,3.91321701654606,3.94868922304918
12_N063,BEL_2018_1,1,24,57,5,24,57,0.378584438071874,4.62112767748201,4.99971211555388
12_O011,BEL_2018_1,1,21,34,5,21,34,0.260332578310852,4.77099675268056,5.03132933099141
12_O011,BEL_2018_1,1,22,82,5,22,82,0.15086755813697,4.77099675268056,4.92186431081753
12_O014,BEL_2018_1,1,17,109,5,17,109,0.382859586774401,4.64077197805773,5.02363156483213
12_O017,BEL_2018_1,1,22,4,4,22,4,0.186162898958001,3.73695105238349,3.92311395134149
12_O026,BEL_2018_1,1,26,60,5,26,60,0.127432637647246,4.91790717848324,5.04533981613049
12_O026,BEL_2018_1,1,18,35,5,18,35,0.315739312397988,4.91790717848324,5.23364649088123
12_O056,BEL_2018_1,1,25,95,5,25,95,0.368618435698767,4.5753339145563,4.94395235025507
12_O061,BEL_2018_1,1,19,64,5,19,64,0.228471105212125,4.87501056633466,5.10348167154679
12_O061,BEL_2018_1,1,20,43,5,20,43,0.205365343420719,4.87501056633466,5.08037590975538
12_O063,BEL_2018_1,1,24,14,5,24,14,0.621129793760828,4.29382952833328,4.91495932209411
12_O063,BEL_2018_1,1,18,103,4,18,103,-0.313774578245361,4.29382952833328,3.98005495008792
12_O072,BEL_2018_1,1,23,66,5,23,66,0.63009991469037,4.34557025884066,4.97567017353103
12_O072,BEL_2018_1,1,21,45,4,21,45,-0.311484470487004,4.34557025884066,4.03408578835365
12_O074,BEL_2018_1,1,18,45,5,18,45,0.375837844607414,4.85309084149243,5.22892868609985
12_O074,BEL_2018_1,1,24,94,5,24,94,0.0532282594230491,4.85309084149243,4.90631910091548
12_P001,BEL_2018_1,1,20,35,0,20,35,-0.1475271991023,0.22758864419207,0.0800614450897694
12_P001,BEL_2018_1,1,22,107,0,22,107,-0.430045219888543,0.22758864419207,-0.202456575696473
12_P002,BEL_2018_1,1,19,16,0,19,16,-0.269770097576942,0.392673512980249,0.122903415403307
12_P002,BEL_2018_1,1,17,94,0,17,94,-0.271875241196089,0.392673512980249,0.12079827178416
12_P003,BEL_2018_1,1,25,90,0,25,90,-0.29225711643412,0.253444445298791,-0.0388126711353284
12_P003,BEL_2018_1,1,24,31,0,24,31,-0.279688357778101,0.253444445298791,-0.0262439124793095
12_P018,BEL_2018_1,1,26,118,1,26,118,-1.55816321640126,2.47855283811026,0.920389621709002
12_P018,BEL_2018_1,1,25,23,4,25,23,1.47046350201363,2.47855283811026,3.94901634012389
12_P025,BEL_2018_1,1,18,7,2,18,7,0.00555045918091235,2.18670269269349,2.1922531518744
12_P025,BEL_2018_1,1,18,95,2,18,95,-0.156764920031607,2.18670269269349,2.02993777266189
12_P027,BEL_2018_1,1,17,73,0,17,73,-0.182386774181147,0.418359052525224,0.235972278344076
12_P027,BEL_2018_1,1,20,23,0,20,23,-0.353668673486515,0.418359052525224,0.064690379038709
12_P029,BEL_2018_1,1,20,74,4,20,74,-0.42105147252435,4.42607868331924,4.00502721079489
12_P029,BEL_2018_1,1,18,3,5,18,3,0.757187799445087,4.42607868331924,5.18326648276433
12_P034,BEL_2018_1,1,21,68,2,21,68,0.369525269096132,1.61978221813652,1.98930748723265
12_P034,BEL_2018_1,1,26,28,1,26,28,-0.644117465992801,1.61978221813652,0.97566475214372
12_P055,BEL_2018_1,1,25,69,2,25,69,-0.567107118928903,2.57792339456517,2.01081627563627
12_P055,BEL_2018_1,1,20,33,3,20,33,0.50103321421875,2.57792339456517,3.07895660878392
12_P056,BEL_2018_1,1,18,18,3,18,18,0.170764255974865,3.04399065599583,3.2147549119707
12_P056,BEL_2018_1,1,22,85,3,22,85,-0.13540890183633,3.04399065599583,2.9085817541595
1218,BEL_2018_1,1,19,48,0,19,48,-0.489559117588444,0.632009605359524,0.142450487771081
1236,BEL_2018_1,1,18,13,2,18,13,-0.12092021295114,2.32590470714093,2.20498449418979
13_10,BEL_2018_1,1,23,17,4,23,17,0.542687432600583,3.39739130644754,3.94007873904812
13_10,BEL_2018_1,1,26,103,3,26,103,-0.430422222271061,3.39739130644754,2.96696908417647
13_109,BEL_2018_1,1,17,4,4,17,4,0.305894496452126,3.98026562944571,4.28616012589784
13_109,BEL_2018_1,1,19,102,4,19,102,-0.0667795468764814,3.98026562944571,3.91348608256923
13_139,BEL_2018_1,1,20,64,5,20,64,0.214964298995708,4.82604034332064,5.04100464231635
13_139,BEL_2018_1,1,21,44,5,21,44,0.208214860792769,4.82604034332064,5.03425520411341
13_32,BEL_2018_1,1,25,15,4,25,15,0.0928302769279497,3.82180033133517,3.91463060826312
13_32,BEL_2018_1,1,25,98,4,25,98,0.111798195972101,3.82180033133517,3.93359852730727
13_35,BEL_2018_1,1,22,43,4,22,43,0.09552057044773,3.91270795602764,4.00822852647537
13_35,BEL_2018_1,1,26,70,4,26,70,0.128891941708685,3.91270795602764,4.04159989773633
13_38,BEL_2018_1,1,22,62,4,22,62,-0.359601418011962,4.34682167691561,3.98722025890364
13_38,BEL_2018_1,1,26,43,5,26,43,0.678489205755316,4.34682167691561,5.02531088267092
130,BEL_2018_1,1,22,27,3,22,27,-0.400134222289826,3.38899306950572,2.98885884721589
130,BEL_2018_1,1,23,89,4,23,89,0.510571741598896,3.38899306950572,3.89956481110461
131,BEL_2018_1,1,19,90,0,19,90,-0.439163433760328,0.424167907848438,-0.01499552591189
131,BEL_2018_1,1,17,34,0,17,34,-0.0956278446790943,0.424167907848438,0.328540063169343
133,BEL_2018_1,1,20,22,4,20,22,0.226281686235023,3.83658059337024,4.06286227960526
133,BEL_2018_1,1,21,104,4,21,104,-0.0184366153289082,3.83658059337024,3.81814397804133
135,BEL_2018_1,1,23,25,1,23,25,-0.0965552483300205,1.06142980424773,0.964874555917713
135,BEL_2018_1,1,20,30,1,20,30,0.0137686409863216,1.06142980424773,1.07519844523405
135,BEL_2018_1,1,21,102,1,21,102,-0.231865136043328,1.06142980424773,0.829564668204405
135,BEL_2018_1,1,22,65,1,22,65,-0.0814535401471106,1.06142980424773,0.979976264100623
1377,BEL_2018_1,1,17,92,4,17,92,0.0793845925389811,4.05398759299852,4.1333721855375
1377,BEL_2018_1,1,18,44,4,18,44,0.175774316230623,4.05398759299852,4.22976190922914
140,BEL_2018_1,1,22,92,0,22,92,-0.537132066516168,0.41341199085855,-0.123720075657618
141,BEL_2018_1,1,21,31,4,21,31,0.0203837618271367,4.00688662380423,4.02727038563136
141,BEL_2018_1,1,17,74,4,17,74,0.224524659959603,4.00688662380423,4.23141128376383
143,BEL_2018_1,1,19,86,0,19,86,-0.264283701550953,0.271186508013432,0.00690280646247982
143,BEL_2018_1,1,23,26,0,23,26,-0.303800604069275,0.271186508013432,-0.0326140960558423
1446,BEL_2018_1,1,24,28,0,24,28,-0.31434777653211,0.279945072870233,-0.0344027036618771
1446,BEL_2018_1,1,20,68,0,20,68,-0.251830420645146,0.279945072870233,0.0281146522250866
1478,BEL_2018_1,1,19,114,3,19,114,-0.0743565047650585,2.91345754956869,2.83910104480363
1478,BEL_2018_1,1,22,30,3,22,30,0.0813042076142083,2.91345754956869,2.9947617571829
1481,BEL_2018_1,1,19,80,0,19,80,-0.356794849837619,0.394735631826921,0.0379407819893022
1481,BEL_2018_1,1,18,55,0,18,55,-0.184401714255045,0.394735631826921,0.210333917571876
149,BEL_2018_1,1,26,81,0,26,81,-0.31028937887342,0.336213148339887,0.0259237694664673
149,BEL_2018_1,1,19,3,0,19,3,-0.243643312849949,0.336213148339887,0.0925698354899389
15,BEL_2018_1,1,22,93,4,22,93,0.176834514649204,3.69408714331301,3.87092165796222
152,BEL_2018_1,1,21,103,2,21,103,0.747113468591478,1.07659941118516,1.82371287977664
152,BEL_2018_1,1,25,20,0,25,20,-1.1399174217898,1.07659941118516,-0.0633180106046423
163,BEL_2018_1,1,22,106,4,22,106,0.164694873187437,3.63830551269619,3.80300038588362
17,BEL_2018_1,1,18,78,4,18,78,0.636906475349956,3.48739655435834,4.1243030297083
17,BEL_2018_1,1,22,24,3,22,24,-0.505053608165797,3.48739655435834,2.98234294619255
173,BEL_2018_1,1,26,9,1,26,9,-0.69909230644505,1.58154015335423,0.882447846909182
173,BEL_2018_1,1,17,113,2,17,113,0.416177567699371,1.58154015335423,1.9977177210536
1870,BEL_2018_1,1,26,26,3,26,26,0.0317354896974056,2.93525166591776,2.96698715561517
1870,BEL_2018_1,1,21,86,3,21,86,-0.0200447781637081,2.93525166591776,2.91520688775405
1872,BEL_2018_1,1,23,21,3,23,21,0.362227728539938,2.59027948218498,2.95250721072492
1872,BEL_2018_1,1,18,69,2,18,69,-0.425612603332607,2.59027948218498,2.16466687885237
1889,BEL_2018_1,1,18,80,0,18,80,-0.353402216051922,0.468341280014785,0.114939063962863
1889,BEL_2018_1,1,17,9,0,17,9,-0.171775702320262,0.468341280014785,0.296565577694524
1900,BEL_2018_1,1,22,113,5,22,113,0.540522831483242,4.22538708497392,4.76590991645717
1900,BEL_2018_1,1,22,22,4,22,22,-0.248062604048305,4.22538708497392,3.97732448092562
1901,BEL_2018_1,1,20,4,0,20,4,-0.285519427400186,0.30564867633555,0.0201292489353644
1901,BEL_2018_1,1,17,108,0,17,108,-0.275064947457898,0.30564867633555,0.030583728877652
192,BEL_2018_1,1,17,86,1,17,86,-0.238293489871403,1.40693751480257,1.16864402493117
192,BEL_2018_1,1,17,43,1,17,43,-0.082619661736306,1.40693751480257,1.32431785306626
1935,BEL_2018_1,1,20,38,4,20,38,0.947370155969993,3.13363424398145,4.08100439995144
1935,BEL_2018_1,1,17,72,2,17,72,-0.892505852281976,3.13363424398145,2.24112839169947
1951,BEL_2018_1,1,18,72,2,18,72,-0.490106559154683,2.64293271379035,2.15282615463566
1951,BEL_2018_1,1,20,41,3,20,41,0.438180498785763,2.64293271379035,3.08111321257611
1952,BEL_2018_1,1,18,25,1,18,25,-0.295889223211231,1.52192242064105,1.22603319742982
1962,BEL_2018_1,1,18,6,4,18,6,0.765940823118654,3.42424667262113,4.19018749573978
1962,BEL_2018_1,1,23,115,3,23,115,-0.647831134722301,3.42424667262113,2.77641553789883
197,BEL_2018_1,1,21,114,5,21,114,0.335921045074146,4.42508946362248,4.76101050869662
1988,BEL_2018_1,1,25,12,0,25,12,-0.532786581488399,0.433379486721862,-0.099407094766537
1989,BEL_2018_1,1,20,65,2,20,65,-0.977674847549969,3.0157704407033,2.03809559315333
1989,BEL_2018_1,1,20,5,4,20,5,1.00688869431704,3.0157704407033,4.02265913502034
1991,BEL_2018_1,1,21,112,2,21,112,0.186315728356366,1.58645194653819,1.77276767489455
1991,BEL_2018_1,1,19,14,1,19,14,-0.46816152366083,1.58645194653819,1.11829042287736
1997,BEL_2018_1,1,23,74,4,23,74,0.191874098407823,3.76319400355236,3.95506810196018
2,BEL_2018_1,1,20,14,2,20,14,-0.149462773920958,2.19475169097556,2.0452889170546
200,BEL_2018_1,1,18,11,5,18,11,0.342829241391335,4.85828194184162,5.20111118323295
200,BEL_2018_1,1,22,76,5,22,76,0.0873665911238319,4.85828194184162,4.94564853296545
2003,BEL_2018_1,1,24,84,0,24,84,-0.369947858357048,0.313778128789343,-0.0561697295677049
2003,BEL_2018_1,1,19,17,0,19,17,-0.188867320495501,0.313778128789343,0.124910808293842
2010,BEL_2018_1,1,19,15,2,19,15,-0.135954062242542,2.25682419676809,2.12087013452555
202,BEL_2018_1,1,18,76,4,18,76,-0.403763918091109,4.53817879320944,4.13441487511833
202,BEL_2018_1,1,26,100,5,26,100,0.437782875981527,4.53817879320944,4.97596166919097
202,BEL_2018_1,1,24,2,5,24,2,0.326513485222052,4.53817879320944,4.86469227843149
2026,BEL_2018_1,1,24,7,0,24,7,-0.535393136956327,0.421402369048989,-0.113990767907339
203,BEL_2018_1,1,19,75,4,19,75,0.2107696022811,3.85001880976245,4.06078841204355
204,BEL_2018_1,1,22,79,3,22,79,0.00943259775704153,2.92487563718768,2.93430823494473
2050,BEL_2018_1,1,17,61,2,17,61,0.519060442938437,1.76446964108509,2.28353008402353
2050,BEL_2018_1,1,24,49,1,24,49,-0.762164613773469,1.76446964108509,1.00230502731163
2055,BEL_2018_1,1,18,82,2,18,82,-0.138884475485162,2.24335895320474,2.10447447771958
2061,BEL_2018_1,1,19,95,4,19,95,0.0296384360594502,3.92596956734994,3.95560800340939
2061,BEL_2018_1,1,19,57,4,19,57,0.197660173274076,3.92596956734994,4.12362974062401
216,BEL_2018_1,1,18,84,4,18,84,0.216735982505885,3.87743431613196,4.09417029863785
241,BEL_2018_1,1,23,15,0,23,15,-0.30651812195877,0.239942123150814,-0.0665759988079567
241,BEL_2018_1,1,23,68,0,23,68,-0.26836583483213,0.239942123150814,-0.0284237116813162
2410,BEL_2018_1,1,26,63,0,26,63,-0.256581113086298,0.301992900856398,0.0454117877701006
2410,BEL_2018_1,1,21,16,0,21,16,-0.304798860665027,0.301992900856398,-0.00280595980862874
2422,BEL_2018_1,1,23,105,4,23,105,-0.536069082016315,4.36146246866924,3.82539338665293
2422,BEL_2018_1,1,18,21,5,18,21,0.858143115135436,4.36146246866924,5.21960558380468
2443,BEL_2018_1,1,25,39,2,25,39,-0.421498314151796,2.42270608117401,2.00120776702222
