Genotype,Envir,Management,Row,Position,Fruit_weight,R,P,Fruit_weight_spats_residuals,Fruit_weight_spats_geno_pred_values,Fruit_weight_spats_adj_pheno
12_K024,BEL_2018_1,1,26,69,8.16,26,69,0.910106216635521,7.77815102931545,8.68825724595097
12_K044,BEL_2018_1,1,19,71,4,19,71,0.0737259568739797,4.07425574609861,4.14798170297259
12_K045,BEL_2018_1,1,20,26,1.98,20,26,-0.944179071408664,2.95611160969913,2.01193253829046
12_K049,BEL_2018_1,1,17,66,6.4,17,66,0.656424113387623,4.71433562476446,5.37075973815209
12_L001,BEL_2018_1,1,19,70,4.22,19,70,0.195919935129664,4.20848288565841,4.40440282078807
12_L005,BEL_2018_1,1,23,95,3.06,23,95,-0.293421026013202,3.09244756561951,2.79902653960631
12_L005,BEL_2018_1,1,17,58,3.5,17,58,-0.526644301425089,3.09244756561951,2.56580326419442
12_L012,BEL_2018_1,1,26,80,1,26,80,-2.64184608854519,4.27529206295086,1.63344597440568
12_L012,BEL_2018_1,1,17,31,7.58,17,31,2.89858590841744,4.27529206295086,7.1738779713683
12_L013,BEL_2018_1,1,26,24,2.1,26,24,-0.788966302750501,2.85707106313005,2.06810476037955
12_L013,BEL_2018_1,1,23,106,2.74,23,106,-0.245374552881392,2.85707106313005,2.61169651024866
12_N021,BEL_2018_1,1,24,64,2.32,24,64,-0.449570342280076,2.7277555288037,2.27818518652363
12_N021,BEL_2018_1,1,26,56,2.06,26,56,-0.702493200741394,2.7277555288037,2.02526232806231
12_N034,BEL_2018_1,1,23,57,4.76,23,57,-0.891850398603298,5.18503819987687,4.29318780127357
12_N034,BEL_2018_1,1,26,97,6.62,26,97,1.97677965943582,5.18503819987687,7.16181785931268
12_N039,BEL_2018_1,1,17,18,5.84,17,18,1.56981015109528,4.44279662469403,6.0126067757893
12_N039,BEL_2018_1,1,21,111,3.52,21,111,-1.1605821768714,4.44279662469403,3.28221444782263
12_N041,BEL_2018_1,1,23,92,3.06,23,92,-0.143533332717864,3.0062809604484,2.86274762773054
12_N041,BEL_2018_1,1,18,1,2.16,18,1,-0.754973957449956,3.0062809604484,2.25130700299845
12_N046,BEL_2018_1,1,23,8,7.5,23,8,1.3879365145061,5.66651855830353,7.05445507280963
12_N046,BEL_2018_1,1,23,88,6.02,23,88,0.135309473041098,5.66651855830353,5.80182803134463
12_N052,BEL_2018_1,1,23,38,2.32,23,38,0.0325840590684927,2.00554827976681,2.0381323388353
12_N052,BEL_2018_1,1,21,72,0.48,21,72,-1.84211059485227,2.00554827976681,0.163437684914535
12_N057,BEL_2018_1,1,26,4,4.02,26,4,0.500455081552119,4.54300740301376,5.04346248456588
12_N062,BEL_2018_1,1,18,108,6.28,18,108,1.13177459707819,5.27931186464055,6.41108646171874
12_N062,BEL_2018_1,1,19,7,5.02,19,7,0.0389769064095491,5.27931186464055,5.3182887710501
12_N063,BEL_2018_1,1,24,57,5.44,24,57,0.530040228112328,4.57550597334366,5.10554620145599
12_O011,BEL_2018_1,1,21,34,5.28,21,34,-0.865718773404777,5.67623328576473,4.81051451235996
12_O011,BEL_2018_1,1,22,82,8.52,22,82,2.39780858493606,5.67623328576473,8.07404187070079
12_O014,BEL_2018_1,1,17,109,7,17,109,1.33977173172122,5.46497651102807,6.80474824274929
12_O017,BEL_2018_1,1,22,4,2.82,22,4,-0.967564926351056,2.930422811774,1.96285788542294
12_O026,BEL_2018_1,1,26,60,2.3,26,60,-0.24259923268684,2.75833707488919,2.51573784220235
12_O026,BEL_2018_1,1,18,35,1.78,18,35,-0.881624331105033,2.75833707488919,1.87671274378415
12_O056,BEL_2018_1,1,25,95,4.68,25,95,0.424966428060451,4.4600849368493,4.88505136490975
12_O061,BEL_2018_1,1,20,43,5.72,20,43,0.512640894996107,5.18104177705913,5.69368267205524
12_O061,BEL_2018_1,1,19,64,5.68,19,64,0.568650213339883,5.18104177705913,5.74969199039901
12_O063,BEL_2018_1,1,24,14,6.2,24,14,1.52905098938207,4.58459989383101,6.11365088321308
12_O063,BEL_2018_1,1,18,103,3.14,18,103,-0.990732090309951,4.58459989383101,3.59386780352106
12_O072,BEL_2018_1,1,23,66,7.94,23,66,1.90844883395386,5.78491934223022,7.69336817618408
12_O072,BEL_2018_1,1,21,45,5.94,21,45,-0.277416426580969,5.78491934223022,5.50750291564925
12_O074,BEL_2018_1,1,24,94,7.4,24,94,1.88820934523981,5.32715531745937,7.21536466269918
12_O074,BEL_2018_1,1,18,45,4.68,18,45,-0.673903446921104,5.32715531745937,4.65325187053827
12_P001,BEL_2018_1,1,20,35,2.8,20,35,-0.535674565896505,3.34585597516447,2.81018140926796
12_P001,BEL_2018_1,1,22,107,3.56,22,107,-0.0536998462224663,3.34585597516447,3.292156128942
12_P002,BEL_2018_1,1,19,16,3.18,19,16,-0.409138836043763,3.93091550976688,3.52177667372312
12_P002,BEL_2018_1,1,17,94,4.1,17,94,0.352374686528486,3.93091550976688,4.28329019629537
12_P003,BEL_2018_1,1,25,90,3.48,25,90,-0.149746694716441,3.77374726747207,3.62400057275563
12_P003,BEL_2018_1,1,24,31,4.02,24,31,-0.0500959175034623,3.77374726747207,3.72365134996861
12_P018,BEL_2018_1,1,26,118,0.98,26,118,0.00275548523813307,2.70067932666692,2.70343481190505
12_P018,BEL_2018_1,1,25,23,1.46,25,23,-1.17946790974512,2.70067932666692,1.52121141692179
12_P025,BEL_2018_1,1,18,95,2.78,18,95,-0.082562530542512,3.45958701178092,3.3770244812384
12_P025,BEL_2018_1,1,18,7,2.66,18,7,-0.403276576712755,3.45958701178092,3.05631043506816
12_P027,BEL_2018_1,1,17,73,5.4,17,73,-0.0475392773860124,4.63027585754603,4.58273658016002
12_P027,BEL_2018_1,1,20,23,5.24,20,23,0.627439392710703,4.63027585754603,5.25771525025674
12_P029,BEL_2018_1,1,18,3,2.24,18,3,-0.984682490031475,3.36704822431756,2.38236573428609
12_P029,BEL_2018_1,1,20,74,3.64,20,74,0.414600489571547,3.36704822431756,3.78164871388911
12_P034,BEL_2018_1,1,26,28,2.84,26,28,-1.51051835232502,4.1844277410729,2.67390938874787
12_P034,BEL_2018_1,1,21,68,6.26,21,68,1.68453963250265,4.1844277410729,5.86896737357554
12_P055,BEL_2018_1,1,25,69,7.42,25,69,2.37632608769246,5.36902149847217,7.74534758616463
12_P055,BEL_2018_1,1,20,33,4.34,20,33,-1.12390721736895,5.36902149847217,4.24511428110322
12_P056,BEL_2018_1,1,18,18,1.36,18,18,-1.94430276167516,3.76494763726051,1.82064487558535
12_P056,BEL_2018_1,1,22,85,5.86,22,85,1.73644938630961,3.76494763726051,5.50139702357012
1218,BEL_2018_1,1,19,48,6.46,19,48,1.24208927980752,5.3576746922909,6.59976397209842
1236,BEL_2018_1,1,18,13,0.66,18,13,-1.38203567795971,2.47513668218075,1.09310100422104
13_10,BEL_2018_1,1,23,17,1.68,23,17,-0.767739209426304,2.16829850230606,1.40055929287976
13_10,BEL_2018_1,1,26,103,0.44,26,103,-0.893627295388421,2.16829850230606,1.27467120691764
13_109,BEL_2018_1,1,19,102,3.48,19,102,-0.66627367318353,4.75682782372218,4.09055415053865
13_109,BEL_2018_1,1,17,4,5.86,17,4,1.36138065541946,4.75682782372218,6.11820847914164
13_139,BEL_2018_1,1,21,44,3.34,21,44,-0.847153795931244,3.77295497589973,2.92580117996848
13_139,BEL_2018_1,1,20,64,4.48,20,64,0.646589919297315,3.77295497589973,4.41954489519704
13_32,BEL_2018_1,1,25,15,3.9,25,15,0.388088975977241,3.80173545855871,4.18982443453595
13_32,BEL_2018_1,1,25,98,2.9,25,98,-0.562452475520882,3.80173545855871,3.23928298303783
13_35,BEL_2018_1,1,22,43,3.72,22,43,-0.0210297025442188,3.18710030063911,3.16607059809489
13_35,BEL_2018_1,1,26,70,1.9,26,70,-0.712868294779165,3.18710030063911,2.47423200585994
13_38,BEL_2018_1,1,26,43,4.8,26,43,-0.328033849690598,4.70855045567488,4.38051660598428
13_38,BEL_2018_1,1,22,62,6.28,22,62,0.979191421391818,4.70855045567488,5.68774187706669
130,BEL_2018_1,1,22,27,0.72,22,27,-1.76297635311613,1.98759108564673,0.224614732530599
130,BEL_2018_1,1,23,89,2.14,23,89,-0.062897554704632,1.98759108564673,1.9246935309421
131,BEL_2018_1,1,19,90,1.64,19,90,-0.15661580169047,2.59737315291226,2.44075735122179
131,BEL_2018_1,1,17,34,1.96,17,34,-1.11414163033774,2.59737315291226,1.48323152257452
133,BEL_2018_1,1,21,104,4.32,21,104,-0.248474729961262,4.5137328140491,4.26525808408784
133,BEL_2018_1,1,20,22,5.2,20,22,0.7222796236369,4.5137328140491,5.236012437686
135,BEL_2018_1,1,22,65,1.28,22,65,-1.5567996933889,2.25328957857642,0.69648988518752
135,BEL_2018_1,1,20,30,3.4,20,30,1.10777581558783,2.25328957857642,3.36106539416425
135,BEL_2018_1,1,21,102,1.98,21,102,-0.280845339340801,2.25328957857642,1.97244423923562
135,BEL_2018_1,1,23,25,1.74,23,25,-0.854125470320829,2.25328957857642,1.39916410825559
1377,BEL_2018_1,1,18,44,2.28,18,44,-0.669203982568637,2.94532797484415,2.27612399227551
1377,BEL_2018_1,1,17,92,2.44,17,92,-0.284791995073058,2.94532797484415,2.66053597977109
140,BEL_2018_1,1,22,92,3.32,22,92,-0.438379142049647,3.51172063951033,3.07334149746068
141,BEL_2018_1,1,17,74,2.54,17,74,-1.462658591634,3.21049144833896,1.74783285670497
141,BEL_2018_1,1,21,31,4.46,21,31,0.750054778205048,3.21049144833896,3.96054622654401
143,BEL_2018_1,1,23,26,1.7,23,26,-1.00492228656557,2.50397850730369,1.49905622073812
143,BEL_2018_1,1,19,86,1.38,19,86,-0.350857171053878,2.50397850730369,2.15312133624981
1446,BEL_2018_1,1,24,28,3.24,24,28,-0.0098158823440726,3.11108497610463,3.10126909376056
1446,BEL_2018_1,1,20,68,2.28,20,68,-0.79328283656012,3.11108497610463,2.31780213954451
1478,BEL_2018_1,1,22,30,2.68,22,30,-0.84276490182527,2.99136723398564,2.14860233216037
1478,BEL_2018_1,1,19,114,2.98,19,114,-0.0693191327556488,2.99136723398564,2.92204810122999
1481,BEL_2018_1,1,18,55,5.78,18,55,1.15989606120611,4.41846280565573,5.57835886686184
1481,BEL_2018_1,1,19,80,2.98,19,80,-0.772820433848854,4.41846280565573,3.64564237180687
149,BEL_2018_1,1,19,3,1.76,19,3,-1.25237360848526,3.03977661202958,1.78740300354433
149,BEL_2018_1,1,26,81,2.92,26,81,0.384359160036273,3.03977661202958,3.42413577206585
15,BEL_2018_1,1,22,93,2.92,22,93,-0.632295534984515,3.29870815633428,2.66641262134977
152,BEL_2018_1,1,25,20,1.88,25,20,-0.194652711634761,2.26686057609106,2.0722078644563
152,BEL_2018_1,1,21,103,0.82,21,103,-1.37698758773137,2.26686057609106,0.889872988359695
163,BEL_2018_1,1,22,106,2.72,22,106,-0.756226807752293,3.16257264063141,2.40634583287912
17,BEL_2018_1,1,22,24,0.86,22,24,-1.98610437199249,2.3598630330152,0.373758661022705
17,BEL_2018_1,1,18,78,2.68,18,78,0.499129068367028,2.3598630330152,2.85899210138222
173,BEL_2018_1,1,26,9,1.42,26,9,-0.397276316197803,2.48322007239842,2.08594375620062
173,BEL_2018_1,1,17,113,1.8,17,113,-0.977400629304902,2.48322007239842,1.50581944309352
1870,BEL_2018_1,1,26,26,3.26,26,26,0.197972808603433,2.93152006380271,3.12949287240614
1870,BEL_2018_1,1,21,86,1.78,21,86,-1.16453884910342,2.93152006380271,1.76698121469928
1872,BEL_2018_1,1,18,69,0.36,18,69,-1.27921538477103,1.43521646283467,0.156001078063645
1872,BEL_2018_1,1,23,21,0.64,23,21,-1.04951400272578,1.43521646283467,0.385702460108891
1889,BEL_2018_1,1,18,80,2.1,18,80,-0.00954613546148764,2.48661657869402,2.47707044323253
1889,BEL_2018_1,1,17,9,0.84,17,9,-1.3620387928993,2.48661657869402,1.12457778579472
1900,BEL_2018_1,1,22,113,2.72,22,113,0.0964574510319696,2.26138676354241,2.35784421457438
1900,BEL_2018_1,1,22,22,1.14,22,22,-1.67308084795749,2.26138676354241,0.588305915584913
1901,BEL_2018_1,1,20,4,1.96,20,4,-0.441761739770858,2.18915519905049,1.74739345927963
1901,BEL_2018_1,1,17,108,1.06,17,108,-1.20061782427443,2.18915519905049,0.988537374776067
192,BEL_2018_1,1,17,43,0.92,17,43,-2.11712789533389,2.42966086952121,0.312532974187314
192,BEL_2018_1,1,17,86,3.18,17,86,0.693693209084914,2.42966086952121,3.12335407860612
1935,BEL_2018_1,1,20,38,3.64,20,38,0.172069174218565,3.46318825389489,3.63525742811346
1935,BEL_2018_1,1,17,72,3.64,17,72,-0.654629882619378,3.46318825389489,2.80855837127552
1951,BEL_2018_1,1,18,72,1.94,18,72,-0.789804006342308,2.6636864136494,1.87388240730709
1951,BEL_2018_1,1,20,41,2.34,20,41,-0.420584999694325,2.6636864136494,2.24310141395507
1952,BEL_2018_1,1,18,25,3.6,18,25,-0.102359611383796,3.88082999400837,3.77847038262458
1962,BEL_2018_1,1,23,115,5.9,23,115,0.270689811532844,5.6894523417188,5.96014215325164
1962,BEL_2018_1,1,18,6,6.74,18,6,1.27343399730413,5.6894523417188,6.96288633902292
197,BEL_2018_1,1,21,114,4.28,21,114,-0.0537538663195711,3.93422223329281,3.88046836697323
1988,BEL_2018_1,1,25,12,0.5,25,12,-1.4772924460279,2.37049941867543,0.893206972647531
1989,BEL_2018_1,1,20,5,1.16,20,5,-1.3774424061265,2.34911989171759,0.971677485591093
1989,BEL_2018_1,1,20,65,2.28,20,65,-0.119312940331005,2.34911989171759,2.22980695138659
1991,BEL_2018_1,1,19,14,0.74,19,14,-1.07464311814176,2.12490716858792,1.05026405044617
1991,BEL_2018_1,1,21,112,1.78,21,112,-0.626224784871776,2.12490716858792,1.49868238371615
1997,BEL_2018_1,1,23,74,1.96,23,74,-1.0703093171773,2.81756057516228,1.74725125798498
2,BEL_2018_1,1,20,14,3.9,20,14,-0.0853991443421527,3.89946065821209,3.81406151386994
200,BEL_2018_1,1,18,11,4.5,18,11,-0.0463910649837276,5.00768266549226,4.96129160050853
200,BEL_2018_1,1,22,76,6.48,22,76,0.969864316374411,5.00768266549226,5.97754698186667
2003,BEL_2018_1,1,24,84,1.2,24,84,-0.810559454645242,1.92345691440854,1.1128974597633
2003,BEL_2018_1,1,19,17,0.46,19,17,-1.07369914014288,1.92345691440854,0.849757774265666
2010,BEL_2018_1,1,19,15,2.64,19,15,-0.457516753816291,3.49069843430748,3.03318168049119
202,BEL_2018_1,1,24,2,2.3,24,2,-0.476052882430836,2.77327380950835,2.29722092707751
202,BEL_2018_1,1,26,100,1.3,26,100,-0.833485842476701,2.77327380950835,1.93978796703165
202,BEL_2018_1,1,18,76,2.94,18,76,0.198912851055646,2.77327380950835,2.97218666056399
2026,BEL_2018_1,1,24,7,0.17,24,7,-1.75874845216618,2.0613267805867,0.302578328420519
203,BEL_2018_1,1,19,75,3.88,19,75,0.121633850516024,4.12688141241787,4.24851526293389
204,BEL_2018_1,1,22,79,2,22,79,-1.11918772721815,2.76386881997376,1.64468109275561
2050,BEL_2018_1,1,24,49,1,24,49,-1.08310663151979,1.72577799496317,0.642671363443389
2050,BEL_2018_1,1,17,61,1.72,17,61,-0.981109411989447,1.72577799496317,0.744668582973728
2055,BEL_2018_1,1,18,82,0.52,18,82,-1.50552701612086,2.33948442403838,0.83395740791752
