Genotype,Envir,Management,Row,Position,Flowering_end,R,P,Flowering_end_spats_residuals,Flowering_end_spats_geno_pred_values,Flowering_end_spats_adj_pheno
12_B061,ESP_2019_1,1,13,57,101,13,57,2.37536566545531,99.4011595748062,101.776525240262
12_B064,ESP_2019_1,1,5,128,98,5,128,-3.35670930143546,100.569224170097,97.212514868661
12_B064,ESP_2019_1,1,8,6,101,8,6,1.76879576133352,100.569224170097,102.33801993143
12_B074,ESP_2019_1,1,2,75,108,2,75,4.67768228146433,103.234886842094,107.912569123558
12_B074,ESP_2019_1,1,6,55,101,6,55,-3.00941958835296,103.234886842094,100.225467253741
12_B081,ESP_2019_1,1,6,28,101,6,28,0.622691144487774,100.009242664046,100.631933808534
12_B081,ESP_2019_1,1,4,129,98,4,129,-2.89463664789652,100.009242664046,97.1146060161498
12_B093,ESP_2019_1,1,10,126,108,10,126,1.72557270284881,105.646454267615,107.372026970463
12_B093,ESP_2019_1,1,11,27,108,11,27,3.67917416255749,105.646454267615,109.325628430172
12_B093,ESP_2019_1,1,1,22,116,1,22,9.27730687245021,105.646454267615,114.923761140065
12_B093,ESP_2019_1,1,13,68,94,13,68,-11.0467764809937,105.646454267615,94.5996777866208
12_B093,ESP_2019_1,1,5,98,108,5,98,0.97877772206995,105.646454267615,106.625231989685
12_B095,ESP_2019_1,1,2,98,108,2,98,0.0540874601818189,107.964551888208,108.01863934839
12_B095,ESP_2019_1,1,4,49,116,4,49,7.39158400861571,107.964551888208,115.356135896824
12_E003,ESP_2019_1,1,12,15,101,12,15,4.3454955947584,97.4274404191486,101.772936013907
12_E003,ESP_2019_1,1,10,25,94,10,25,-1.79942928083356,97.4274404191486,95.628011138315
12_E003,ESP_2019_1,1,12,76,101,12,76,3.64014749746276,97.4274404191486,101.067587916611
12_E003,ESP_2019_1,1,6,75,93,6,75,-5.20153211980589,97.4274404191486,92.2259082993427
12_E003,ESP_2019_1,1,3,25,92,3,25,-6.41036573700687,97.4274404191486,91.0170746821417
12_E014,ESP_2019_1,1,6,70,93,6,70,-8.57970904394837,100.810643525352,92.2309344814032
12_E014,ESP_2019_1,1,5,16,108,5,16,7.28669552067053,100.810643525352,108.097339046022
12_E015,ESP_2019_1,1,2,129,98,2,129,-1.28994097342027,99.2721835469331,97.9822425735128
12_E015,ESP_2019_1,1,2,49,98,2,49,-1.88234139737567,99.2721835469331,97.3898421495574
12_E017,ESP_2019_1,1,2,94,92,2,94,-5.34630332862525,97.3552245650084,92.0089212363832
12_E017,ESP_2019_1,1,4,32,98,4,32,-0.16759425948969,97.3552245650084,97.1876303055187
12_E024,ESP_2019_1,1,7,110,101,7,110,-1.1172632367247,101.582001720446,100.464738483721
12_E024,ESP_2019_1,1,8,5,101,8,5,0.76648379600563,101.582001720446,102.348485516452
12_E025,ESP_2019_1,1,7,14,101,7,14,-1.28717161663667,103.405042333201,102.117870716564
12_E025,ESP_2019_1,1,5,101,108,5,101,3.16328366439953,103.405042333201,106.5683259976
12_E034,ESP_2019_1,1,5,78,98,5,78,-2.52562892125074,99.8015652015832,97.2759362803325
12_E035,ESP_2019_1,1,8,117,108,8,117,7.11673666145576,100.299412612695,107.416149274151
12_E035,ESP_2019_1,1,13,54,94,13,54,-5.48353905441317,100.299412612695,94.8158735582816
12_E035,ESP_2019_1,1,12,110,94,12,110,-6.27952062008997,100.299412612695,94.0198919926048
12_E035,ESP_2019_1,1,10,17,101,10,17,2.09796530712171,100.299412612695,102.397377919816
12_E035,ESP_2019_1,1,7,53,101,7,53,0.630862336176776,100.299412612695,100.930274948872
12_E039,ESP_2019_1,1,8,114,101,8,114,0.467271970011836,100.062496681567,100.529768651579
12_E039,ESP_2019_1,1,2,9,98,2,9,-2.67416630697051,100.062496681567,97.3883303745968
12_E043,ESP_2019_1,1,12,94,94,12,94,-2.36215275296928,96.2385327811566,93.8763800281873
12_E043,ESP_2019_1,1,1,124,92,1,124,-3.85348286114417,96.2385327811566,92.3850499200124
12_E043,ESP_2019_1,1,11,14,94,11,14,-1.33138895941107,96.2385327811566,94.9071438217455
12_E043,ESP_2019_1,1,4,65,92,4,65,-4.73979541614739,96.2385327811566,91.4987373650092
12_E043,ESP_2019_1,1,10,81,101,10,81,5.4088543652673,96.2385327811566,101.647387146424
12_F002,ESP_2019_1,1,2,55,108,2,55,2.36994710384229,105.177759534606,107.547706638448
12_F002,ESP_2019_1,1,6,128,108,6,128,1.67158507755582,105.177759534606,106.849344612162
12_F007,ESP_2019_1,1,1,85,107,1,85,2.67021543821035,104.055133610212,106.725349048422
12_F014,ESP_2019_1,1,1,127,107,1,127,0.449321717626702,106.882132375091,107.331454092717
12_F014,ESP_2019_1,1,9,14,108,9,14,2.09321361540711,106.882132375091,108.975345990498
12_F014,ESP_2019_1,1,12,31,108,12,31,2.16501529307273,106.882132375091,109.047147668163
12_F014,ESP_2019_1,1,12,69,108,12,69,1.41591727582403,106.882132375091,108.298049650915
12_F019,ESP_2019_1,1,1,18,107,1,18,4.09451780285755,101.71270798107,105.807225783928
12_F019,ESP_2019_1,1,1,74,98,1,74,-4.28563614922743,101.71270798107,97.4270718318429
12_F023,ESP_2019_1,1,3,37,98,3,37,-3.293636875376,100.219319235973,96.9256823605967
12_F023,ESP_2019_1,1,8,89,101,8,89,1.27830536437054,100.219319235973,101.497624600343
12_F040,ESP_2019_1,1,7,66,108,7,66,2.57811166375244,105.468937009208,108.04704867296
12_F040,ESP_2019_1,1,4,24,108,4,24,1.81910137044336,105.468937009208,107.288038379651
12_F045,ESP_2019_1,1,7,72,108,7,72,2.1019622461981,106.049594821427,108.151557067625
12_F045,ESP_2019_1,1,9,28,108,9,28,3.00453939665749,106.049594821427,109.054134218084
12_F046,ESP_2019_1,1,9,109,101,9,109,-5.089338707529,105.586124947469,100.49678623994
12_F046,ESP_2019_1,1,1,42,116,1,42,9.6296998539716,105.586124947469,115.21582480144
12_F052,ESP_2019_1,1,1,13,107,1,13,2.71041873055856,102.91675430417,105.627173034729
12_F052,ESP_2019_1,1,8,68,101,8,68,-1.43076320064198,102.91675430417,101.485991103528
12_F054,ESP_2019_1,1,7,125,93,7,125,-5.25550175356176,97.4895992930831,92.2340975395214
12_F054,ESP_2019_1,1,2,7,98,2,7,-0.0942536118716077,97.4895992930831,97.3953456812115
12_I002,ESP_2019_1,1,8,115,93,8,115,-3.70267979824573,96.1942720219444,92.4915922236987
12_I002,ESP_2019_1,1,7,60,93,7,60,-3.22935149385432,96.1942720219444,92.9649205280901
12_I003,ESP_2019_1,1,5,100,98,5,100,-4.3550201101872,100.939716117268,96.5846960070804
12_I003,ESP_2019_1,1,5,20,108,5,20,6.9586721885278,100.939716117268,107.898388305795
12_I003,ESP_2019_1,1,10,19,101,10,19,1.5217886749091,100.939716117268,102.461504792177
12_I003,ESP_2019_1,1,11,68,94,11,68,-6.34060510025948,100.939716117268,94.5991110170081
12_I003,ESP_2019_1,1,13,24,101,13,24,1.07981634929577,100.939716117268,102.019532466563
12_I005,ESP_2019_1,1,4,48,98,4,48,-1.66202384327502,99.004032053895,97.34200821062
12_I005,ESP_2019_1,1,4,81,98,4,81,-1.8378125454033,99.004032053895,97.1662195084917
12_I010,ESP_2019_1,1,8,107,101,8,107,0.600665528178098,100.206156728131,100.806822256309
12_I010,ESP_2019_1,1,2,56,98,2,56,-2.63207538460013,100.206156728131,97.5740813435306
12_I037,ESP_2019_1,1,3,29,108,3,29,5.00345536112461,101.941424286899,106.944879648023
12_I037,ESP_2019_1,1,4,78,98,4,78,-4.67129740104798,101.941424286899,97.2701268858507
12_I037,ESP_2019_1,1,11,48,101,11,48,0.435231266973574,101.941424286899,102.376655553872
12_I037,ESP_2019_1,1,12,70,101,12,70,-0.679124661616967,101.941424286899,101.262299625282
12_I049,ESP_2019_1,1,13,115,101,13,115,-1.06402514180256,102.907067593807,101.843042452005
12_I049,ESP_2019_1,1,10,18,101,10,18,-0.477196024234473,102.907067593807,102.429871569573
12_I049,ESP_2019_1,1,7,2,101,7,2,-0.253675055246191,102.907067593807,102.653392538561
12_I049,ESP_2019_1,1,12,22,101,12,22,-1.00342024874743,102.907067593807,101.90364734506
12_I049,ESP_2019_1,1,5,87,108,5,87,4.06613943148611,102.907067593807,106.973207025293
12_I056,ESP_2019_1,1,1,1,98,1,1,-2.83818024864428,98.9111870902128,96.0730068415685
12_I056,ESP_2019_1,1,1,96,98,1,96,-0.77506867617042,98.9111870902128,98.1361184140424
12_I059,ESP_2019_1,1,11,33,108,11,33,6.2882476674617,103.162771689128,109.45101935659
12_I059,ESP_2019_1,1,13,96,94,13,96,-8.51424722771752,103.162771689128,94.6485244614106
12_I059,ESP_2019_1,1,4,86,108,4,86,3.80617171977985,103.162771689128,106.968943408908
12_I062,ESP_2019_1,1,5,13,98,5,13,0.913332653917564,97.3698171014813,98.2831497553988
12_I062,ESP_2019_1,1,3,105,92,3,105,-6.40940507947759,97.3698171014813,90.9604120220037
12_I064,ESP_2019_1,1,12,23,94,12,23,-3.87838397355921,98.8002779334225,94.9218939598633
12_I064,ESP_2019_1,1,7,118,101,7,118,1.52177368944844,98.8002779334225,100.322051622871
12_I064,ESP_2019_1,1,6,9,101,6,9,2.82620129933584,98.8002779334225,101.626479232758
12_I064,ESP_2019_1,1,13,69,94,13,69,-4.21831835753778,98.8002779334225,94.5819595758847
12_J001,ESP_2019_1,1,4,98,116,4,98,8.66307421502704,105.889858256898,114.552932471925
12_J001,ESP_2019_1,1,6,2,101,6,2,-3.75169493722505,105.889858256898,102.138163319673
12_J004,ESP_2019_1,1,2,113,108,2,113,4.22979431217679,103.724259927966,107.954054240143
12_J004,ESP_2019_1,1,9,1,101,9,1,-1.96374967608709,103.724259927966,101.760510251879
12_J011,ESP_2019_1,1,6,4,93,6,4,-7.08888807549022,101.078902931267,93.9900148557772
12_J011,ESP_2019_1,1,4,80,108,4,80,6.12356038847926,101.078902931267,107.202463319747
12_J013,ESP_2019_1,1,10,88,101,10,88,0.467541204222698,100.957336685211,101.424877889434
12_J013,ESP_2019_1,1,4,122,98,4,122,-4.20944476788971,100.957336685211,96.7478919173217
12_J013,ESP_2019_1,1,13,117,101,13,117,0.876085738869662,100.957336685211,101.833422424081
12_J013,ESP_2019_1,1,12,3,101,12,3,0.619077681771714,100.957336685211,101.576414366983
12_J013,ESP_2019_1,1,8,21,101,8,21,1.13291612700556,100.957336685211,102.090252812217
12_J015,ESP_2019_1,1,3,39,116,3,39,8.21183595008439,106.733923883574,114.945759833658
12_J015,ESP_2019_1,1,13,111,108,13,111,2.11328340905959,106.733923883574,108.847207292634
12_J015,ESP_2019_1,1,11,28,101,11,28,-4.3826919814726,106.733923883574,102.351231902101
12_J019,ESP_2019_1,1,6,77,108,6,77,-0.948194829731122,108.162319672504,107.214124842773
12_J019,ESP_2019_1,1,7,21,116,7,21,8.63544478694189,108.162319672504,116.797764459446
12_J027,ESP_2019_1,1,12,1,101,12,1,0.870124285581213,100.678082392975,101.548206678557
12_J027,ESP_2019_1,1,12,77,101,12,77,0.361892733644794,100.678082392975,101.03997512662
12_J027,ESP_2019_1,1,5,18,98,5,18,-2.68695741090529,100.678082392975,97.99112498207
12_J028,ESP_2019_1,1,6,25,101,6,25,-2.58777469808666,103.325390999046,100.737616300959
12_J028,ESP_2019_1,1,9,104,108,9,104,4.36659057107657,103.325390999046,107.691981570122
12_J029,ESP_2019_1,1,3,116,108,3,116,3.41182745521434,103.492755712528,106.904583167742
12_J029,ESP_2019_1,1,6,3,101,6,3,-1.42857123497245,103.492755712528,102.064184477556
12_J031,ESP_2019_1,1,13,40,101,13,40,1.32758547751767,100.614448248259,101.942033725777
12_J031,ESP_2019_1,1,5,113,98,5,113,-3.98870292612943,100.614448248259,96.6257453221298
12_J031,ESP_2019_1,1,9,13,101,9,13,1.34623991261245,100.614448248259,101.960688160872
12_J031,ESP_2019_1,1,11,128,101,11,128,-0.21779361727333,100.614448248259,100.396654630986
12_K001,ESP_2019_1,1,1,56,98,1,56,-2.91337226676768,100.207611205318,97.2942389385506
12_K001,ESP_2019_1,1,7,90,101,7,90,0.883739092031405,100.207611205318,101.09135029735
12_K010,ESP_2019_1,1,2,53,98,2,53,-2.40549879958863,99.8999095042752,97.4944107046865
12_K016,ESP_2019_1,1,2,17,98,2,17,-1.91278118580009,99.2381620631621,97.325380877362
12_K016,ESP_2019_1,1,2,116,98,2,116,-1.30105931162545,99.2381620631621,97.9371027515366
12_K018,ESP_2019_1,1,6,113,101,6,113,-1.51122252712511,101.096973112535,99.5857505854096
12_K018,ESP_2019_1,1,7,24,101,7,24,0.567968036167954,101.096973112535,101.664941148703
12_K023,ESP_2019_1,1,5,42,98,5,42,-2.54786990838286,100.13656488798,97.5886949795969
12_K023,ESP_2019_1,1,8,113,101,8,113,0.431451810555814,100.13656488798,100.568016698536
12_K024,ESP_2019_1,1,5,126,98,5,126,-2.77537511445385,99.8901193618718,97.1147442474179
12_K024,ESP_2019_1,1,13,9,101,13,9,2.1941287494316,99.8901193618718,102.084248111303
12_K024,ESP_2019_1,1,12,81,101,12,81,1.05805454330559,99.8901193618718,100.948173905177
12_K024,ESP_2019_1,1,1,25,98,1,25,-2.89426589125901,99.8901193618718,96.9958534706127
12_K044,ESP_2019_1,1,4,88,98,4,88,-3.18673637474818,100.074947379709,96.8882110049609
12_K044,ESP_2019_1,1,7,41,101,7,41,0.995050889157341,100.074947379709,101.069998268866
12_K045,ESP_2019_1,1,3,94,108,3,94,1.58808067006399,105.576693941925,107.164774611989
12_K045,ESP_2019_1,1,4,2,108,4,2,2.94076025799959,105.576693941925,108.517454199925
12_K049,ESP_2019_1,1,5,54,108,5,54,3.01017060074356,104.556247532159,107.566418132903
12_K049,ESP_2019_1,1,9,103,108,9,103,3.17587328726172,104.556247532159,107.732120819421
12_K049,ESP_2019_1,1,12,8,101,12,8,-2.90370477041172,104.556247532159,101.652542761747
12_L001,ESP_2019_1,1,10,85,101,10,85,3.4443582014304,98.0749592171455,101.519317418576
12_L001,ESP_2019_1,1,13,55,94,13,55,-3.27162641169022,98.0749592171455,94.8033328054553
12_L001,ESP_2019_1,1,4,26,98,4,26,-0.831590742086078,98.0749592171455,97.2433684750595
12_L001,ESP_2019_1,1,13,97,94,13,97,-3.40594847393604,98.0749592171455,94.6690107432095
12_L001,ESP_2019_1,1,3,80,98,3,80,-0.569915578669409,98.0749592171455,97.5050436384761
12_L012,ESP_2019_1,1,4,55,98,4,55,-1.49770575476971,98.9349684002977,97.437262645528
12_L012,ESP_2019_1,1,4,89,98,4,89,-2.08649368171091,98.9349684002977,96.8484747185868
12_L013,ESP_2019_1,1,6,14,93,6,14,-4.42163122899476,97.7140725312552,93.2924413022605
12_L013,ESP_2019_1,1,3,99,98,3,99,-0.653924242053435,97.7140725312552,97.0601482892018
12_L018,ESP_2019_1,1,8,129,101,8,129,-0.796223593694776,100.776699038151,99.9804754444565
12_L018,ESP_2019_1,1,6,52,101,6,52,-0.538254002900416,100.776699038151,100.238445035251
12_L021,ESP_2019_1,1,2,88,98,2,88,-2.16634200488095,100.152811695368,97.9864696904872
12_L021,ESP_2019_1,1,6,56,101,6,56,0.0697698045259756,100.152811695368,100.222581499894
12_N021,ESP_2019_1,1,3,114,98,3,114,-3.47855592055555,100.373235973781,96.8946800532256
12_N021,ESP_2019_1,1,9,18,101,9,18,1.65123770500975,100.373235973781,102.024473678791
12_N034,ESP_2019_1,1,3,81,98,3,81,-2.6845208459215,100.169251977828,97.4847311319063
12_N034,ESP_2019_1,1,6,24,101,6,24,0.608030877866554,100.169251977828,100.777282855694
12_N039,ESP_2019_1,1,2,107,98,2,107,-1.271877437266,99.2690535483378,97.9971761110718
12_N039,ESP_2019_1,1,3,56,98,3,56,-1.90422830816156,99.2690535483378,97.3648252401762
12_N041,ESP_2019_1,1,2,52,98,2,52,0.158597007542511,97.3092153728233,97.4678123803658
12_N041,ESP_2019_1,1,3,75,92,3,75,-5.72869601966971,97.3092153728233,91.5805193531536
12_N046,ESP_2019_1,1,2,33,98,2,33,-3.40538370272942,100.583647986536,97.1782642838063
12_N046,ESP_2019_1,1,7,74,101,7,74,0.598736703686186,100.583647986536,101.182384690222
12_N046,ESP_2019_1,1,12,54,101,12,54,1.23635252559046,100.583647986536,101.820000512126
12_N052,ESP_2019_1,1,13,101,94,13,101,-1.94668253592612,96.6943888173416,94.7477062814155
12_N052,ESP_2019_1,1,12,41,101,12,41,5.38680829825809,96.6943888173416,102.0811971156
12_N052,ESP_2019_1,1,5,63,92,5,63,-5.16728025170909,96.6943888173416,91.5271085656325
12_N052,ESP_2019_1,1,1,95,92,1,95,-4.59397113933562,96.6943888173416,92.100417678006
12_N057,ESP_2019_1,1,5,107,108,5,107,3.43025187429359,103.107946839139,106.538198713433
12_N057,ESP_2019_1,1,8,8,101,8,8,-0.791831258164905,103.107946839139,102.316115580974
12_N057,ESP_2019_1,1,13,32,101,13,32,-1.12521843573968,103.107946839139,101.982728403399
12_N062,ESP_2019_1,1,6,15,101,6,15,2.2839111720191,98.9472787475147,101.231189919534
12_N062,ESP_2019_1,1,10,58,94,10,58,-3.53941278161511,98.9472787475147,95.4078659658996
12_N062,ESP_2019_1,1,2,109,98,2,109,-0.963854506301146,98.9472787475147,97.9834242412135
12_N062,ESP_2019_1,1,13,90,101,13,90,2.58770755946412,98.9472787475147,101.534986306979
12_N062,ESP_2019_1,1,13,26,94,13,26,-3.93751347098151,98.9472787475147,95.0097652765332
12_N063,ESP_2019_1,1,2,86,108,2,86,6.11074694223623,101.867226568307,107.977973510543
12_N063,ESP_2019_1,1,12,104,101,12,104,-0.884769746776314,101.867226568307,100.982456821531
12_N063,ESP_2019_1,1,12,44,101,12,44,0.18143175123916,101.867226568307,102.048658319546
12_N063,ESP_2019_1,1,1,9,98,1,9,-5.4097788228907,101.867226568307,96.4574477454162
12_O011,ESP_2019_1,1,6,102,101,6,102,-1.65100597403956,101.28926722071,99.6382612466709
12_O011,ESP_2019_1,1,8,14,101,8,14,0.942643733855874,101.28926722071,102.231910954566
12_O014,ESP_2019_1,1,4,74,108,4,74,-0.376336626084822,107.757110792693,107.380774166608
12_O014,ESP_2019_1,1,1,64,116,1,64,7.56861340541016,107.757110792693,115.325724198103
12_O017,ESP_2019_1,1,13,42,108,13,42,0.732400362473896,108.196881775238,108.929282137712
12_O017,ESP_2019_1,1,9,68,108,9,68,0.397112678381347,108.196881775238,108.593994453619
12_O017,ESP_2019_1,1,2,46,116,2,46,7.12141005364128,108.196881775238,115.318291828879
12_O017,ESP_2019_1,1,11,109,108,11,109,-0.521454630543062,108.196881775238,107.675427144695
12_O026,ESP_2019_1,1,12,92,116,12,92,8.88154312075497,106.982991661621,115.864534782376
12_O026,ESP_2019_1,1,11,35,101,11,35,-4.50714341724485,106.982991661621,102.475848244376
12_O026,ESP_2019_1,1,10,34,108,10,34,2.77432812890341,106.982991661621,109.757319790524
12_O026,ESP_2019_1,1,1,86,107,1,86,-0.221200064089842,106.982991661621,106.761791597531
12_O026,ESP_2019_1,1,2,19,107,2,19,-0.680857626608386,106.982991661621,106.302134035013
12_O056,ESP_2019_1,1,2,58,108,2,58,4.2584247510752,103.36723371122,107.625658462295
12_O056,ESP_2019_1,1,7,95,101,7,95,-2.42849691769133,103.36723371122,100.938736793528
12_O061,ESP_2019_1,1,11,89,101,11,89,-1.29220153030502,102.177897990716,100.885696460411
12_O061,ESP_2019_1,1,3,51,98,3,51,-4.95820552673649,102.177897990716,97.2196924639795
12_O061,ESP_2019_1,1,11,34,108,11,34,7.28652632839767,102.177897990716,109.464424319114
12_O061,ESP_2019_1,1,8,70,101,8,70,-0.658995930865714,102.177897990716,101.51890205985
12_O063,ESP_2019_1,1,4,37,108,4,37,4.70979252501441,102.498446158068,107.208238683082
12_O063,ESP_2019_1,1,9,113,101,9,113,-2.15568360219706,102.498446158068,100.342762555871
12_O063,ESP_2019_1,1,13,81,101,13,81,-1.04174420456557,102.498446158068,101.456701953502
12_O063,ESP_2019_1,1,12,14,101,12,14,-0.743683460439328,102.498446158068,101.754762697628
12_O072,ESP_2019_1,1,4,1,98,4,1,-3.97326798280571,102.565828084656,98.5925601018503
12_O072,ESP_2019_1,1,1,105,107,1,105,4.82425801517164,102.565828084656,107.390086099828
12_O074,ESP_2019_1,1,3,85,108,3,85,1.98959672481888,105.400923184011,107.39051990883
12_O074,ESP_2019_1,1,5,25,108,5,25,2.32453565425033,105.400923184011,107.725458838261
12_P001,ESP_2019_1,1,3,11,108,3,11,1.97601826632628,105.527525480354,107.50354374668
12_P001,ESP_2019_1,1,2,100,108,2,100,2.49276210806218,105.527525480354,108.020287588416
12_P002,ESP_2019_1,1,2,30,98,2,30,-2.57332482350459,99.7625190391095,97.1891942156049
12_P003,ESP_2019_1,1,4,56,108,4,56,3.06820882325526,104.380950161354,107.449158984609
12_P018,ESP_2019_1,1,11,116,108,11,116,3.66089833000851,103.949531296941,107.610429626949
12_P018,ESP_2019_1,1,8,67,108,8,67,4.51954190278153,103.949531296941,108.469073199722
12_P018,ESP_2019_1,1,6,44,108,6,44,3.35918606666634,103.949531296941,107.308717363607
12_P018,ESP_2019_1,1,11,60,94,11,60,-8.99840683146309,103.949531296941,94.9511244654776
12_P025,ESP_2019_1,1,5,111,98,5,111,-2.31938263849887,98.9041918279046,96.5848091894058
12_P025,ESP_2019_1,1,5,34,98,5,34,-1.302411181029,98.9041918279046,97.6017806468756
12_P027,ESP_2019_1,1,6,34,101,6,34,-0.800666284051232,101.272781462534,100.472115178483
12_P027,ESP_2019_1,1,8,94,101,8,94,0.0721662617974204,101.272781462534,101.344947724331
12_P029,ESP_2019_1,1,4,123,116,4,123,7.76385272115429,107.029845801814,114.793698522968
12_P029,ESP_2019_1,1,9,12,108,9,12,1.91600113305054,107.029845801814,108.945846934864
12_P029,ESP_2019_1,1,13,99,101,13,99,-5.32022556944622,107.029845801814,101.709620232367
12_P029,ESP_2019_1,1,12,26,108,12,26,1.94427540691932,107.029845801814,108.974121208733
12_P034,ESP_2019_1,1,7,63,101,7,63,-0.37174548952477,101.37267894055,101.000933451026
12_P034,ESP_2019_1,1,7,88,101,7,88,-0.234727167041299,101.37267894055,101.137951773509
12_P055,ESP_2019_1,1,13,58,101,13,58,-0.666267941851686,102.428617965025,101.762350023173
12_P055,ESP_2019_1,1,7,43,101,7,43,-1.39995119651137,102.428617965025,101.028666768514
12_P055,ESP_2019_1,1,10,96,101,10,96,-1.24886464196065,102.428617965025,101.179753323064
12_P055,ESP_2019_1,1,13,91,108,13,91,6.12268553711844,102.428617965025,108.551303502143
12_P055,ESP_2019_1,1,9,114,101,9,114,-2.12421745158736,102.428617965025,100.304400513438
