Genotype,Envir,Management,Row,Position,Fruit_weight_single,R,P,Fruit_weight_single_spats_residuals,Fruit_weight_single_spats_geno_pred_values,Fruit_weight_single_spats_adj_pheno
12_B020,BEL_2018_1,1,25,114,160,25,114,-0.110094243951409,164.894906263497,164.784812019546
12_B023,BEL_2018_1,1,18,116,130.67,18,116,2.43868148621627,125.286159231452,127.724840717668
12_B023,BEL_2018_1,1,17,54,100,17,54,-29.6903056187172,125.286159231452,95.5958536127344
12_B057,BEL_2018_1,1,21,66,180,21,66,16.3680222325993,155.803701580527,172.171723813127
12_B057,BEL_2018_1,1,20,56,141,20,56,-25.6949420348959,155.803701580527,130.108759545632
12_B061,BEL_2018_1,1,17,45,189.09,17,45,6.24168303715268,176.732401180754,182.974084217907
12_B061,BEL_2018_1,1,21,79,180,21,79,-3.27597625573975,176.732401180754,173.456424925015
12_B064,BEL_2018_1,1,25,88,130,25,88,-18.0968125304293,151.871811925264,133.774999394835
12_B064,BEL_2018_1,1,24,33,159.09,24,33,6.46046824291608,151.871811925264,158.33228016818
12_B074,BEL_2018_1,1,24,92,192.8,24,92,7.8362276406022,185.024662176764,192.860889817366
12_B081,BEL_2018_1,1,22,34,280,22,34,38.1741524879211,236.676220230698,274.850372718619
12_B093,BEL_2018_1,1,23,11,96.67,23,11,-43.7279427925027,143.311336920011,99.5833941275079
12_B093,BEL_2018_1,1,20,93,175.56,20,93,27.0635401626733,143.311336920011,170.374877082684
12_B095,BEL_2018_1,1,19,99,202.86,19,99,7.24686086574263,195.343505958768,202.59036682451
12_B095,BEL_2018_1,1,23,23,201.33,23,23,6.6502160302243,195.343505958768,201.993721988992
12_E003,BEL_2018_1,1,21,63,177.27,21,63,-3.40684617183717,172.651688668883,169.244842497046
12_E003,BEL_2018_1,1,19,19,183,19,19,3.97571626190816,172.651688668883,176.627404930792
12_E014,BEL_2018_1,1,22,13,117.96,22,13,-32.648016976777,149.398010567698,116.749993590921
12_E014,BEL_2018_1,1,19,78,174.55,19,78,19.5586671556324,149.398010567698,168.956677723331
12_E015,BEL_2018_1,1,17,96,196.67,17,96,-6.41325566932227,201.797311573388,195.384055904065
12_E015,BEL_2018_1,1,22,36,231.43,22,36,24.1010230515494,201.797311573388,225.898334624937
12_E017,BEL_2018_1,1,24,45,161.25,24,45,-3.67060639170091,165.433806538891,161.76320014719
12_E024,BEL_2018_1,1,18,93,168.97,18,93,-3.14014940003426,166.336931266046,163.196781866012
12_E025,BEL_2018_1,1,26,67,218,26,67,17.2695720458895,209.654190267213,226.923762313103
12_E025,BEL_2018_1,1,21,11,212.5,21,11,5.03299117848621,209.654190267213,214.687181445699
12_E034,BEL_2018_1,1,25,84,212.35,25,84,18.8901572056102,198.767732579314,217.657889784925
12_E034,BEL_2018_1,1,23,16,193,23,16,-2.98183546460149,198.767732579314,195.785897114713
12_E035,BEL_2018_1,1,25,43,224.62,25,43,19.6249532272814,205.095449717003,224.720402944285
12_E039,BEL_2018_1,1,19,68,161.18,19,68,-68.3159336997322,222.8333524436,154.517418743868
12_E039,BEL_2018_1,1,20,25,329.41,20,25,98.3593753549263,222.8333524436,321.192727798527
12_E043,BEL_2018_1,1,19,88,145,19,88,-2.83091743503695,145.104584472032,142.273667036995
12_E043,BEL_2018_1,1,21,48,138.38,21,48,-12.7802079749828,145.104584472032,132.32437649705
12_F002,BEL_2018_1,1,22,6,236.67,22,6,4.31107867418473,230.618627460297,234.929706134482
12_F002,BEL_2018_1,1,24,109,257.71,24,109,30.3051018735251,230.618627460297,260.923729333822
12_F007,BEL_2018_1,1,20,51,115.2,20,51,-2.23106453710834,105.531449585325,103.300385048216
12_F007,BEL_2018_1,1,20,97,69.71,20,97,-36.623634491972,105.531449585325,68.9078150933527
12_F019,BEL_2018_1,1,26,90,116,26,90,-7.09322420876123,136.085820595401,128.992596386639
12_F019,BEL_2018_1,1,19,4,121.14,19,4,-13.8151389035422,136.085820595401,122.270681691858
12_F023,BEL_2018_1,1,25,99,134.44,25,99,-17.3498798730847,156.209662934844,138.859783061759
12_F023,BEL_2018_1,1,19,31,175,19,31,8.26140447638136,156.209662934844,164.471067411225
12_F040,BEL_2018_1,1,18,109,123.9,18,109,-18.6519378860179,139.92747684435,121.275538958332
12_F045,BEL_2018_1,1,23,110,96.77,23,110,-26.2958967737277,126.913324154691,100.617427380963
12_F046,BEL_2018_1,1,24,6,106.67,24,6,-8.03835870122445,113.997272433679,105.958913732454
12_F046,BEL_2018_1,1,17,88,90.36,17,88,-25.8438766303258,113.997272433679,88.1533958033528
12_F052,BEL_2018_1,1,25,74,137.19,25,74,5.97845097246258,135.460495967414,141.438946939877
12_F052,BEL_2018_1,1,18,12,112.31,18,12,-27.2541031324504,135.460495967414,108.206392834964
12_F054,BEL_2018_1,1,22,58,99.53,22,58,-14.098896813269,106.098059865089,91.99916305182
12_F054,BEL_2018_1,1,18,96,83.18,18,96,-24.4229994750444,106.098059865089,81.6750603900447
12_I002,BEL_2018_1,1,22,81,280.8,22,81,29.6698250594705,244.392606171247,274.062431230718
12_I002,BEL_2018_1,1,25,53,256.84,25,53,13.0366038123085,244.392606171247,257.429209983556
12_I003,BEL_2018_1,1,25,10,238.57,25,10,-18.8997731476316,258.284025360028,239.384252212396
12_I003,BEL_2018_1,1,17,111,333.33,17,111,69.7654298771996,258.284025360028,328.049455237227
12_I005,BEL_2018_1,1,19,111,257.78,19,111,24.7720189332691,232.545782874302,257.317801807571
12_I005,BEL_2018_1,1,25,50,243.87,25,50,10.9760906079112,232.545782874302,243.521873482213
12_I037,BEL_2018_1,1,21,7,278,21,7,-0.756350675731426,281.612323287658,280.855972611927
12_I037,BEL_2018_1,1,24,104,345.71,24,104,65.3240558237675,281.612323287658,346.936379111426
12_I049,BEL_2018_1,1,20,29,229.41,20,29,10.659676555305,210.439603020142,221.099279575447
12_I049,BEL_2018_1,1,25,92,218.62,25,92,12.1042046616011,210.439603020142,222.543807681743
12_I056,BEL_2018_1,1,22,114,249.6,22,114,46.0395930759628,206.121402770678,252.160995846641
12_I056,BEL_2018_1,1,21,22,182.67,21,22,-25.8120387304963,206.121402770678,180.309364040182
12_I059,BEL_2018_1,1,21,2,178,21,2,4.23495706861095,178.893351714587,183.128308783198
12_I062,BEL_2018_1,1,23,84,172.31,23,84,-7.6084785112586,180.256821879468,172.64834336821
12_I062,BEL_2018_1,1,24,13,192.22,24,13,12.6442798709663,180.256821879468,192.901101750435
12_I064,BEL_2018_1,1,19,38,185.58,19,38,0.552050961830105,172.623053415052,173.175104376882
12_J001,BEL_2018_1,1,19,50,132.22,19,50,-2.22359560564732,121.318334180835,119.094738575188
12_J001,BEL_2018_1,1,18,115,96.25,18,115,-27.3585599324544,121.318334180835,93.9597742483807
12_J004,BEL_2018_1,1,26,85,202.94,26,85,26.3225095432597,187.939887087307,214.262396630567
12_J004,BEL_2018_1,1,23,32,169.7,23,32,-16.7740029786271,187.939887087307,171.16588410868
12_J011,BEL_2018_1,1,25,9,120,25,9,-18.4375609380177,140.292462367611,121.854901429593
12_J013,BEL_2018_1,1,26,23,95.56,26,23,-32.209620983232,129.816098292045,97.6064773088134
12_J013,BEL_2018_1,1,21,85,142.35,21,85,7.618690079766,129.816098292045,137.434788371811
12_J015,BEL_2018_1,1,17,28,102.11,17,28,-27.5772536770651,124.731761611649,97.1545079345838
12_J019,BEL_2018_1,1,22,25,158.64,22,25,-2.86253039962244,156.885418419425,154.022888019803
12_J019,BEL_2018_1,1,20,108,147.5,20,108,-5.82903501258414,156.885418419425,151.056383406841
12_J028,BEL_2018_1,1,26,77,145.45,26,77,8.88735621989338,146.412739081215,155.300095301108
12_J028,BEL_2018_1,1,21,29,125.83,21,29,-23.7301273397955,146.412739081215,122.682611741419
12_J029,BEL_2018_1,1,22,31,147.14,22,31,-10.6635112375544,153.52809998747,142.864588749916
12_J031,BEL_2018_1,1,25,106,175.56,25,106,3.20980995130287,177.147996812762,180.357806764065
12_K010,BEL_2018_1,1,17,2,161.14,17,2,-42.8455843521828,201.754220721956,158.908636369774
12_K010,BEL_2018_1,1,24,117,257.78,24,117,60.5080420039473,201.754220721956,262.262262725904
12_K016,BEL_2018_1,1,18,4,90.91,18,4,-27.4402116352513,116.359031831267,88.9188201960154
12_K016,BEL_2018_1,1,18,66,118.38,18,66,-5.05482683697716,116.359031831267,111.30420499429
12_K018,BEL_2018_1,1,19,109,137.78,19,109,-8.7149308272661,147.588407134666,138.8734763074
12_K018,BEL_2018_1,1,19,8,142.5,19,8,-5.43730296143389,147.588407134666,142.151104173232
12_K023,BEL_2018_1,1,25,35,217.42,25,35,16.9376486771881,200.520203793747,217.457852470935
12_K024,BEL_2018_1,1,24,42,212.4,24,42,-1.11213791245339,214.349942328157,213.237804415704
12_K024,BEL_2018_1,1,26,69,233.14,26,69,26.1727858586457,214.349942328157,240.522728186803
12_K044,BEL_2018_1,1,19,71,93.02,19,71,-31.7762896124893,117.582731166071,85.8064415535818
12_K045,BEL_2018_1,1,20,26,123.75,20,26,-20.5347114336973,136.721977862801,116.187266429104
12_K049,BEL_2018_1,1,17,66,200,17,66,9.41260579147993,187.708510461866,197.121116253346
12_L001,BEL_2018_1,1,19,70,140.67,19,70,-14.6955356010548,146.663413574859,131.967877973804
12_L005,BEL_2018_1,1,23,95,76.5,23,95,-29.9743072539218,108.677560820114,78.7032535661925
12_L005,BEL_2018_1,1,17,58,106.06,17,58,-7.03250006001055,108.677560820114,101.645060760104
12_L012,BEL_2018_1,1,26,80,142.86,26,80,-4.59508480117893,158.384977518761,153.789892717582
12_L012,BEL_2018_1,1,17,31,161.28,17,31,-3.21570347721416,158.384977518761,155.169274041547
12_L013,BEL_2018_1,1,26,24,110.53,26,24,-5.90512479037191,121.712621685153,115.807496894781
12_L013,BEL_2018_1,1,23,106,94.48,23,106,-23.4454430643197,121.712621685153,98.2671786208333
12_N021,BEL_2018_1,1,24,64,154.67,24,64,4.36500067529585,150.76745312977,155.132453805066
12_N021,BEL_2018_1,1,26,56,128.75,26,56,-16.6499982736574,150.76745312977,134.117454856113
12_N034,BEL_2018_1,1,23,57,140,23,57,-23.4068475232754,163.605543222266,140.19869569899
12_N034,BEL_2018_1,1,26,97,169.74,26,97,18.6623971433066,163.605543222266,182.267940365573
12_N039,BEL_2018_1,1,17,18,171.76,17,18,2.64243929393527,164.74720065463,167.389639948565
12_N039,BEL_2018_1,1,21,111,153.04,21,111,-6.71632873267802,164.74720065463,158.030871921952
12_N041,BEL_2018_1,1,23,92,139.09,23,92,-0.127530355813775,138.955676407173,138.82814605136
12_N041,BEL_2018_1,1,18,1,120,18,1,-19.0952017083557,138.955676407173,119.860474698818
12_N046,BEL_2018_1,1,23,8,156.25,23,8,4.95862575201889,154.260314658439,159.218940410458
12_N046,BEL_2018_1,1,23,88,140,23,88,-15.1920652841516,154.260314658439,139.068249374288
12_N052,BEL_2018_1,1,23,38,178.46,23,38,11.6212276680254,167.281505208292,178.902732876318
12_N052,BEL_2018_1,1,21,72,160,21,72,-14.2065745731828,167.281505208292,153.074930635109
12_N057,BEL_2018_1,1,26,4,236.47,26,4,26.3190037111776,216.492344492272,242.81134820345
12_N062,BEL_2018_1,1,18,108,169.73,18,108,8.56224641102983,159.105482158935,167.667728569965
12_N062,BEL_2018_1,1,19,7,143.43,19,7,-15.9498409572429,159.105482158935,143.155641201692
12_N063,BEL_2018_1,1,24,57,147.03,24,57,-8.85299690339878,156.610574702163,147.757577798764
12_O011,BEL_2018_1,1,21,34,229.57,21,34,7.88083283970639,217.220431933255,225.101264772962
12_O011,BEL_2018_1,1,22,82,243.43,22,82,18.8658184178195,217.220431933255,236.086250351075
12_O014,BEL_2018_1,1,17,109,132.08,17,109,-15.8841970976093,144.639668753657,128.755471656048
12_O017,BEL_2018_1,1,22,4,90.97,22,4,-30.0616955110217,120.501897760905,90.4402022498833
12_O026,BEL_2018_1,1,26,60,88.46,26,60,-9.8783219994382,103.632522161229,93.7542001617913
12_O026,BEL_2018_1,1,18,35,84.76,18,35,-30.0917261043515,103.632522161229,73.5407960568779
12_O056,BEL_2018_1,1,25,95,161.38,25,95,-1.64912095160773,168.875468191414,167.226347239806
12_O061,BEL_2018_1,1,20,43,158.89,20,43,-12.9971203463387,160.97117659094,147.974056244601
12_O061,BEL_2018_1,1,19,64,177.5,19,64,6.7053552310044,160.97117659094,167.676531821944
12_O063,BEL_2018_1,1,24,14,167.57,24,14,-5.95568530093104,174.914706874258,168.959021573327
12_O063,BEL_2018_1,1,18,103,184.71,18,103,7.85375588038622,174.914706874258,182.768462754644
12_O072,BEL_2018_1,1,23,66,176.44,23,66,-4.99265550279566,181.303234735247,176.310579232451
12_O072,BEL_2018_1,1,21,45,198,21,45,10.6430751968572,181.303234735247,191.946309932104
12_O074,BEL_2018_1,1,24,94,164.44,24,94,-0.356498930896692,165.150169098587,164.79367016769
12_O074,BEL_2018_1,1,18,45,173.33,18,45,-3.48070401029909,165.150169098587,161.669465088288
12_P001,BEL_2018_1,1,20,35,175,20,35,-5.77703357688301,171.378638518091,165.601604941208
12_P001,BEL_2018_1,1,22,107,178,22,107,5.59816824024554,171.378638518091,176.976806758337
12_P002,BEL_2018_1,1,19,16,144.55,19,16,-40.0578891754293,180.3191773822,140.26128820677
12_P002,BEL_2018_1,1,17,94,227.78,17,94,45.1303155011,180.3191773822,225.4494928833
12_P003,BEL_2018_1,1,25,90,158.18,25,90,-1.28730112383639,164.106633189348,162.819332065512
12_P003,BEL_2018_1,1,24,31,160.8,24,31,-3.16283035587355,164.106633189348,160.943802833475
12_P018,BEL_2018_1,1,26,118,57.65,26,118,-66.2203780232662,136.049972324624,69.8295943013573
12_P018,BEL_2018_1,1,25,23,182.5,25,23,45.2909591638419,136.049972324624,181.340931488465
12_P025,BEL_2018_1,1,18,95,252.73,18,95,2.3857078743132,249.339504131126,251.725212005439
12_P025,BEL_2018_1,1,18,7,295.56,18,7,43.2263181215146,249.339504131126,292.56582225264
12_P027,BEL_2018_1,1,17,73,225,17,73,22.9849350175846,200.276449957477,223.261384975061
12_P027,BEL_2018_1,1,20,23,201.54,20,23,-6.19045695992156,200.276449957477,194.085992997555
12_P029,BEL_2018_1,1,18,3,140,18,3,-7.29077317602179,145.45534909774,138.164575921718
12_P029,BEL_2018_1,1,20,74,145.6,20,74,-8.11432803541166,145.45534909774,137.341021062328
12_P034,BEL_2018_1,1,26,28,129.09,26,28,-17.0911456384012,149.853975600614,132.762829962213
12_P034,BEL_2018_1,1,21,68,160.51,21,68,4.26961025350599,149.853975600614,154.12358585412
12_P055,BEL_2018_1,1,25,69,168.64,25,69,2.54380572128204,168.16209789179,170.705903613072
12_P055,BEL_2018_1,1,20,33,173.6,20,33,-4.61192999735351,168.16209789179,163.550167894437
12_P056,BEL_2018_1,1,18,18,194.29,18,18,10.4893234736226,177.217029627207,187.70635310083
12_P056,BEL_2018_1,1,22,85,177.58,22,85,-7.23896658790878,177.217029627207,169.978063039298
1218,BEL_2018_1,1,19,48,215.33,19,48,11.7881549712939,191.752980114574,203.541135085868
1236,BEL_2018_1,1,18,13,132,18,13,-16.4839623132835,143.618543940011,127.134581626728
13_10,BEL_2018_1,1,23,17,112,23,17,-16.1342052025708,131.156235471119,115.022030268549
13_10,BEL_2018_1,1,26,103,110,26,103,-7.66958621167747,131.156235471119,123.486649259442
13_109,BEL_2018_1,1,19,102,174,19,102,0.705753412965095,173.736390069726,174.442143482691
13_109,BEL_2018_1,1,17,4,177.58,17,4,0.500224071739467,173.736390069726,174.236614141465
13_139,BEL_2018_1,1,21,44,123.7,21,44,-18.9627374692259,138.4872977286,119.524560259375
13_139,BEL_2018_1,1,20,64,149.33,20,64,-0.535100277831276,138.4872977286,137.952197450769
13_32,BEL_2018_1,1,25,15,139.29,25,15,-16.6722641634253,157.380267500513,140.708003337088
13_32,BEL_2018_1,1,25,98,161.11,25,98,8.27135202090597,157.380267500513,165.651619521419
13_35,BEL_2018_1,1,22,43,218.82,22,43,36.2125990256519,176.635591244354,212.848190270006
13_35,BEL_2018_1,1,26,70,135.71,26,70,-33.3037542767825,176.635591244354,143.331836967572
13_38,BEL_2018_1,1,26,43,240,26,43,28.852193413966,213.584060281293,242.436253695259
13_38,BEL_2018_1,1,22,62,216.55,22,62,-4.24139195556853,213.584060281293,209.342668325724
130,BEL_2018_1,1,22,27,180,22,27,29.0674342337771,146.406621558856,175.474055792633
130,BEL_2018_1,1,23,89,101.9,23,89,-43.9137985257061,146.406621558856,102.49282303315
131,BEL_2018_1,1,19,90,182.22,19,90,11.3850381576008,169.397015418899,180.7820535765
131,BEL_2018_1,1,17,34,163.33,17,34,-12.727824485668,169.397015418899,156.669190933231
133,BEL_2018_1,1,21,104,135,21,104,-38.6866924886203,177.181734551767,138.495042063146
133,BEL_2018_1,1,20,22,226.09,20,22,41.9163185505885,177.181734551767,219.098053102355
135,BEL_2018_1,1,22,65,128,22,65,-33.0951674990535,153.986824906591,120.891657407538
135,BEL_2018_1,1,20,30,178.95,20,30,16.0678583287781,153.986824906591,170.054683235369
135,BEL_2018_1,1,21,102,152.31,21,102,1.97108312459696,153.986824906591,155.957908031188
135,BEL_2018_1,1,23,25,158.18,23,25,4.66215028395877,153.986824906591,158.64897519055
1377,BEL_2018_1,1,18,44,103.64,18,44,-30.2417155444953,123.893874171284,93.6521586267885
1377,BEL_2018_1,1,17,92,128.42,17,92,2.17232247891941,123.893874171284,126.066196650203
140,BEL_2018_1,1,22,92,221.33,22,92,16.4781347746262,199.737862577787,216.215997352413
141,BEL_2018_1,1,17,74,181.43,17,74,-5.56529735574642,185.58716192904,180.021864573294
141,BEL_2018_1,1,21,31,202.73,21,31,13.7319133883762,185.58716192904,199.319075317416
143,BEL_2018_1,1,23,26,94.44,23,26,-4.36700519211045,100.191883398905,95.8248782067946
143,BEL_2018_1,1,19,86,65.71,19,86,-37.6239275496441,100.191883398905,62.5679558492609
1446,BEL_2018_1,1,24,28,180,24,28,-12.6224292234783,193.687717107831,181.065287884352
1446,BEL_2018_1,1,20,68,228,20,68,25.5469662849204,193.687717107831,219.234683392751
1478,BEL_2018_1,1,22,30,206.15,22,30,29.6847787722137,171.838948155912,201.523726928125
1478,BEL_2018_1,1,19,114,141.9,19,114,-29.5932778367612,171.838948155912,142.24567031915
1481,BEL_2018_1,1,18,55,222.31,18,55,10.5891123622346,201.307555943174,211.896668305409
1481,BEL_2018_1,1,19,80,212.86,19,80,6.81099342636858,201.307555943174,208.118549369543
149,BEL_2018_1,1,19,3,251.43,19,3,44.9953166667086,207.856596214578,252.851912881286
149,BEL_2018_1,1,26,81,171.76,26,81,-23.7485836114421,207.856596214578,184.108012603135
15,BEL_2018_1,1,22,93,324.44,22,93,53.6927741748814,263.097308456575,316.790082631457
152,BEL_2018_1,1,25,20,235,25,20,68.1348336110457,166.681207760097,234.816041371143
152,BEL_2018_1,1,21,103,91.11,21,103,-71.0727696646341,166.681207760097,95.6084380954631
163,BEL_2018_1,1,22,106,151.11,22,106,-7.38101348756908,159.116686680481,151.735673192912
17,BEL_2018_1,1,22,24,172,22,24,-26.4542888540239,197.427608011982,170.973319157958
17,BEL_2018_1,1,18,78,243.64,18,78,41.5754785134151,197.427608011982,239.003086525397
173,BEL_2018_1,1,26,9,109.23,26,9,-7.39175902940126,123.044860740008,115.653101710607
173,BEL_2018_1,1,17,113,105.88,17,113,-21.1763083577801,123.044860740008,101.868552382228
1870,BEL_2018_1,1,26,26,148.18,26,26,-21.320397035348,172.090328285389,150.769931250041
1870,BEL_2018_1,1,21,86,197.78,21,86,21.5595479500761,172.090328285389,193.649876235465
1872,BEL_2018_1,1,18,69,180,18,69,4.24303288323029,168.329726256286,172.572759139516
1872,BEL_2018_1,1,23,21,160,23,21,-6.21269939895598,168.329726256286,162.11702685733
1889,BEL_2018_1,1,18,80,91.3,18,80,-20.341729983284,107.638316920223,87.2965869369386
1889,BEL_2018_1,1,17,9,93.33,17,9,-17.2754849257109,107.638316920223,90.3628319945117
1900,BEL_2018_1,1,22,113,181.33,22,113,12.8107513814086,171.686620545201,184.49737192661
1900,BEL_2018_1,1,22,22,162.86,22,22,-12.80872119534,171.686620545201,158.877899349861
1901,BEL_2018_1,1,20,4,130.67,20,4,9.21044705178336,123.28840642714,132.498853478923
1901,BEL_2018_1,1,17,108,88.33,17,108,-37.6354660773768,123.28840642714,85.652940349763
192,BEL_2018_1,1,17,43,102.22,17,43,-40.762135059095,136.71923124623,95.9570961871348
192,BEL_2018_1,1,17,86,159,17,86,20.2258103798299,136.71923124623,156.94504162606
1935,BEL_2018_1,1,20,38,303.33,20,38,70.7902859126648,221.798810619678,292.589096532343
1935,BEL_2018_1,1,17,72,182,17,72,-41.3544900534171,221.798810619678,180.444320566261
1951,BEL_2018_1,1,18,72,161.67,18,72,1.48498606215821,155.338879209499,156.823865271657
1951,BEL_2018_1,1,20,41,156,20,41,-11.0849227237886,155.338879209499,144.25395648571
1952,BEL_2018_1,1,18,25,300,18,25,43.5153626202387,245.769848968197,289.285211588436
1962,BEL_2018_1,1,23,115,236,23,115,-1.37779024349604,244.95837374051,243.580583497014
1962,BEL_2018_1,1,18,6,293.04,18,6,44.416526883792,244.95837374051,289.374900624302
197,BEL_2018_1,1,21,114,164.62,21,114,-0.267126583302456,171.228370135235,170.961243551933
1988,BEL_2018_1,1,25,12,100,25,12,-25.9485952113278,127.504619271373,101.556024060046
1989,BEL_2018_1,1,20,5,145,20,5,6.25902872186879,141.082577474242,147.341606196111
1989,BEL_2018_1,1,20,65,126.67,20,65,-24.2325097051116,141.082577474242,116.850067769131
1991,BEL_2018_1,1,19,14,61.67,19,14,-43.663899289501,102.627828296911,58.9639290074104
1991,BEL_2018_1,1,21,112,98.89,21,112,3.10373680971584,102.627828296911,105.731565106627
1997,BEL_2018_1,1,23,74,130.67,23,74,-15.2430121186339,145.731312408639,130.488300290005
2,BEL_2018_1,1,20,14,205.26,20,14,11.8776603648426,191.905366708394,203.783027073236
200,BEL_2018_1,1,18,11,214.29,18,11,17.6191070524961,192.636830239857,210.255937292353
200,BEL_2018_1,1,22,76,196.36,22,76,-5.31181616957838,192.636830239857,187.325014070278
2003,BEL_2018_1,1,24,84,80,24,84,-31.6969057677209,113.173306599284,81.4764008315632
2003,BEL_2018_1,1,19,17,115,19,17,-2.6692919940525,113.173306599284,110.504014605232
2010,BEL_2018_1,1,19,15,114.78,19,15,-22.3417100033076,133.645488881063,111.303778877755
202,BEL_2018_1,1,24,2,191.67,24,2,12.2762927811794,180.494493613565,192.770786394745
202,BEL_2018_1,1,26,100,162.5,26,100,-5.02937663554124,180.494493613565,175.465116978024
202,BEL_2018_1,1,18,76,183.75,18,76,-2.0715165341249,180.494493613565,178.42297707944
2026,BEL_2018_1,1,24,7,170,24,7,-0.500802167723919,170.830527894037,170.329725726313
203,BEL_2018_1,1,19,75,204.21,19,75,9.98488096374419,188.682832352101,198.667713315845
204,BEL_2018_1,1,22,79,200,22,79,7.40507562041591,184.290608225718,191.695683846134
2050,BEL_2018_1,1,24,49,125,24,49,-11.4024658916699,137.045204591667,125.642738699997
2050,BEL_2018_1,1,17,61,132.31,17,61,-8.94239593093263,137.045204591667,128.102808660735
2055,BEL_2018_1,1,18,82,173.33,18,82,-0.583574320396878,170.689604918239,170.106030597842
2061,BEL_2018_1,1,19,95,179.29,19,95,-23.046746128517,202.995697700264,179.948951571747
2061,BEL_2018_1,1,19,57,255.68,19,57,41.4383944704874,202.995697700264,244.434092170751
216,BEL_2018_1,1,18,84,120,18,84,-19.8341055300469,137.91478807271,118.080682542663
241,BEL_2018_1,1,23,68,148,23,68,-7.68138379887589,156.797494621538,149.116110822662
241,BEL_2018_1,1,23,15,152.59,23,15,-1.06182430666072,156.797494621538,155.735670314878
2410,BEL_2018_1,1,21,16,162.86,21,16,-25.2258901345534,188.967646570948,163.741756436394
2410,BEL_2018_1,1,26,63,217.78,26,63,35.3780588373783,188.967646570948,224.345705408326
2422,BEL_2018_1,1,18,21,170.83,18,21,0.105742326774276,162.659318300459,162.765060627233
2422,BEL_2018_1,1,23,105,154.12,23,105,-5.40596491668262,162.659318300459,157.253353383776
2443,BEL_2018_1,1,21,117,153.75,21,117,1.95371375262971,159.022360051553,160.976073804183
2443,BEL_2018_1,1,25,39,149.6,25,39,-9.39013068372174,159.022360051553,149.632229367831
249,BEL_2018_1,1,22,3,250.59,22,3,15.9477992069284,234.046126790624,249.993925997553
249,BEL_2018_1,1,24,75,200,24,75,-33.0220400553235,234.046126790624,201.024086735301
249,BEL_2018_1,1,24,87,290,24,87,55.791549618546,234.046126790624,289.83767640917
