Genotype,Envir,Management,Row,Position,Powdery_mildew,R,P,Powdery_mildew_spats_residuals,Powdery_mildew_spats_geno_pred_values,Powdery_mildew_spats_adj_pheno
12_I059,BEL_2021_2,2,12,2,5,12,2,-0.207546676567282,6.91454294361418,6.7069962670469
12_I059,BEL_2021_2,2,14,76,9,14,76,1.26122343118214,6.91454294361418,8.17576637479632
12_J029,BEL_2021_2,2,14,41,7,14,41,0.321921774673508,5.33071904849512,5.65264082316863
12_J031,BEL_2021_2,2,13,37,2,13,37,-1.6788179550171,2.55698064565584,0.87816269063874
12_J031,BEL_2021_2,2,13,89,4,13,89,0.719222955264365,2.55698064565584,3.27620360092021
12_K001,BEL_2021_2,2,13,31,8,13,31,0.674413856556853,6.09365937337251,6.76807322992937
12_K018,BEL_2021_2,2,14,101,4,14,101,-1.33956059505726,5.76099832486306,4.4214377298058
12_K018,BEL_2021_2,2,14,38,9,14,38,1.86027909468113,5.76099832486306,7.62127741954419
12_K023,BEL_2021_2,2,14,24,4,14,24,-0.656260886682078,3.54450374410157,2.88824285741949
12_K023,BEL_2021_2,2,14,94,4,14,94,0.152919228807633,3.54450374410157,3.6974229729092
12_K049,BEL_2021_2,2,14,31,8,14,31,0.191260772525965,6.43305538544767,6.62431615797363
12_K049,BEL_2021_2,2,14,79,8,14,79,0.639960114644309,6.43305538544767,7.07301550009198
12_N021,BEL_2021_2,2,12,93,1,12,93,-2.29669348790317,3.19940790857798,0.902714420674814
12_N021,BEL_2021_2,2,13,11,5,13,11,1.63391137899146,3.19940790857798,4.83331928756944
12_N052,BEL_2021_2,2,14,46,3,14,46,-2.77843537595435,4.58319390101207,1.80475852505772
12_N052,BEL_2021_2,2,15,63,8,15,63,2.75498715653456,4.58319390101207,7.33818105754664
12_N062,BEL_2021_2,2,12,46,9,12,46,1.51975229271896,7.23304291640368,8.75279520912264
12_N062,BEL_2021_2,2,12,76,7,12,76,-0.318922851547146,7.23304291640368,6.91412006485653
12_O017,BEL_2021_2,2,12,39,9,12,39,0.737609517143804,7.89268113952573,8.63029065666953
12_O017,BEL_2021_2,2,13,105,8,13,105,0.767984586448359,7.89268113952573,8.66066572597409
12_O026,BEL_2021_2,2,14,18,9,14,18,0.307156693986848,7.88970891854595,8.19686561253279
12_O026,BEL_2021_2,2,12,98,9,12,98,1.19706419032874,7.88970891854595,9.08677310887469
12_O056,BEL_2021_2,2,13,68,7,13,68,0.0552185307505555,6.29372486420102,6.34894339495157
12_O056,BEL_2021_2,2,13,45,8,13,45,0.711629162471674,6.29372486420102,7.00535402667269
12_O061,BEL_2021_2,2,15,20,9,15,20,0.424365092737752,7.70902114261796,8.13338623535571
12_O061,BEL_2021_2,2,13,106,8,13,106,0.996374805934623,7.70902114261796,8.70539594855258
12_P002,BEL_2021_2,2,14,89,8,14,89,0.8609491424964,6.49739976633519,7.35834890883159
12_P029,BEL_2021_2,2,13,1,2,13,1,-0.432394732582525,3.69244357296524,3.26004884038271
12_P029,BEL_2021_2,2,14,104,3,14,104,-0.0025960771728295,3.69244357296524,3.68984749579241
12_P055,BEL_2021_2,2,15,19,7,15,19,0.270732178700508,5.90188271461701,6.17261489331751
12_P055,BEL_2021_2,2,14,68,7,14,68,0.315077429926173,5.90188271461701,6.21696014454318
133,BEL_2021_2,2,12,41,8,12,41,0.707366719056236,6.89279204471477,7.600158763771
133,BEL_2021_2,2,13,88,8,13,88,0.336260731064046,6.89279204471477,7.22905277577881
1377,BEL_2021_2,2,14,47,3,14,47,-0.893554627083455,2.69991963909399,1.80636501201054
140,BEL_2021_2,2,12,12,8,12,12,1.20994454349074,7.26137184695067,8.47131639044141
140,BEL_2021_2,2,15,70,8,15,70,0.00397337050186941,7.26137184695067,7.26534521745254
149,BEL_2021_2,2,15,75,8,15,75,0.147316088838588,6.93127450074639,7.07859058958498
149,BEL_2021_2,2,15,2,7,15,2,0.914090944560037,6.93127450074639,7.84536544530643
152,BEL_2021_2,2,12,8,3,12,8,0.602356111743442,3.38471075847801,3.98706687022145
152,BEL_2021_2,2,13,86,3,13,86,-1.17952498825632,3.38471075847801,2.20518577022169
167,BEL_2021_2,2,14,96,2,14,96,-1.05217929272622,2.98069485468503,1.92851556195881
167,BEL_2021_2,2,13,8,3,13,8,0.288347839340311,2.98069485468503,3.26904269402535
17,BEL_2021_2,2,15,78,9,15,78,0.495127108634355,7.49958999679585,7.99471710543021
17,BEL_2021_2,2,13,17,9,13,17,0.828851853179817,7.49958999679585,8.32844184997567
173,BEL_2021_2,2,15,98,7,15,98,2.03367423676803,4.20365850917698,6.23733274594501
173,BEL_2021_2,2,14,22,3,14,22,-2.2324745984905,4.20365850917698,1.97118391068648
1893,BEL_2021_2,2,12,11,4,12,11,0.661774829301531,3.93264434536447,4.594419174666
1893,BEL_2021_2,2,12,74,3,12,74,-0.98578858413899,3.93264434536447,2.94685576122548
1901,BEL_2021_2,2,12,99,1,12,99,-0.403020344993301,1.61625112050367,1.21323077551037
1901,BEL_2021_2,2,12,37,1,12,37,-0.991208528468101,1.61625112050367,0.625042592035568
1935,BEL_2021_2,2,12,67,4,12,67,0.218239026265933,3.89883953264019,4.11707855890612
1935,BEL_2021_2,2,14,7,3,14,7,-0.557871209473611,3.89883953264019,3.34096832316658
197,BEL_2021_2,2,12,73,2,12,73,0.267808692594036,1.70122627130772,1.96903496390175
197,BEL_2021_2,2,13,48,1,13,48,-1.62277752586803,1.70122627130772,0.0784487454396912
1985,BEL_2021_2,2,12,72,2,12,72,-0.450458297111716,2.4392745771498,1.98881628003808
1985,BEL_2021_2,2,15,27,3,15,27,-0.563519012482437,2.4392745771498,1.87575556466736
1988,BEL_2021_2,2,12,75,4,12,75,0.200661457757538,3.67700131061413,3.87766276837167
1988,BEL_2021_2,2,13,10,3,13,10,-0.642786869037598,3.67700131061413,3.03421444157653
1989,BEL_2021_2,2,14,74,3,14,74,-0.772054410713291,2.93719119935649,2.1651367886432
1989,BEL_2021_2,2,13,40,4,13,40,-0.0118765098737539,2.93719119935649,2.92531468948274
1991,BEL_2021_2,2,12,14,2,12,14,0.584961567927268,1.77801870882859,2.36298027675586
1991,BEL_2021_2,2,15,89,1,15,89,-1.90445092096935,1.77801870882859,-0.126432212140753
2024,BEL_2021_2,2,15,48,5,15,48,0.440522308784221,3.58552386519013,4.02604617397435
2024,BEL_2021_2,2,12,85,3,12,85,-0.924911936715906,3.58552386519013,2.66061192847422
2026,BEL_2021_2,2,14,63,3,14,63,-0.71518974277427,2.91063827818482,2.19544853541055
2026,BEL_2021_2,2,15,28,4,15,28,-0.0810091025228514,2.91063827818482,2.82962917566196
2046,BEL_2021_2,2,13,19,5,13,19,0.63619735999739,3.54531740098185,4.18151476097924
2046,BEL_2021_2,2,13,66,3,13,66,-1.13916309383384,3.54531740098185,2.40615430714801
2055,BEL_2021_2,2,15,39,2,15,39,-1.32225785766963,2.18304466810115,0.860786810431528
2055,BEL_2021_2,2,15,61,3,15,61,0.18989774520573,2.18304466810115,2.37294241330688
2061,BEL_2021_2,2,12,10,7,12,10,0.279031474298465,7.50275795902119,7.78178943331966
2061,BEL_2021_2,2,14,103,8,14,103,1.04641114275023,7.50275795902119,8.54916910177143
2071,BEL_2021_2,2,15,83,7,15,83,1.4089064940701,4.43158639989578,5.84049289396588
2071,BEL_2021_2,2,15,10,3,15,10,-1.50240009181775,4.43158639989578,2.92918630807803
2443,BEL_2021_2,2,15,102,7,15,102,1.78691949017733,4.74751246992655,6.53443196010388
2443,BEL_2021_2,2,12,19,3,12,19,-1.73444959049907,4.74751246992655,3.01306287942748
25,BEL_2021_2,2,14,98,1,14,98,-0.96854598905078,2.02195325716239,1.05340726811161
25,BEL_2021_2,2,14,4,1,14,4,-0.238241237780738,2.02195325716239,1.78371201938166
261,BEL_2021_2,2,13,90,5,13,90,0.233916560558319,4.10362331951275,4.33753988007107
261,BEL_2021_2,2,12,35,4,12,35,-0.478934969900736,4.10362331951275,3.62468834961201
2670,BEL_2021_2,2,13,22,7,13,22,0.986733651975383,5.04914264504118,6.03587629701657
2670,BEL_2021_2,2,13,101,4,13,101,-0.794905214128258,5.04914264504118,4.25423743091292
270,BEL_2021_2,2,14,106,3,14,106,0.350138413906357,3.5326092699344,3.88274768384076
270,BEL_2021_2,2,14,30,4,14,30,-0.858975531681632,3.5326092699344,2.67363373825277
2732,BEL_2021_2,2,12,92,9,12,92,1.23841520986785,7.50854530667847,8.74696051654632
2732,BEL_2021_2,2,12,42,8,12,42,0.089701265355278,7.50854530667847,7.59824657203375
2762,BEL_2021_2,2,15,6,3,15,6,-1.04359701870483,4.42182022520714,3.37822320650231
2762,BEL_2021_2,2,13,63,6,13,63,0.945591273498489,4.42182022520714,5.36741149870563
2779,BEL_2021_2,2,15,97,5,15,97,-0.243976273289833,4.41890903975816,4.17493276646833
2779,BEL_2021_2,2,12,29,5,12,29,0.144625508314318,4.41890903975816,4.56353454807248
2794,BEL_2021_2,2,12,60,3,12,60,-1.69050726016185,4.81320981392373,3.12270255376188
2794,BEL_2021_2,2,14,32,8,14,32,1.77333050833234,4.81320981392373,6.58654032225607
2802,BEL_2021_2,2,12,87,8,12,87,1.15499181963217,6.45182792090566,7.60681974053783
2802,BEL_2021_2,2,13,20,7,13,20,-0.315097685171033,6.45182792090566,6.13673023573463
2813,BEL_2021_2,2,12,69,2,12,69,-0.650606036877945,2.73950134203136,2.08889530515341
2813,BEL_2021_2,2,15,14,3,15,14,-0.224661135187156,2.73950134203136,2.5148402068442
2817,BEL_2021_2,2,15,69,4,15,69,0.630933751401358,2.67036605717318,3.30129980857453
2817,BEL_2021_2,2,15,8,1,15,8,-1.53814266215379,2.67036605717318,1.13222339501939
2827,BEL_2021_2,2,14,69,5,14,69,-0.696830391126611,4.9218344185279,4.22500402740129
2827,BEL_2021_2,2,13,33,7,13,33,0.829840150315279,4.9218344185279,5.75167456884318
2830,BEL_2021_2,2,13,80,9,13,80,0.749273684174902,7.31701604222924,8.06628972640414
2830,BEL_2021_2,2,13,30,9,13,30,0.490352843714364,7.31701604222924,7.8073688859436
2850,BEL_2021_2,2,13,70,6,13,70,0.216431496172623,5.10239395557145,5.31882545174407
2855,BEL_2021_2,2,15,60,4,15,60,0.019116597210612,3.33134299447712,3.35045959168773
2855,BEL_2021_2,2,14,28,4,14,28,-0.62094233563618,3.33134299447712,2.71040065884094
2865,BEL_2021_2,2,12,44,3,12,44,0.123389015337628,2.56598755800865,2.68937657334628
2865,BEL_2021_2,2,14,102,1,14,102,-1.0788226604168,2.56598755800865,1.48716489759185
2902,BEL_2021_2,2,15,33,8,15,33,0.665712648157292,6.07482631837816,6.74053896653545
2936,BEL_2021_2,2,13,16,8,13,16,1.31417607174022,6.14456369766761,7.45873976940783
2936,BEL_2021_2,2,12,104,5,12,104,-0.616243506494675,6.14456369766761,5.52832019117293
2990,BEL_2021_2,2,15,82,7,15,82,-0.290834253041933,6.22043272050785,5.92959846746591
2990,BEL_2021_2,2,13,18,8,13,18,1.02381966441367,6.22043272050785,7.24425238492152
3062,BEL_2021_2,2,15,106,1,15,106,-0.350593642034854,1.15417179694282,0.803578154907964
3062,BEL_2021_2,2,13,39,1,13,39,-1.25712414719907,1.15417179694282,-0.102952350256256
3170,BEL_2021_2,2,15,101,7,15,101,0.59032661832725,5.9116594132311,6.50198603155835
3173,BEL_2021_2,2,12,3,2,12,3,-1.55602437437616,5.10475368700401,3.54872931262785
3173,BEL_2021_2,2,15,80,8,15,80,1.77354610869485,5.10475368700401,6.87829979569887
3190,BEL_2021_2,2,15,86,8,15,86,0.357087111521203,6.52431022025354,6.88139733177474
3190,BEL_2021_2,2,13,21,8,13,21,0.516295142211806,6.52431022025354,7.04060536246535
321,BEL_2021_2,2,12,64,1,12,64,-0.426650195648443,1.56046181093251,1.13381161528407
321,BEL_2021_2,2,13,14,1,13,14,-0.993354337109418,1.56046181093251,0.567107473823096
33,BEL_2021_2,2,13,67,3,13,67,0.584503920953472,1.78578765226234,2.37029157321581
33,BEL_2021_2,2,15,40,1,15,40,-1.90040388311437,1.78578765226234,-0.114616230852033
333,BEL_2021_2,2,14,19,9,14,19,0.906564579636973,7.224351308931,8.13091588856797
333,BEL_2021_2,2,13,104,7,13,104,0.29024918335785,7.224351308931,7.51460049228885
34,BEL_2021_2,2,15,7,8,15,7,0.677179492937874,7.54092142151557,8.21810091445344
34,BEL_2021_2,2,14,62,9,14,62,0.665895326667004,7.54092142151557,8.20681674818258
345,BEL_2021_2,2,15,5,3,15,5,-0.355833764355336,3.86377253335253,3.50793876899719
353,BEL_2021_2,2,12,78,1,12,78,-1.12987195997392,1.92988445201234,0.800012492038418
353,BEL_2021_2,2,13,4,1,13,4,-0.11945270228425,1.92988445201234,1.81043174972809
405,BEL_2021_2,2,14,8,3,14,8,0.214518664462244,3.02225744140583,3.23677610586808
405,BEL_2021_2,2,15,93,3,15,93,-0.959147459076611,3.02225744140583,2.06310998232922
409,BEL_2021_2,2,14,36,3,14,36,-1.12873985574877,2.84469917030262,1.71595931455385
409,BEL_2021_2,2,12,61,3,12,61,0.302075962718511,2.84469917030262,3.14677513302113
424,BEL_2021_2,2,12,71,2,12,71,-2.41186009100449,4.48968476351726,2.07782467251278
424,BEL_2021_2,2,15,42,8,15,42,2.34520897684197,4.48968476351726,6.83489374035923
43,BEL_2021_2,2,15,16,1,15,16,-1.32948565073748,1.75638253881717,0.42689688807969
435,BEL_2021_2,2,13,44,3,13,44,0.164269928551209,1.8145545983879,1.97882452693911
435,BEL_2021_2,2,13,71,1,13,71,-1.46687904685633,1.8145545983879,0.347675551531571
45,BEL_2021_2,2,15,100,8,15,100,1.0532716938498,6.31639570966715,7.36966740351695
45,BEL_2021_2,2,15,22,7,15,22,-0.275949664357966,6.31639570966715,6.04044604530918
457,BEL_2021_2,2,13,76,1,13,76,-2.31231012878767,2.54393303518395,0.231622906396281
457,BEL_2021_2,2,14,3,3,14,3,1.34668689952751,2.54393303518395,3.89061993471146
468,BEL_2021_2,2,14,34,7,14,34,0.989726948209454,4.63424216157345,5.6239691097829
468,BEL_2021_2,2,12,105,3,12,105,-0.989589957809998,4.63424216157345,3.64465220376345
473,BEL_2021_2,2,13,74,6,13,74,1.22893839156734,4.01244295742309,5.24138134899043
473,BEL_2021_2,2,15,15,3,15,15,-1.51608375974499,4.01244295742309,2.4963591976781
49,BEL_2021_2,2,13,32,8,13,32,0.690960580039558,6.04928180629162,6.74024238633118
49,BEL_2021_2,2,15,77,7,15,77,-0.037049953550901,6.04928180629162,6.01223185274072
526,BEL_2021_2,2,12,26,5,12,26,0.932250458194826,3.71281983030417,4.645070288499
526,BEL_2021_2,2,15,64,3,15,64,-1.3578270724539,3.71281983030417,2.35499275785027
546,BEL_2021_2,2,12,91,9,12,91,2.58800866194059,6.13338072469222,8.72138938663281
546,BEL_2021_2,2,14,1,3,14,1,-1.89524283031393,6.13338072469222,4.23813789437829
56,BEL_2021_2,2,15,25,3,15,25,-0.862564769594969,2.76699465483291,1.90442988523794
560,BEL_2021_2,2,15,74,7,15,74,-0.289082189806443,6.43886588703057,6.14978369722413
560,BEL_2021_2,2,12,31,8,12,31,1.12298763267916,6.43886588703057,7.56185351970973
564,BEL_2021_2,2,15,21,7,15,21,1.45375773563184,4.58799684732743,6.04175458295927
564,BEL_2021_2,2,15,76,4,15,76,-1.47498690791168,4.58799684732743,3.11300993941574
575,BEL_2021_2,2,13,13,4,13,13,0.0215314348742162,3.61100489427616,3.63253632915038
575,BEL_2021_2,2,14,75,4,14,75,-0.494148371419444,3.61100489427616,3.11685652285672
587,BEL_2021_2,2,15,105,1,15,105,-0.360292481866115,1.14896536521132,0.788672883345204
587,BEL_2021_2,2,14,23,1,14,23,-1.24983077198984,1.14896536521132,-0.100865406778519
6,BEL_2021_2,2,14,86,4,14,86,-1.90888997754256,5.16555737646282,3.25666739892027
6,BEL_2021_2,2,15,41,7,15,41,0.669507757489843,5.16555737646282,5.83506513395267
6,BEL_2021_2,2,14,42,8,14,42,1.48499634690154,5.16555737646282,6.65055372336436
601,BEL_2021_2,2,13,26,8,13,26,0.960097406033533,5.85815247762595,6.81824988365948
601,BEL_2021_2,2,13,93,7,13,93,0.720267852770464,5.85815247762595,6.57842033039641
601,BEL_2021_2,2,14,27,8,14,27,0.906096211101691,5.85815247762595,6.76424868872764
601,BEL_2021_2,2,14,105,3,14,105,-2.0208560132626,5.85815247762595,3.83729646436335
603,BEL_2021_2,2,15,103,7,15,103,1.78077766632808,4.78301612270713,6.56379378903521
603,BEL_2021_2,2,12,18,3,12,18,-1.71190444377511,4.78301612270713,3.07111167893202
65,BEL_2021_2,2,12,40,8,12,40,0.253266971478848,7.3992659725667,7.65253294404555
65,BEL_2021_2,2,13,62,7,13,62,-1.01323655730484,7.3992659725667,6.38602941526186
65,BEL_2021_2,2,12,90,8,12,90,0.340944755254909,7.3992659725667,7.74021072782161
65,BEL_2021_2,2,15,18,9,15,18,0.829478077664493,7.3992659725667,8.22874405023119
65,BEL_2021_2,2,15,104,8,15,104,0.273232671793041,7.3992659725667,7.67249864435974
65,BEL_2021_2,2,15,1,7,15,1,0.593941548570512,7.3992659725667,7.99320752113721
652,BEL_2021_2,2,14,26,3,14,26,-0.622011708774169,2.34506643159146,1.72305472281729
652,BEL_2021_2,2,15,92,3,15,92,-0.435491449795887,2.34506643159146,1.90957498179557
653,BEL_2021_2,2,15,13,5,15,13,1.41498243084327,3.15356586553343,4.5685482963767
653,BEL_2021_2,2,13,99,1,13,99,-2.09894438392321,3.15356586553343,1.05462148161022
67,BEL_2021_2,2,15,65,5,15,65,0.702343269399673,3.65272317270681,4.35506644210648
67,BEL_2021_2,2,14,15,3,14,15,-1.15568561481752,3.65272317270681,2.49703755788929
68,BEL_2021_2,2,15,99,7,15,99,-0.62044336706239,6.98264283780502,6.36219947074263
68,BEL_2021_2,2,15,3,8,15,3,1.70558349134933,6.98264283780502,8.68822632915435
691,BEL_2021_2,2,12,89,8,12,89,0.614803353349001,7.08921257812586,7.70401593147486
691,BEL_2021_2,2,12,30,8,12,30,0.519573897888197,7.08921257812586,7.60878647601406
737,BEL_2021_2,2,13,25,8,13,25,0.751676941272596,6.14404562980964,6.89572257108223
737,BEL_2021_2,2,13,84,7,13,84,-0.0539837326475769,6.14404562980964,6.09006189716206
739,BEL_2021_2,2,12,63,5,12,63,-1.66716026807765,6.78246955054625,5.1153092824686
739,BEL_2021_2,2,12,32,8,12,32,0.743670404401532,6.78246955054625,7.52613995494778
739,BEL_2021_2,2,13,92,8,13,92,0.613631965110488,6.78246955054625,7.39610151565674
739,BEL_2021_2,2,12,22,7,12,22,0.090934521481941,6.78246955054625,6.87340407202819
739,BEL_2021_2,2,12,68,8,12,68,1.3106878057543,6.78246955054625,8.09315735630055
739,BEL_2021_2,2,14,39,8,14,39,-0.0991079449287131,6.78246955054625,6.68336160561754
74,BEL_2021_2,2,13,36,3,13,36,-0.53159499213961,2.43830198941216,1.90670699727255
74,BEL_2021_2,2,14,97,2,14,97,-0.482831670392478,2.43830198941216,1.95547031901969
740,BEL_2021_2,2,14,82,1,14,82,-3.23838617187392,3.40595850932903,0.167572337455116
740,BEL_2021_2,2,14,61,3,14,61,-1.18926576846286,3.40595850932903,2.21669274086617
740,BEL_2021_2,2,12,9,3,12,9,0.508522965653068,3.40595850932903,3.9144814749821
740,BEL_2021_2,2,15,29,8,15,29,3.35177693926389,3.40595850932903,6.75773544859293
743,BEL_2021_2,2,15,26,6,15,26,1.60676284026262,3.21978907157906,4.82655191184168
743,BEL_2021_2,2,13,65,3,13,65,-0.833264980886996,3.21978907157906,2.38652409069206
743,BEL_2021_2,2,14,95,1,14,95,-2.35993927394864,3.21978907157906,0.859849797630421
743,BEL_2021_2,2,12,7,3,12,7,0.854284047479678,3.21978907157906,4.07407311905874
743,BEL_2021_2,2,12,83,4,12,83,0.437050014132924,3.21978907157906,3.65683908571199
743,BEL_2021_2,2,15,43,4,15,43,-0.358258293951335,3.21978907157906,2.86153077762773
750,BEL_2021_2,2,15,71,7,15,71,0.0493728716263613,6.23716295085325,6.28653582247962
750,BEL_2021_2,2,15,44,8,15,44,0.691342205529908,6.23716295085325,6.92850515638316
8,BEL_2021_2,2,13,75,7,13,75,1.50990706881456,4.67310421818744,6.183011287002
8,BEL_2021_2,2,13,9,3,13,9,-1.49181511287525,4.67310421818744,3.1812891053122
80,BEL_2021_2,2,13,61,2,13,61,-0.75327714171547,2.15614865466042,1.40287151294495
80,BEL_2021_2,2,15,31,3,15,31,-0.391509410225991,2.15614865466042,1.76463924443443
81,BEL_2021_2,2,13,12,3,13,12,0.765444453164174,1.93217650771995,2.69762096088412
81,BEL_2021_2,2,15,81,1,15,81,-2.01371014467217,1.93217650771995,-0.0815336369522224
89,BEL_2021_2,2,14,64,8,14,64,0.2796736207524,6.94079977760545,7.22047339835785
89,BEL_2021_2,2,12,25,8,12,25,0.786134260997111,6.94079977760545,7.72693403860256
9,BEL_2021_2,2,15,66,6,15,66,-0.392275317108613,5.76455790968437,5.37228259257576
9,BEL_2021_2,2,14,37,8,14,37,0.914638408613932,5.76455790968437,6.67919631829831
929,BEL_2021_2,2,14,14,8,14,14,1.8056282134394,5.72205920552267,7.52768741896207
929,BEL_2021_2,2,12,103,4,12,103,-1.30290028371389,5.72205920552267,4.41915892180878
95,BEL_2021_2,2,12,5,3,12,5,-1.27637625006435,5.64255296955545,4.3661767194911
95,BEL_2021_2,2,13,64,8,13,64,1.74237087611594,5.64255296955545,7.38492384567138
997,BEL_2021_2,2,12,17,3,12,17,-0.322512107832633,3.47185455175128,3.14934244391865
997,BEL_2021_2,2,14,66,4,14,66,-0.214394776867127,3.47185455175128,3.25745977488416
ACW_25454,BEL_2021_2,2,14,92,8,14,92,1.97466777491474,5.53159039194077,7.5062581668555
ACW_25454,BEL_2021_2,2,12,20,4,12,20,-1.55993984524707,5.53159039194077,3.9716505466937
ACW_25469,BEL_2021_2,2,15,36,1,15,36,-1.90652217601287,1.7893290854484,-0.117193090564472
ACW_25469,BEL_2021_2,2,13,60,3,13,60,0.592258419353107,1.7893290854484,2.38158750480151
ACW_25584,BEL_2021_2,2,13,102,3,13,102,-0.30598785134493,3.62262905797835,3.31664120663342
ACW_25584,BEL_2021_2,2,12,4,2,12,4,-0.161258513571119,3.62262905797835,3.46137054440723
ACW_25591,BEL_2021_2,2,13,98,1,13,98,-0.66386710551496,1.56379408054045,0.899926975025492
ACW_25591,BEL_2021_2,2,14,25,2,14,25,-0.75459785905755,1.56379408054045,0.809196221482902
DLO_12_066,BEL_2021_2,2,15,73,3,15,73,-0.83471580562119,3.0086413979438,2.17392559232261
DLO_12_066,BEL_2021_2,2,13,2,2,13,2,0.0837961552866058,3.0086413979438,3.09243755323041
DLO_12_084,BEL_2021_2,2,15,72,4,15,72,-1.7492092086105,4.94484322257689,3.19563401396639
DLO_12_084,BEL_2021_2,2,14,48,8,14,48,1.89284944698138,4.94484322257689,6.83769266955827
DLO_12_233,BEL_2021_2,2,12,6,3,12,6,-0.0354999297264231,4.27082742071557,4.23532749098914
DLO_12_233,BEL_2021_2,2,13,85,5,13,85,-0.132267192967995,4.27082742071557,4.13856022774757
DLO_12_289,BEL_2021_2,2,15,47,7,15,47,0.430074856637344,5.56480756205579,5.99488241869313
FuGa_187,BEL_2021_2,2,15,32,7,15,32,-0.0548513361736926,5.78794212483579,5.7330907886621
FuGa_187,BEL_2021_2,2,13,103,6,13,103,0.588018353507998,5.78794212483579,6.37596047834379
FuGa_215,BEL_2021_2,2,14,45,7,14,45,-0.469818417057769,6.23571267756849,5.76589426051072
FuGa_215,BEL_2021_2,2,14,91,8,14,91,1.20986344200578,6.23571267756849,7.44557611957427
FuGa_243,BEL_2021_2,2,14,43,8,14,43,1.75124173082282,4.92440835770588,6.6756500885287
FuGa_243,BEL_2021_2,2,15,68,4,15,68,-1.61704276567674,4.92440835770588,3.30736559202914
FuPi_005,BEL_2021_2,2,13,79,7,13,79,0.462360427176162,5.6346870428774,6.09704747005356
FuPi_023,BEL_2021_2,2,13,43,3,13,43,0.202973909892268,1.70706617035902,1.91004008025129
FuPi_023,BEL_2021_2,2,15,95,1,15,95,-1.55524460530745,1.70706617035902,0.151821565051571
FuPi_114,BEL_2021_2,2,13,83,5,13,83,-0.462847860321213,4.55505173788324,4.09220387756203
FuPi_114,BEL_2021_2,2,14,21,6,14,21,0.426397457969762,4.55505173788324,4.981449195853
GaCr_010,BEL_2021_2,2,12,45,5,12,45,-0.442237073549491,5.1561350732177,4.71389799966821
GaCr_010,BEL_2021_2,2,15,85,7,15,85,0.683497927699624,5.1561350732177,5.83963300091732
GaCr_041,BEL_2021_2,2,12,80,7,12,80,0.341708979592842,6.34621009812837,6.68791907772121
