Genotype,Envir,Management,Row,Position,Harvest_date,R,P,Harvest_date_spats_residuals,Harvest_date_spats_geno_pred_values,Harvest_date_spats_adj_pheno
12_I005,BEL_2018_1,1,19,111,248,19,111,-2.09364159258143,248.740189368628,246.646547776047
12_I005,BEL_2018_1,1,25,50,248,25,50,0.421387965712171,248.740189368628,249.16157733434
12_I037,BEL_2018_1,1,21,7,241,21,7,-3.26715908419931,245.804646641393,242.537487557194
12_I037,BEL_2018_1,1,24,104,248,24,104,1.23117935572753,245.804646641393,247.03582599712
12_I049,BEL_2018_1,1,25,92,283,25,92,4.38676686831275,278.912133420904,283.298900289216
12_I049,BEL_2018_1,1,20,29,276,20,29,-2.32058961284974,278.912133420904,276.591543808054
12_I056,BEL_2018_1,1,21,22,283,21,22,0.308670863483144,283.940758381145,284.249429244628
12_I056,BEL_2018_1,1,22,114,289,22,114,2.38057419345967,283.940758381145,286.321332574605
12_I059,BEL_2018_1,1,21,2,241,21,2,-2.15881476002804,244.813275711605,242.654460951577
12_I062,BEL_2018_1,1,24,13,283,24,13,11.7738878625553,272.11805709669,283.891944959245
12_I062,BEL_2018_1,1,23,84,262,23,84,-10.5495252645558,272.11805709669,261.568531832134
12_I064,BEL_2018_1,1,19,38,289,19,38,2.96143271925149,286.137517175777,289.098949895029
12_J001,BEL_2018_1,1,19,50,255,19,50,-2.87713319319988,258.278625804515,255.401492611315
12_J001,BEL_2018_1,1,18,115,262,18,115,2.38673199450994,258.278625804515,260.665357799025
12_J004,BEL_2018_1,1,26,85,269,26,85,-3.20725973966125,273.203938118066,269.996678378405
12_J004,BEL_2018_1,1,23,32,276,23,32,4.56616756742199,273.203938118066,277.770105685488
12_J011,BEL_2018_1,1,25,9,276,25,9,1.46342687361096,274.047485291477,275.510912165088
12_J013,BEL_2018_1,1,26,23,276,26,23,4.33927485776701,271.83175888084,276.171033738607
12_J013,BEL_2018_1,1,21,85,269,21,85,-3.15038581393543,271.83175888084,268.681373066904
12_J015,BEL_2018_1,1,17,28,269,17,28,0.622038911271091,267.256852717274,267.878891628545
12_J019,BEL_2018_1,1,22,25,283,22,25,16.0031232212729,268.652208596693,284.655331817966
12_J019,BEL_2018_1,1,20,108,255,20,108,-15.2081938425391,268.652208596693,253.444014754154
12_J027,BEL_2018_1,1,18,87,289,18,87,3.00606085329002,286.497699724484,289.503760577774
12_J028,BEL_2018_1,1,26,77,269,26,77,0.297953248065141,269.590089679749,269.888042927814
12_J028,BEL_2018_1,1,21,29,269,21,29,0.613183545039647,269.590089679749,270.203273224789
12_J029,BEL_2018_1,1,22,31,276,22,31,1.68635383114196,275.846673213383,277.533027044525
12_J031,BEL_2018_1,1,25,106,255,25,106,-0.793814024506588,255.829856496368,255.036042471861
12_K001,BEL_2018_1,1,23,114,241,23,114,-2.59887585715447,241.261652257812,238.662776400657
12_K010,BEL_2018_1,1,24,117,248,24,117,-1.98837044079866,248.394315986377,246.405945545578
12_K010,BEL_2018_1,1,17,2,248,17,2,0.273261645851505,248.394315986377,248.667577632228
12_K016,BEL_2018_1,1,18,4,269,18,4,0.408947602016042,269.292358066049,269.701305668065
12_K016,BEL_2018_1,1,18,66,269,18,66,0.465298990796271,269.292358066049,269.757657056846
12_K018,BEL_2018_1,1,19,8,269,19,8,4.6493462350727,265.044966017102,269.694312252175
12_K018,BEL_2018_1,1,19,109,262,19,109,-4.3013693972901,265.044966017102,260.743596619812
12_K023,BEL_2018_1,1,25,35,297,25,35,3.99048799563786,294.442765875857,298.433253871495
12_K024,BEL_2018_1,1,24,42,262,24,42,-6.13569037893808,269.694764146398,263.55907376746
12_K024,BEL_2018_1,1,26,69,276,26,69,7.05979677910631,269.694764146398,276.754560925505
12_K044,BEL_2018_1,1,19,71,276,19,71,1.59253072175142,275.08945027776,276.681980999512
12_K045,BEL_2018_1,1,20,26,297,20,26,3.89947327506889,293.708208746577,297.607682021645
12_K049,BEL_2018_1,1,17,66,276,17,66,1.60975253461601,275.228443237796,276.838195772412
12_L001,BEL_2018_1,1,19,70,255,19,70,-0.724035032664574,256.393025350935,255.66899031827
12_L005,BEL_2018_1,1,17,58,269,17,58,-5.4070415831805,274.974123154215,269.567081571034
12_L005,BEL_2018_1,1,23,95,283,23,95,6.98528278883418,274.974123154215,281.959405943049
12_L012,BEL_2018_1,1,17,31,276,17,31,9.64975675453888,265.185968732291,274.83572548683
12_L012,BEL_2018_1,1,26,80,255,26,80,-9.28430908676785,265.185968732291,255.901659645524
12_L013,BEL_2018_1,1,26,24,276,26,24,1.751138089145,274.501707003754,276.252845092899
12_L013,BEL_2018_1,1,23,106,276,23,106,-0.231431233254739,274.501707003754,274.2702757705
12_N021,BEL_2018_1,1,24,64,289,24,64,1.47799772430159,288.141554882394,289.619552606696
12_N021,BEL_2018_1,1,26,56,289,26,56,1.73174370315894,288.141554882394,289.873298585553
12_N034,BEL_2018_1,1,26,97,283,26,97,1.43833524446791,282.789102256208,284.227437500676
12_N034,BEL_2018_1,1,23,57,283,23,57,1.10821477049075,282.789102256208,283.897317026698
12_N039,BEL_2018_1,1,17,18,297,17,18,2.69731976539362,293.606340286684,296.303660052078
12_N039,BEL_2018_1,1,21,111,297,21,111,1.18953157866088,293.606340286684,294.795871865345
12_N041,BEL_2018_1,1,23,92,248,23,92,-1.71277971888634,248.907490317103,247.194710598217
12_N041,BEL_2018_1,1,18,1,248,18,1,0.0612553838165013,248.907490317103,248.96874570092
12_N046,BEL_2018_1,1,23,88,276,23,88,9.72649808112504,265.687625428743,275.414123509868
12_N046,BEL_2018_1,1,23,8,255,23,8,-9.29889303684917,265.687625428743,256.388732391894
12_N052,BEL_2018_1,1,21,72,283,21,72,3.83590810757943,279.42128944699,283.257197554569
12_N052,BEL_2018_1,1,23,38,276,23,38,-1.70664427709988,279.42128944699,277.71464516989
12_N057,BEL_2018_1,1,26,4,276,26,4,1.19867885979534,271.910770045907,273.109448905702
12_N062,BEL_2018_1,1,18,108,255,18,108,5.38281004493027,248.790304032916,254.173114077846
12_N062,BEL_2018_1,1,19,7,241,19,7,-7.04885425392786,248.790304032916,241.741449778988
12_N063,BEL_2018_1,1,24,57,241,24,57,-2.24008029289777,244.157401846794,241.917321553897
12_O011,BEL_2018_1,1,22,82,276,22,82,0.105740935421636,275.566705206698,275.67244614212
12_O011,BEL_2018_1,1,21,34,276,21,34,1.54592368111628,275.566705206698,277.112628887815
12_O014,BEL_2018_1,1,17,109,289,17,109,2.88290417423752,285.503732857905,288.386637032142
12_O017,BEL_2018_1,1,22,4,283,22,4,2.47929798554372,282.246327885684,284.725625871228
12_O026,BEL_2018_1,1,18,35,289,18,35,0.890548434436084,287.558023948073,288.44857238251
12_O026,BEL_2018_1,1,26,60,289,26,60,2.24689105378343,287.558023948073,289.804915001857
12_O056,BEL_2018_1,1,25,95,269,25,95,0.76798790977972,268.434770714447,269.202758624227
12_O061,BEL_2018_1,1,19,64,255,19,64,-6.88314368902906,262.617245642328,255.734101953299
12_O061,BEL_2018_1,1,20,43,269,20,43,6.93031575244925,262.617245642328,269.547561394777
12_O063,BEL_2018_1,1,24,14,269,24,14,1.2078879606342,268.810341724029,270.018229684663
12_O063,BEL_2018_1,1,18,103,269,18,103,-0.393365221733347,268.810341724029,268.416976502295
12_O072,BEL_2018_1,1,23,66,269,23,66,3.45383190275254,265.959642365806,269.413474268559
12_O072,BEL_2018_1,1,21,45,262,21,45,-2.99252281486992,265.959642365806,262.967119550936
12_O074,BEL_2018_1,1,24,94,289,24,94,1.35795019165749,287.170021040033,288.52797123169
12_O074,BEL_2018_1,1,18,45,289,18,45,1.73141410288724,287.170021040033,288.90143514292
12_P001,BEL_2018_1,1,22,107,283,22,107,3.14428003933023,277.722266698789,280.86654673812
12_P001,BEL_2018_1,1,20,35,276,20,35,-1.22553227969649,277.722266698789,276.496734419093
12_P002,BEL_2018_1,1,19,16,297,19,16,1.99722254498897,295.330729902793,297.327952447782
12_P002,BEL_2018_1,1,17,94,297,17,94,2.1032879316312,295.330729902793,297.434017834425
12_P003,BEL_2018_1,1,24,31,297,24,31,9.31481649494981,289.309817588793,298.624634083743
12_P003,BEL_2018_1,1,25,90,283,25,90,-5.96032240015325,289.309817588793,283.34949518864
12_P018,BEL_2018_1,1,25,23,283,25,23,4.29731764020659,279.66627323308,283.963590873286
12_P018,BEL_2018_1,1,26,118,276,26,118,-2.13769928732739,279.66627323308,277.528573945752
12_P025,BEL_2018_1,1,18,95,283,18,95,1.03549629812392,282.013096514123,283.048592812247
12_P025,BEL_2018_1,1,18,7,283,18,7,1.41490333865374,282.013096514123,283.427999852777
12_P027,BEL_2018_1,1,20,23,297,20,23,1.91160356461575,295.76443950947,297.676043074085
12_P027,BEL_2018_1,1,17,73,297,17,73,2.24264535805094,295.76443950947,298.007084867521
12_P029,BEL_2018_1,1,18,3,283,18,3,-1.40539674407466,285.19279131056,283.787394566485
12_P029,BEL_2018_1,1,20,74,289,20,74,4.24977395163126,285.19279131056,289.442565262191
12_P034,BEL_2018_1,1,26,28,248,26,28,-3.99430766963985,252.624359368481,248.630051698841
12_P034,BEL_2018_1,1,21,68,255,21,68,2.80331905686799,252.624359368481,255.427678425348
12_P055,BEL_2018_1,1,25,69,303,25,69,2.42855290789794,301.106468101149,303.535021009047
12_P055,BEL_2018_1,1,20,33,303,20,33,2.38759584551303,301.106468101149,303.494063946662
12_P056,BEL_2018_1,1,18,18,276,18,18,-5.19904203759273,280.967747597303,275.76870555971
12_P056,BEL_2018_1,1,22,85,289,22,85,7.51991854299149,280.967747597303,288.487666140294
1218,BEL_2018_1,1,19,48,234,19,48,-3.06881544262626,237.468886970156,234.40007152753
1236,BEL_2018_1,1,18,13,255,18,13,-0.80200092646956,255.763782050763,254.961781124293
13_10,BEL_2018_1,1,23,17,283,23,17,1.51193265369557,283.133613654325,284.64554630802
13_10,BEL_2018_1,1,26,103,283,26,103,1.07730377377266,283.133613654325,284.210917428097
13_109,BEL_2018_1,1,17,4,228,17,4,-7.51450826209128,236.001066151906,228.486557889815
13_109,BEL_2018_1,1,19,102,241,19,102,4.26382364102636,236.001066151906,240.264889792932
13_139,BEL_2018_1,1,21,44,248,21,44,-3.93011980690838,252.901391638314,248.971271831406
13_139,BEL_2018_1,1,20,64,255,20,64,2.77345665858647,252.901391638314,255.674848296901
13_32,BEL_2018_1,1,25,15,255,25,15,-0.376313785976635,255.587090677771,255.210776891795
13_32,BEL_2018_1,1,25,98,255,25,98,-0.447579945420358,255.587090677771,255.139510732351
13_35,BEL_2018_1,1,26,70,276,26,70,3.88789500291483,272.865976524478,276.753871527393
13_35,BEL_2018_1,1,22,43,269,22,43,-2.57086203931004,272.865976524478,270.295114485168
13_38,BEL_2018_1,1,26,43,283,26,43,4.81414463479553,279.333284804846,284.147429439642
13_38,BEL_2018_1,1,22,62,276,22,62,-2.69578494994937,279.333284804846,276.637499854897
130,BEL_2018_1,1,23,89,248,23,89,4.57900919132803,242.706528574726,247.285537766054
130,BEL_2018_1,1,22,27,234,22,27,-6.99885879034872,242.706528574726,235.707669784377
131,BEL_2018_1,1,19,90,276,19,90,1.35223962049349,274.767602319315,276.119841939808
131,BEL_2018_1,1,17,34,276,17,34,0.20041278432916,274.767602319315,274.968015103644
133,BEL_2018_1,1,21,104,289,21,104,3.20528796245526,284.133372979079,287.338660941535
133,BEL_2018_1,1,20,22,283,20,22,-0.492177145981827,284.133372979079,283.641195833097
135,BEL_2018_1,1,22,65,297,22,65,1.21455367321579,296.270082155342,297.484635828558
135,BEL_2018_1,1,23,25,297,23,25,2.49570976367488,296.270082155342,298.765791919017
135,BEL_2018_1,1,20,30,297,20,30,1.29507189593568,296.270082155342,297.565154051278
135,BEL_2018_1,1,21,102,297,21,102,-0.78843515774156,296.270082155342,295.481646997601
1377,BEL_2018_1,1,18,44,255,18,44,11.9452374527293,242.893932563123,254.839170015852
1377,BEL_2018_1,1,17,92,228,17,92,-14.3418669086764,242.893932563123,228.552065654447
140,BEL_2018_1,1,22,92,262,22,92,-0.12746512705769,261.207792396732,261.080327269674
141,BEL_2018_1,1,17,74,255,17,74,-0.396684089197805,256.401596835249,256.004912746051
141,BEL_2018_1,1,21,31,255,21,31,-0.326288900477522,256.401596835249,256.075307934771
143,BEL_2018_1,1,19,86,234,19,86,0.472535082171362,233.798837040817,234.271372122988
143,BEL_2018_1,1,23,26,228,23,26,-3.99608516078172,233.798837040817,229.802751880035
1446,BEL_2018_1,1,24,28,283,24,28,1.80823908081584,282.816777183746,284.625016264561
1446,BEL_2018_1,1,20,68,283,20,68,0.74173997416699,282.816777183746,283.558517157913
1478,BEL_2018_1,1,22,30,215,22,30,-3.48461870479878,220.11563937544,216.631020670641
1478,BEL_2018_1,1,19,114,220,19,114,-1.7343371664474,220.11563937544,218.381302208992
1481,BEL_2018_1,1,19,80,289,19,80,-2.13021020035126,291.625101212075,289.494891011724
1481,BEL_2018_1,1,18,55,297,18,55,5.77157768267762,291.625101212075,297.396678894752
149,BEL_2018_1,1,19,3,262,19,3,-3.23130477274276,266.250015016672,263.018710243929
149,BEL_2018_1,1,26,81,269,26,81,3.72859225444387,266.250015016672,269.978607271116
15,BEL_2018_1,1,22,93,276,22,93,1.40558264038555,273.580638899622,274.986221540008
152,BEL_2018_1,1,21,103,269,21,103,9.03588773351402,258.264725797433,267.300613530947
152,BEL_2018_1,1,25,20,248,25,20,-9.52801120159609,258.264725797433,248.736714595836
163,BEL_2018_1,1,22,106,248,22,106,-1.78848205972179,247.802138650647,246.013656590926
17,BEL_2018_1,1,18,78,297,18,78,1.66674221467878,296.143825449733,297.810567664412
17,BEL_2018_1,1,22,24,297,22,24,2.53451422308063,296.143825449733,298.678339672814
173,BEL_2018_1,1,26,9,269,26,9,-3.54980901955878,270.572143434144,267.022334414585
173,BEL_2018_1,1,17,113,276,17,113,4.58262640696574,270.572143434144,275.15476984111
1870,BEL_2018_1,1,21,86,248,21,86,-1.24811052114745,248.88644317922,247.638332658072
1870,BEL_2018_1,1,26,26,248,26,26,-0.406021642907859,248.88644317922,248.480421536312
1872,BEL_2018_1,1,23,21,228,23,21,-4.267805437844,234.034688957763,229.766883519919
1872,BEL_2018_1,1,18,69,234,18,69,0.773478404604475,234.034688957763,234.808167362367
1889,BEL_2018_1,1,17,9,211,17,9,-3.33842275543742,214.330190261735,210.991767506297
1889,BEL_2018_1,1,18,80,211,18,80,-2.59737461589091,214.330190261735,211.732815645844
1893,BEL_2018_1,1,22,54,248,22,54,-1.46720059827493,250.395121264185,248.92792066591
1900,BEL_2018_1,1,22,113,262,22,113,-2.15251303084693,261.596889794065,259.444376763219
1900,BEL_2018_1,1,22,22,262,22,22,2.07325870929486,261.596889794065,263.67014850336
1901,BEL_2018_1,1,17,108,215,17,108,-3.63106473502577,218.107541158687,214.476476423662
1901,BEL_2018_1,1,20,4,215,20,4,-1.83670295872861,218.107541158687,216.270838199959
192,BEL_2018_1,1,17,86,276,17,86,-1.78452310596413,278.585632534727,276.801109428763
192,BEL_2018_1,1,17,43,283,17,43,3.81024552716542,278.585632534727,282.395878061893
1935,BEL_2018_1,1,17,72,289,17,72,4.6050675438961,285.337373305188,289.942440849084
1935,BEL_2018_1,1,20,38,283,20,38,-1.74277601856113,285.337373305188,283.594597286626
1951,BEL_2018_1,1,20,41,283,20,41,1.13346660770185,282.420169091599,283.553635699301
1951,BEL_2018_1,1,18,72,283,18,72,1.3673710350709,282.420169091599,283.78754012667
1952,BEL_2018_1,1,18,25,283,18,25,2.22923890437687,280.228163355107,282.457402259484
1962,BEL_2018_1,1,18,6,283,18,6,2.61967097302926,280.907419972223,283.527090945252
1962,BEL_2018_1,1,23,115,283,23,115,-0.306269314337783,280.907419972223,280.601150657885
197,BEL_2018_1,1,21,114,283,21,114,2.01443693136105,278.494550158519,280.508987089881
1988,BEL_2018_1,1,25,12,205,25,12,-6.33265396164759,211.127259616028,204.79460565438
1989,BEL_2018_1,1,20,65,269,20,65,3.44996445948431,266.169295942879,269.619260402363
1989,BEL_2018_1,1,20,5,262,20,5,-2.96267841082795,266.169295942879,263.206617532051
1991,BEL_2018_1,1,21,112,211,21,112,-6.27354762658914,214.978858707382,208.705311080793
1991,BEL_2018_1,1,19,14,215,19,14,0.418123006363629,214.978858707382,215.396981713746
1997,BEL_2018_1,1,23,74,255,23,74,-0.788536425210054,255.872450685139,255.083914259929
2,BEL_2018_1,1,20,14,283,20,14,2.38703235739308,281.501674993029,283.888707350422
200,BEL_2018_1,1,18,11,269,18,11,-2.82937261206808,271.925661133256,269.096288521188
200,BEL_2018_1,1,22,76,276,22,76,4.02989654027249,271.925661133256,275.955557673529
2003,BEL_2018_1,1,24,84,228,24,84,5.80922033887305,222.038327385087,227.84754772396
2003,BEL_2018_1,1,19,17,211,19,17,-10.7899470718211,222.038327385087,211.248380313265
2010,BEL_2018_1,1,19,15,228,19,15,-3.73403928851513,232.100031080577,228.365991792062
202,BEL_2018_1,1,26,100,262,26,100,-10.5879611207025,273.928134520091,263.340173399388
202,BEL_2018_1,1,24,2,283,24,2,9.18593666228168,273.928134520091,283.114071182372
202,BEL_2018_1,1,18,76,276,18,76,2.85066326902853,273.928134520091,276.778797789119
2026,BEL_2018_1,1,24,7,211,24,7,-5.59388338644195,217.08969283043,211.495809443988
203,BEL_2018_1,1,19,75,241,19,75,-2.2770615360445,243.858935448906,241.581873912862
204,BEL_2018_1,1,22,79,215,22,79,-5.75285695044892,220.604148648768,214.851291698319
204,BEL_2018_1,1,25,49,220,25,49,0.594429434636538,220.604148648768,221.198578083405
2050,BEL_2018_1,1,24,49,283,24,49,4.84602650316884,279.417119708038,284.263146211206
2050,BEL_2018_1,1,17,61,276,17,61,-2.7172793208988,279.417119708038,276.699840387139
2055,BEL_2018_1,1,18,82,198,18,82,-7.00617536676111,205.691436193657,198.685260826896
2061,BEL_2018_1,1,19,95,269,19,95,-0.0366330471793503,268.779460285287,268.742827238108
2061,BEL_2018_1,1,19,57,269,19,57,0.847329445819128,268.779460285287,269.626789731106
216,BEL_2018_1,1,18,84,289,18,84,3.01480135615645,286.568242145028,289.583043501184
241,BEL_2018_1,1,23,68,228,23,68,-2.58773620585049,230.921263493296,228.333527287446
241,BEL_2018_1,1,23,15,228,23,15,-1.29235734896434,230.921263493296,229.628906144332
2410,BEL_2018_1,1,26,63,283,26,63,14.131402648176,269.619961740848,283.751364389024
2410,BEL_2018_1,1,21,16,255,21,16,-13.216564580949,269.619961740848,256.403397159899
2422,BEL_2018_1,1,18,21,248,18,21,-0.244910118770918,247.871179369793,247.626269251022
2422,BEL_2018_1,1,23,105,248,23,105,-1.53501750520891,247.871179369793,246.336161864584
2443,BEL_2018_1,1,25,39,234,25,39,-2.88122263355245,238.373000958904,235.491778325351
2443,BEL_2018_1,1,21,117,241,21,117,-0.0755692798365431,238.373000958904,238.297431679067
249,BEL_2018_1,1,25,21,255,25,21,-1.70786408261165,257.51007623156,255.802212148948
249,BEL_2018_1,1,24,87,255,24,87,-2.72713794947521,257.51007623156,254.782938282085
249,BEL_2018_1,1,22,3,255,22,3,-0.782004446204383,257.51007623156,256.728071785356
249,BEL_2018_1,1,24,75,262,24,75,4.63137875216376,257.51007623156,262.141454983724
25,BEL_2018_1,1,19,29,205,19,29,-2.89615429576514,207.902850678022,205.006696382257
25,BEL_2018_1,1,25,42,205,25,42,-1.46966512506808,207.902850678022,206.433185552954
25,BEL_2018_1,1,24,65,205,24,65,-2.36635238196584,207.902850678022,205.536498296057
26,BEL_2018_1,1,26,105,228,26,105,-3.62195485548142,233.004636608688,229.382681753207
261,BEL_2018_1,1,20,54,228,20,54,-11.134746368791,239.788354050278,228.653607681487
261,BEL_2018_1,1,21,75,248,21,75,8.3533226616081,239.788354050278,248.141676711886
